Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,25,332.192,62.07,258.786,9.96,2.398.624,142.61
,,,,,,50,335.768,62.74,137.954,5.31,2.548.062,151.49
,,,,,,100,346.339,64.71,72.672,2.8,2.697.912,160.4
,,,,,,200,360.746,67.41,38.050,1.46,2.847.796,169.31
,,,,3,"[0, 5]",5,360.479,67.36,1.019.400,39.22,1.864.310,110.84
,,,,,,10,317.854,59.39,583.842,22.46,1.958.865,116.46
,,,,,,25,290.878,54.35,258.786,9.96,2.068.112,122.96
,,,,,,50,291.323,54.43,137.954,5.31,2.192.507,130.35
,,,,,,100,299.118,55.89,72.672,2.8,2.320.146,137.94
,,,,,,200,310.841,58.08,38.050,1.46,2.448.549,145.58
,,,,5,"[0, 8]",5,353.567,66.06,1.019.400,39.22,1.809.010,107.55
,,,,,,10,309.604,57.85,583.842,22.46,1.892.865,112.54
,,,,,,25,281.078,52.52,258.786,9.96,1.989.712,118.3
,,,,,,50,280.499,52.41,137.954,5.31,2.105.909,125.2
,,,,,,100,287.337,53.69,72.672,2.8,2.225.898,132.34
,,,,,,200,298.277,55.73,38.050,1.46,2.348.039,139.6
,,,,10,"[0, 15]",5,340.300,63.58,1.019.400,39.22,1.702.876,101.24
,,,,,,10,294.651,55.06,583.842,22.46,1.773.240,105.43
,,,,,,25,264.320,49.39,258.786,9.96,1.855.648,110.33
,,,,,,50,262.213,48.99,137.954,5.31,1.959.624,116.51
,,,,,,100,267.746,50.03,72.672,2.8,2.069.172,123.02
,,,,,,200,277.450,51.84,38.050,1.46,2.181.428,129.69
,,,,15,"[0, 23]",5,326.265,60.96,1.019.400,39.22,1.590.596,94.57
,,,,,,10,278.983,52.13,583.842,22.46,1.647.900,97.97
,,,,,,25,247.424,46.23,258.786,9.96,1.720.480,102.29
,,,,,,50,244.044,45.6,137.954,5.31,1.814.274,107.87
,,,,,,100,248.324,46.4,72.672,2.8,1.913.796,113.78
,,,,,,200,256.826,47.99,38.050,1.46,2.016.432,119.88
,,,,20,"[0, 31]",5,313.168,58.52,1.019.400,39.22,1.485.820,88.34
,,,,,,10,264.272,49.38,583.842,22.46,1.530.210,90.98
,,,,,,25,231.564,43.27,258.786,9.96,1.593.600,94.75
,,,,,,50,227.138,42.44,137.954,5.31,1.679.022,99.82
,,,,,,100,230.374,43.05,72.672,2.8,1.770.192,105.24
,,,,,,200,237.850,44.44,38.050,1.46,1.864.622,110.86
