CO2
humidity_21.csv,PCA3,100.03%,200,APCA2,56.38%,10,APCA2,42.13%,10,APCA2,23.15%,25,APCA2,14.39%,50,APCA2,9.79%,100,APCA2,5.2%,200
humidity_22.csv,PCA3,100.03%,200,APCA2,55.38%,10,APCA2,41.75%,25,APCA2,23.93%,25,APCA2,15.07%,50,APCA2,10.41%,100,APCA2,5.3%,200
humidity_23.csv,PCA3,100.03%,200,APCA2,59.04%,10,APCA2,45.29%,10,APCA2,26.95%,25,APCA2,17.67%,50,APCA2,12.09%,50,APCA2,6.33%,100
humidity_24.csv,PCA3,99.84%,5,APCA2,43.53%,25,APCA2,31.46%,25,APCA2,16.58%,50,APCA2,10.05%,100,APCA2,6.7%,100,APCA2,3.44%,200
humidity_25.csv,PCA3,100.03%,200,APCA2,49.79%,10,APCA2,36.56%,25,APCA2,19.78%,50,APCA2,12.15%,50,APCA2,7.94%,100,APCA2,3.97%,200
humidity_26.csv,PCA3,100.03%,200,APCA2,42.62%,25,APCA2,29.16%,25,APCA2,14.45%,50,APCA2,8.25%,100,APCA2,5.24%,200,APCA2,2.57%,200
humidity_27.csv,PCA3,100.03%,200,APCA2,52.4%,10,APCA2,39.21%,25,APCA2,22.7%,25,APCA2,14.45%,50,APCA2,9.9%,100,APCA2,5.34%,200
humidity_28.csv,PCA3,100.03%,200,APCA2,60.53%,5,APCA2,44.98%,10,APCA2,24.87%,25,APCA2,15.57%,50,APCA2,10.7%,50,APCA2,5.55%,200
humidity_29.csv,PCA3,100.03%,200,APCA2,46.85%,25,APCA2,33.89%,25,APCA2,18.73%,50,APCA2,11.74%,100,APCA2,7.79%,100,APCA2,3.92%,200
humidity_3.csv,PCA3,100.03%,200,APCA2,43.51%,10,APCA2,28.01%,25,APCA2,12.5%,50,APCA2,7.03%,100,APCA2,4.46%,200,APCA2,2.28%,200
humidity_30.csv,PCA3,100.03%,200,APCA2,58.0%,10,APCA2,43.44%,10,APCA2,23.99%,25,APCA2,15.01%,50,APCA2,10.05%,100,APCA2,5.14%,200
humidity_31.csv,PCA3,100.03%,200,APCA2,38.8%,25,APCA2,26.88%,25,APCA2,13.75%,50,APCA2,8.07%,100,APCA2,5.52%,200,APCA2,2.96%,200
humidity_32.csv,PCA3,99.72%,5,APCA2,84.45%,5,APCA2,73.12%,5,APCA2,53.09%,10,APCA2,39.6%,10,APCA2,30.2%,25,APCA2,19.65%,25
humidity_33.csv,PCA3,100.03%,200,APCA2,63.38%,5,APCA2,47.88%,10,APCA2,26.99%,25,APCA2,17.78%,25,APCA2,12.93%,50,APCA2,7.69%,50
humidity_34.csv,APCA2,21.88%,50,APCA2,10.75%,100,APCA2,7.07%,200,APCA2,3.37%,200,APCA2,2.19%,200,APCA2,1.67%,200,APCA2,1.22%,200
humidity_4.csv,PCA3,99.29%,10,APCA2,54.85%,10,APCA2,40.66%,25,APCA2,21.92%,25,APCA2,13.24%,50,APCA2,8.35%,100,APCA2,3.87%,200
humidity_5.csv,PCA3,100.03%,200,APCA2,53.77%,10,APCA2,40.44%,25,APCA2,23.06%,25,APCA2,14.36%,50,APCA2,9.19%,100,APCA2,4.04%,200
humidity_6.csv,PCA3,100.03%,200,APCA2,32.75%,25,APCA2,21.91%,50,APCA2,10.26%,100,APCA2,5.76%,200,APCA2,3.52%,200,APCA2,1.69%,200
humidity_7.csv,PCA3,100.03%,200,APCA2,40.28%,10,APCA2,25.86%,25,APCA2,11.82%,50,APCA2,6.46%,100,APCA2,4.01%,200,APCA2,2.1%,200
