Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,3,"[0, 239]",5,144.376,60.06,388.480,39.22,766.403,82.2
,,,,,,10,121.673,50.62,222.516,22.46,750.740,80.52
,,,,,,25,106.681,44.38,98.648,9.96,754.677,80.94
,,,,,,50,104.111,43.31,52.578,5.31,780.186,83.68
,,,,,,100,104.876,43.63,27.696,2.8,811.187,87.01
,,,,,,200,107.425,44.69,14.500,1.46,844.776,90.61
,,,,5,"[0, 398]",5,137.185,57.07,388.480,39.22,708.871,76.03
,,,,,,10,113.323,47.14,222.516,22.46,683.940,73.36
,,,,,,25,97.504,40.56,98.648,9.96,681.261,73.07
,,,,,,50,94.415,39.28,52.578,5.31,702.614,75.36
,,,,,,100,94.727,39.41,27.696,2.8,729.997,78.3
,,,,,,200,96.823,40.28,14.500,1.46,759.960,81.51
,,,,10,"[0, 797]",5,125.312,52.13,388.480,39.22,613.890,65.84
,,,,,,10,98.775,41.09,222.516,22.46,567.560,60.88
,,,,,,25,81.363,33.85,98.648,9.96,552.132,59.22
,,,,,,50,77.345,32.18,52.578,5.31,566.060,60.71
,,,,,,100,76.784,31.94,27.696,2.8,586.454,62.9
,,,,,,200,78.070,32.48,14.500,1.46,609.936,65.42
,,,,15,"[0, 1195]",5,118.220,49.18,388.480,39.22,557.156,59.76
,,,,,,10,89.420,37.2,222.516,22.46,492.720,52.85
,,,,,,25,70.496,29.33,98.648,9.96,465.192,49.9
,,,,,,50,65.647,27.31,52.578,5.31,472.472,50.68
,,,,,,100,64.525,26.84,27.696,2.8,488.382,52.38
,,,,,,200,65.254,27.15,14.500,1.46,507.408,54.42
,,,,20,"[0, 1594]",5,113.537,47.23,388.480,39.22,519.688,55.74
,,,,,,10,83.115,34.58,222.516,22.46,442.280,47.44
,,,,,,25,62.820,26.13,98.648,9.96,403.788,43.31
,,,,,,50,57.347,23.86,52.578,5.31,406.076,43.55
,,,,,,100,55.762,23.2,27.696,2.8,418.278,44.86
,,,,,,200,56.104,23.34,14.500,1.46,434.208,46.57
,,,,30,"[0, 2391]",5,107.955,44.91,388.480,39.22,475.038,50.95
,,,,,,10,75.100,31.24,222.516,22.46,378.160,40.56
,,,,,,25,52.850,21.99,98.648,9.96,324.030,34.75
,,,,,,50,46.287,19.26,52.578,5.31,317.592,34.06
,,,,,,100,43.940,18.28,27.696,2.8,323.702,34.72
,,,,,,200,43.714,18.19,14.500,1.46,335.088,35.94
,wind_direction_10.csv,13.992,CoderBasic,,,,57.733,100,237.864,100,223.872,100
,,,CoderPCA,0,"[0, 0]",5,34.585,59.91,50.399,21.19,226.159,101.02
,,,,,,10,31.327,54.26,25.217,10.6,225.272,100.63
,,,,,,25,29.364,50.86,10.352,4.35,224.432,100.25
,,,,,,50,28.752,49.8,5.737,2.41,224.152,100.13
,,,,,,100,28.526,49.41,4.067,1.71,224.012,100.06
,,,,,,200,28.572,49.49,4.507,1.89,223.942,100.03
,,,,3,"[0, 314]",5,30.033,52.02,50.399,21.19,189.743,84.76
,,,,,,10,28.105,48.68,25.217,10.6,199.496,89.11
,,,,,,25,27.636,47.87,10.352,4.35,210.608,94.08
,,,,,,50,27.576,47.76,5.737,2.41,214.744,95.92
,,,,,,100,27.536,47.7,4.067,1.71,216.092,96.52
,,,,,,200,28.174,48.8,4.507,1.89,220.758,98.61
,,,,5,"[0, 523]",5,29.273,50.7,50.399,21.19,183.663,82.04
,,,,,,10,27.655,47.9,25.217,10.6,195.896,87.5
,,,,,,25,27.300,47.29,10.352,4.35,207.920,92.87
,,,,,,50,27.576,47.76,5.737,2.41,214.744,95.92
,,,,,,100,27.536,47.7,4.067,1.71,216.092,96.52
,,,,,,200,28.174,48.8,4.507,1.89,220.758,98.61
,,,,10,"[0, 1047]",5,26.769,46.37,50.399,21.19,163.631,73.09
,,,,,,10,26.053,45.13,25.217,10.6,183.080,81.78
,,,,,,25,26.676,46.21,10.352,4.35,202.928,90.64
,,,,,,50,26.988,46.75,5.737,2.41,210.040,93.82
,,,,,,100,27.338,47.35,4.067,1.71,214.508,95.82
,,,,,,200,28.174,48.8,4.507,1.89,220.758,98.61
,,,,15,"[0, 1570]",5,24.481,42.4,50.399,21.19,145.327,64.92
,,,,,,10,24.361,42.2,25.217,10.6,169.544,75.73
,,,,,,25,26.004,45.04,10.352,4.35,197.552,88.24
,,,,,,50,26.890,46.58,5.737,2.41,209.256,93.47
,,,,,,100,27.338,47.35,4.067,1.71,214.508,95.82
,,,,,,200,28.174,48.8,4.507,1.89,220.758,98.61
,,,,20,"[0, 2094]",5,22.593,39.13,50.399,21.19,130.223,58.17
,,,,,,10,22.471,38.92,25.217,10.6,154.424,68.98
,,,,,,25,24.708,42.8,10.352,4.35,187.184,83.61
,,,,,,50,26.204,45.39,5.737,2.41,203.768,91.02
,,,,,,100,27.140,47.01,4.067,1.71,212.924,95.11
,,,,,,200,27.776,48.11,4.507,1.89,217.574,97.19
,,,,30,"[0, 3141]",5,19.761,34.23,50.399,21.19,107.567,48.05
,,,,,,10,19.501,33.78,25.217,10.6,130.664,58.37
,,,,,,25,22.548,39.06,10.352,4.35,169.904,75.89
,,,,,,50,24.832,43.01,5.737,2.41,192.792,86.12
,,,,,,100,26.744,46.32,4.067,1.71,209.756,93.69
,,,,,,200,27.776,48.11,4.507,1.89,217.574,97.19
,,,CoderAPCA,0,"[0, 0]",5,37.931,65.7,55.980,23.53,247.342,110.48
,,,,,,10,36.213,62.72,29.400,12.36,260.180,116.22
,,,,,,25,35.704,61.84,12.320,5.18,273.189,122.03
,,,,,,50,36.595,63.39,6.440,2.71,286.198,127.84
,,,,,,100,37.837,65.54,3.360,1.41,299.207,133.65
,,,,,,200,39.261,68.0,1.750,0.74,312.216,139.46
,,,,3,"[0, 314]",5,26.866,46.53,55.980,23.53,158.821,70.94
,,,,,,10,23.613,40.9,29.400,12.36,159.380,71.19
,,,,,,25,22.057,38.21,12.320,5.18,164.010,73.26
,,,,,,50,22.205,38.46,6.440,2.71,171.072,76.42
,,,,,,100,22.763,39.43,3.360,1.41,178.618,79.79
,,,,,,200,23.523,40.74,1.750,0.74,186.312,83.22
,,,,5,"[0, 523]",5,24.645,42.69,55.980,23.53,141.056,63.01
,,,,,,10,21.138,36.61,29.400,12.36,139.580,62.35
,,,,,,25,19.400,33.6,12.320,5.18,142.758,63.77
,,,,,,50,19.405,33.61,6.440,2.71,148.676,66.41
,,,,,,100,19.833,34.35,3.360,1.41,155.181,69.32
,,,,,,200,20.466,35.45,1.750,0.74,161.856,72.3
,,,,10,"[0, 1047]",5,20.971,36.32,55.980,23.53,111.663,49.88
,,,,,,10,16.846,29.18,29.400,12.36,105.240,47.01
,,,,,,25,14.752,25.55,12.320,5.18,105.567,47.16
,,,,,,50,14.516,25.14,6.440,2.71,109.560,48.94
,,,,,,100,14.713,25.48,3.360,1.41,114.218,51.02
,,,,,,200,15.120,26.19,1.750,0.74,119.088,53.19
,,,,15,"[0, 1570]",5,18.969,32.86,55.980,23.53,95.646,42.72
,,,,,,10,14.376,24.9,29.400,12.36,85.480,38.18
,,,,,,25,11.985,20.76,12.320,5.18,83.433,37.27
,,,,,,50,11.595,20.08,6.440,2.71,86.196,38.5
,,,,,,100,11.654,20.19,3.360,1.41,89.746,40.09
,,,,,,200,11.931,20.67,1.750,0.74,93.576,41.8
,,,,20,"[0, 2094]",5,17.596,30.48,55.980,23.53,84.664,37.82
,,,,,,10,12.658,21.93,29.400,12.36,71.740,32.05
,,,,,,25,10.019,17.35,12.320,5.18,67.704,30.24
,,,,,,50,9.467,16.4,6.440,2.71,69.168,30.9
,,,,,,100,9.417,16.31,3.360,1.41,71.852,32.1
,,,,,,200,9.585,16.6,1.750,0.74,74.808,33.42
,,,,30,"[0, 3141]",5,16.124,27.93,55.980,23.53,72.884,32.56
,,,,,,10,10.653,18.45,29.400,12.36,55.700,24.88
,,,,,,25,7.570,13.11,12.320,5.18,48.111,21.49
,,,,,,50,6.832,11.83,6.440,2.71,48.092,21.48
,,,,,,100,6.626,11.48,3.360,1.41,49.519,22.12
,,,,,,200,6.669,11.55,1.750,0.74,51.480,23.0
,,,CoderCA,0,"[0, 0]",5,44.441,76.98,93.280,39.22,262.124,117.09
,,,,,,10,41.179,71.33,53.424,22.46,275.880,123.23
,,,,,,25,39.189,67.88,23.716,9.97,289.674,129.39
,,,,,,50,39.530,68.47,12.650,5.32,303.468,135.55
,,,,,,100,40.507,70.16,6.672,2.8,317.262,141.72
,,,,,,200,41.835,72.46,3.500,1.47,331.056,147.88
,,,,3,"[0, 314]",5,37.235,64.5,93.280,39.22,204.478,91.34
,,,,,,10,32.414,56.14,53.424,22.46,205.760,91.91
,,,,,,25,29.361,50.86,23.716,9.97,211.050,94.27
,,,,,,50,29.091,50.39,12.650,5.32,219.956,98.25
,,,,,,100,29.542,51.17,6.672,2.8,229.540,102.53
,,,,,,200,30.375,52.61,3.500,1.47,239.376,106.93
,,,,5,"[0, 523]",5,35.981,62.32,93.280,39.22,194.446,86.86
,,,,,,10,30.964,53.63,53.424,22.46,194.160,86.73
,,,,,,25,27.807,48.16,23.716,9.97,198.618,88.72
,,,,,,50,27.474,47.59,12.650,5.32,207.020,92.47
,,,,,,100,27.846,48.23,6.672,2.8,215.970,96.47
,,,,,,200,28.605,49.55,3.500,1.47,225.216,100.6
,,,,10,"[0, 1047]",5,33.207,57.52,93.280,39.22,172.254,76.94
,,,,,,10,27.844,48.23,53.424,22.46,169.200,75.58
,,,,,,25,24.384,42.24,23.716,9.97,171.234,76.49
,,,,,,50,23.833,41.28,12.650,5.32,177.892,79.46
,,,,,,100,24.039,41.64,6.672,2.8,185.518,82.87
,,,,,,200,24.633,42.67,3.500,1.47,193.440,86.41
,,,,15,"[0, 1570]",5,31.113,53.89,93.280,39.22,155.496,69.46
,,,,,,10,25.249,43.73,53.424,22.46,148.440,66.31
,,,,,,25,21.560,37.34,23.716,9.97,148.638,66.39
,,,,,,50,20.836,36.09,12.650,5.32,153.912,68.75
,,,,,,100,20.894,36.19,6.672,2.8,160.356,71.63
,,,,,,200,21.345,36.97,3.500,1.47,167.136,74.66
,,,,20,"[0, 2094]",5,29.726,51.49,93.280,39.22,144.400,64.5
,,,,,,10,23.344,40.43,53.424,22.46,133.200,59.5
,,,,,,25,19.381,33.57,23.716,9.97,131.208,58.61
,,,,,,50,18.504,32.05,12.650,5.32,135.256,60.42
,,,,,,100,18.450,31.96,6.672,2.8,140.806,62.9
,,,,,,200,18.795,32.56,3.500,1.47,146.736,65.54
,,,,30,"[0, 3141]",5,27.747,48.06,93.280,39.22,128.573,57.43
,,,,,,10,20.699,35.85,53.424,22.46,112.040,50.05
,,,,,,25,16.221,28.1,23.716,9.97,105.924,47.31
,,,,,,50,15.121,26.19,12.650,5.32,108.196,48.33
,,,,,,100,14.897,25.8,6.672,2.8,112.378,50.2
,,,,,,200,15.081,26.12,3.500,1.47,117.024,52.27
,wind_direction_11.csv,20.752,CoderBasic,,,,85.618,100,352.784,100,332.032,100
,,,CoderPCA,0,"[0, 0]",5,51.132,59.72,74.735,21.18,334.199,100.65
,,,,,,10,46.398,54.19,37.385,10.6,333.676,100.5
,,,,,,25,43.447,50.75,14.975,4.24,332.479,100.13
,,,,,,50,42.510,49.65,7.505,2.13,332.448,100.13
,,,,,,100,42.122,49.2,4.611,1.31,332.240,100.06
,,,,,,200,42.088,49.16,4.439,1.26,332.136,100.03
,,,,3,"[0, 338]",5,42.724,49.9,74.735,21.18,266.935,80.39
,,,,,,10,39.972,46.69,37.385,10.6,282.268,85.01
,,,,,,25,39.847,46.54,14.975,4.24,303.679,91.46
,,,,,,50,40.844,47.7,7.505,2.13,319.120,96.11
,,,,,,100,41.132,48.04,4.611,1.31,324.320,97.68
,,,,,,200,41.690,48.69,4.439,1.26,328.952,99.07
,,,,5,"[0, 563]",5,41.772,48.79,74.735,21.18,259.319,78.1
,,,,,,10,39.558,46.2,37.385,10.6,278.956,84.01
,,,,,,25,39.511,46.15,14.975,4.24,300.991,90.65
,,,,,,50,40.648,47.48,7.505,2.13,317.552,95.64
,,,,,,100,41.132,48.04,4.611,1.31,324.320,97.68
,,,,,,200,41.690,48.69,4.439,1.26,328.952,99.07
,,,,10,"[0, 1127]",5,38.924,45.46,74.735,21.18,236.535,71.24
,,,,,,10,37.344,43.62,37.385,10.6,261.244,78.68
,,,,,,25,38.455,44.91,14.975,4.24,292.543,88.11
,,,,,,50,39.962,46.67,7.505,2.13,312.064,93.99
,,,,,,100,41.132,48.04,4.611,1.31,324.320,97.68
,,,,,,200,41.690,48.69,4.439,1.26,328.952,99.07
,,,,15,"[0, 1690]",5,36.124,42.19,74.735,21.18,214.135,64.49
,,,,,,10,35.274,41.2,37.385,10.6,244.684,73.69
,,,,,,25,37.063,43.29,14.975,4.24,281.407,84.75
,,,,,,50,39.080,45.64,7.505,2.13,305.008,91.86
,,,,,,100,40.538,47.35,4.611,1.31,319.568,96.25
,,,,,,200,41.690,48.69,4.439,1.26,328.952,99.07
,,,,20,"[0, 2253]",5,33.956,39.66,74.735,21.18,196.791,59.27
,,,,,,10,33.060,38.61,37.385,10.6,226.972,68.36
,,,,,,25,35.911,41.94,14.975,4.24,272.191,81.98
,,,,,,50,38.688,45.19,7.505,2.13,301.872,90.92
,,,,,,100,40.538,47.35,4.611,1.31,319.568,96.25
,,,,,,200,41.690,48.69,4.439,1.26,328.952,99.07
,,,,30,"[0, 3380]",5,30.572,35.71,74.735,21.18,169.719,51.12
,,,,,,10,29.820,34.83,37.385,10.6,201.052,60.55
,,,,,,25,33.079,38.64,14.975,4.24,249.535,75.15
,,,,,,50,37.218,43.47,7.505,2.13,290.112,87.37
,,,,,,100,40.340,47.12,4.611,1.31,317.984,95.77
,,,,,,200,41.690,48.69,4.439,1.26,328.952,99.07
,,,CoderAPCA,0,"[0, 0]",5,55.236,64.51,83.020,23.53,358.739,108.04
,,,,,,10,52.585,61.42,43.596,12.36,376.960,113.53
,,,,,,25,51.759,60.45,18.282,5.18,395.661,119.16
,,,,,,50,53.022,61.93,9.568,2.71,414.480,124.83
,,,,,,100,54.805,64.01,4.992,1.42,433.320,130.51
,,,,,,200,56.861,66.41,2.600,0.74,452.160,136.18
,,,,3,"[0, 338]",5,38.698,45.2,83.020,23.53,226.442,68.2
,,,,,,10,33.468,39.09,43.596,12.36,224.020,67.47
,,,,,,25,30.832,36.01,18.282,5.18,228.249,68.74
,,,,,,50,30.898,36.09,9.568,2.71,237.490,71.53
,,,,,,100,31.609,36.92,4.992,1.42,247.756,74.62
,,,,,,200,32.642,38.13,2.600,0.74,258.408,77.83
,,,,5,"[0, 563]",5,36.000,42.05,83.020,23.53,204.858,61.7
,,,,,,10,30.505,35.63,43.596,12.36,200.320,60.33
,,,,,,25,27.690,32.34,18.282,5.18,203.112,61.17
,,,,,,50,27.598,32.23,9.568,2.71,211.090,63.58
,,,,,,100,28.153,32.88,4.992,1.42,220.110,66.29
,,,,,,200,29.036,33.91,2.600,0.74,229.560,69.14
,,,,10,"[0, 1127]",5,31.298,36.56,83.020,23.53,167.238,50.37
,,,,,,10,25.065,29.28,43.596,12.36,156.800,47.22
,,,,,,25,21.823,25.49,18.282,5.18,156.177,47.04
,,,,,,50,21.413,25.01,9.568,2.71,161.612,48.67
,,,,,,100,21.679,25.32,4.992,1.42,168.314,50.69
,,,,,,200,22.274,26.02,2.600,0.74,175.464,52.85
,,,,15,"[0, 1690]",5,28.434,33.21,83.020,23.53,144.324,43.47
,,,,,,10,21.598,25.23,43.596,12.36,129.060,38.87
,,,,,,25,17.991,21.01,18.282,5.18,125.517,37.8
,,,,,,50,17.360,20.28,9.568,2.71,129.184,38.91
,,,,,,100,17.433,20.36,4.992,1.42,134.343,40.46
,,,,,,200,17.840,20.84,2.600,0.74,139.992,42.16
,,,,20,"[0, 2253]",5,26.695,31.18,83.020,23.53,130.416,39.28
,,,,,,10,19.473,22.74,43.596,12.36,112.060,33.75
,,,,,,25,15.523,18.13,18.282,5.18,105.777,31.86
,,,,,,50,14.733,17.21,9.568,2.71,108.174,32.58
,,,,,,100,14.661,17.12,4.992,1.42,112.171,33.78
,,,,,,200,14.939,17.45,2.600,0.74,116.784,35.17
