DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-05-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
600,N,27208,26739,27821,28808,28535,N,N,N,27487,28035,27957,N,N,N,N,27051,29091,28198,N,30144,N,N,N,N,28561,28323,N,29301,28723,28741,N,N,28806,29157,N,N,30625,29733,N,N,28389,N,N,N,28216,N,N,28696,N,29920,30587,N,N,27833
600,N,27169,26731,27810,28805,28517,N,N,N,27453,28024,27950,N,N,N,N,27040,29074,28200,N,30112,N,N,N,N,28568,28305,N,29296,28702,28744,N,N,28813,29168,N,N,30290,29702,N,N,28410,N,N,N,28220,N,N,28694,N,29900,30316,N,N,27835
600,N,27111,26706,27759,28811,28540,N,N,N,27454,28014,27983,N,N,N,N,27044,29070,28196,N,30212,N,N,N,N,28570,28309,N,29286,28702,28738,N,N,28807,29157,N,N,30271,29716,N,N,28416,N,N,N,28214,N,N,28688,N,29913,30309,N,N,27828
600,N,27109,26715,27764,28798,28525,N,N,N,27430,28010,27984,N,N,N,N,27053,29056,28206,N,30112,N,N,N,N,28581,28304,N,29270,28692,28740,N,N,28806,29159,N,N,30497,29780,N,N,28385,N,N,N,28214,N,N,28676,N,29914,30089,N,N,27827
600,26028,27156,26697,27789,28789,28536,N,N,N,27399,28014,27962,N,N,N,N,27059,29047,28198,N,30031,N,N,N,N,28577,28296,N,29277,28702,28735,N,N,28790,29153,N,N,30502,29802,N,N,28369,N,N,N,28213,N,N,28673,N,29903,30122,N,N,27825
600,26035,26979,N,27758,28782,28529,N,N,N,27358,28006,27975,N,N,N,N,27067,29028,28174,N,29992,N,N,N,N,28558,28262,N,29273,28694,28735,N,N,28798,29145,N,N,30453,29869,N,N,28372,N,N,N,28220,N,N,28682,29991,29916,30249,N,N,27825
600,N,27134,26698,27741,28782,28554,N,N,N,27344,28018,27961,N,N,N,N,27072,29044,28185,N,29990,N,N,N,N,28583,28285,N,29258,28680,28728,N,N,28792,29135,N,N,30513,29894,N,N,28365,N,N,N,28220,N,N,28672,29991,29911,30224,N,N,27827
600,N,27096,26696,27718,28780,28546,N,N,N,27323,28011,27942,N,N,N,N,27074,29047,28183,N,29922,N,N,N,N,28579,28278,N,29267,28673,28734,N,N,28796,29132,N,N,30537,29887,N,N,28355,N,N,N,28208,N,N,28662,29994,29902,30481,N,N,27820
600,25898,27080,26682,27730,28770,28552,N,N,N,27307,28012,27920,N,N,N,N,27080,29052,28180,N,29893,N,N,N,N,28560,28274,N,29268,28656,28731,N,N,28790,29125,N,N,30482,29862,N,N,28362,N,N,N,28212,N,N,28669,29984,29892,30592,N,N,27827
600,N,27037,26676,27703,28766,28549,N,N,N,27294,28008,27914,N,N,N,N,27084,29049,28181,N,29945,N,N,N,N,28552,N,N,29263,28631,28728,N,N,28796,29124,N,N,30153,29863,N,N,28348,N,N,N,28214,N,N,28668,29940,29888,30630,N,N,27826
600,25903,27017,26668,27691,28764,28527,N,N,N,27268,28003,27919,N,N,N,N,27084,29048,28175,N,29968,N,N,N,N,28566,N,N,29256,28654,28727,N,N,28782,29124,N,N,30119,29846,N,N,28346,N,N,N,28215,N,N,28661,29945,29900,30663,N,N,27827
600,25882,27009,N,27719,28759,28488,N,N,N,27277,28003,27901,N,N,N,N,27083,28986,28164,N,29920,N,N,N,N,28576,28265,N,29258,28647,28721,N,N,28784,29117,N,N,30188,29851,N,N,28347,N,N,N,28208,N,N,28661,29958,29885,30651,N,N,27825
