Dataset,Filename,Column,,0 (%),,,1 (%),,,3 (%),,,5 (%),,,10 (%),,,15 (%),,,20 (%),,,30 (%),
,,,Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%)
IRKIS
,Global
,,VWC,APCA,26.94,0.28,APCA,34.0,0.28,APCA,49.94,0.25,APCA,68.95,0.22,APCA,76.68,0.13,APCA,67.29,0.07,APCA,50.37,0.03,APCA,25.64,0.02
NOAA-SST
,Global
,,SST,PCA,4.69,0.64,APCA,15.74,0.33,APCA,11.32,0.15,APCA,8.69,0.1,APCA,5.74,0.05,APCA,5.23,0.03,APCA,8.88,0.03,APCA,15.12,0.02
NOAA-ADCP
,Global
,,Vel,PCA,6.92,0.73,PCA,6.39,0.73,APCA,4.34,0.7,APCA,8.61,0.67,APCA,18.28,0.59,APCA,19.95,0.51,APCA,21.92,0.45,APCA,23.78,0.34
SolarAnywhere
,Global
,,GHI,PCA,4.13,0.81,APCA,2.77,0.78,APCA,5.78,0.76,APCA,8.27,0.73,APCA,12.62,0.67,APCA,16.59,0.63,APCA,21.46,0.6,APCA,31.77,0.55
,,DNI,PCA,0.61,0.76,APCA,2.79,0.74,APCA,9.37,0.73,APCA,13.39,0.71,APCA,19.68,0.67,APCA,24.42,0.64,APCA,29.65,0.62,APCA,37.69,0.57
,,DHI,PCA,3.82,0.81,PCA,4.1,0.81,APCA,5.22,0.76,APCA,7.11,0.73,APCA,11.19,0.68,APCA,15.55,0.63,APCA,20.34,0.6,APCA,29.11,0.55
ElNino
,el-nino.csv
,,Lat,APCA,29.23,0.23,APCA,29.23,0.23,APCA,29.83,0.23,APCA,33.0,0.23,APCA,44.82,0.22,APCA,53.84,0.21,APCA,55.95,0.2,APCA,66.05,0.17
,,Long,APCA,29.72,0.25,APCA,30.34,0.24,APCA,46.18,0.24,APCA,47.63,0.22,APCA,51.24,0.18,APCA,58.83,0.16,APCA,65.11,0.14,APCA,79.27,0.11
,,Z. Wind,PCA,8.85,0.35,PCA,8.85,0.35,PCA,8.85,0.35,PCA,6.81,0.34,APCA,12.08,0.31,APCA,17.18,0.28,APCA,21.15,0.26,APCA,21.62,0.21
,,M. Wind,PCA,9.0,0.35,PCA,9.0,0.35,PCA,9.0,0.35,PCA,8.32,0.34,APCA,9.27,0.32,APCA,13.92,0.3,APCA,17.64,0.28,APCA,21.85,0.25
,,Humidity,PCA,8.03,0.25,PCA,8.03,0.25,PCA,7.53,0.25,PCA,4.83,0.24,APCA,8.35,0.22,APCA,13.1,0.21,APCA,17.24,0.19,APCA,18.35,0.16
,,AirTemp,PCA,6.48,0.35,PCA,5.85,0.35,APCA,6.52,0.32,APCA,9.63,0.3,APCA,13.52,0.26,APCA,15.48,0.23,APCA,16.37,0.2,APCA,18.99,0.16
,,SST,PCA,6.0,0.35,APCA,9.42,0.34,APCA,15.56,0.29,APCA,15.88,0.24,APCA,17.57,0.17,APCA,17.94,0.13,APCA,17.94,0.1,APCA,16.62,0.06
NOAA-SPC-hail
,noaa_spc-hail.csv
,,Lat,PCA,7.88,1.09,PCA,4.23,1.04,APCA,9.35,0.99,APCA,13.11,0.95,APCA,17.13,0.86,APCA,18.79,0.8,APCA,22.1,0.74,APCA,26.64,0.64
,,Long,PCA,7.35,1.08,PCA,2.89,1.03,APCA,10.39,0.96,APCA,14.78,0.91,APCA,18.61,0.8,APCA,23.22,0.72,APCA,25.53,0.65,APCA,30.52,0.56
,,Size,APCA,19.31,1.0,APCA,19.33,1.0,APCA,18.94,0.99,APCA,18.39,0.99,APCA,17.07,0.97,APCA,14.71,0.94,APCA,13.19,0.93,APCA,24.56,0.85
NOAA-SPC-tornado
,noaa_spc-tornado.csv
,,Lat,PCA,7.54,1.08,APCA,10.55,0.95,APCA,15.95,0.84,APCA,14.96,0.77,APCA,18.43,0.66,APCA,20.01,0.58,APCA,21.91,0.54,APCA,26.57,0.46
,,Long,PCA,7.02,1.08,APCA,9.23,0.9,APCA,13.01,0.75,APCA,15.81,0.68,APCA,17.48,0.55,APCA,18.04,0.49,APCA,21.47,0.44,APCA,24.37,0.38
NOAA-SPC-wind
,noaa_spc-wind.csv
,,Lat,PCA,7.69,1.08,PCA,4.92,1.05,APCA,11.36,1.0,APCA,15.86,0.97,APCA,22.49,0.9,APCA,25.71,0.84,APCA,29.3,0.79,APCA,34.98,0.73
,,Long,PCA,7.19,1.08,APCA,6.41,1.02,APCA,16.07,0.96,APCA,20.15,0.92,APCA,25.56,0.83,APCA,30.33,0.78,APCA,34.07,0.74,APCA,40.07,0.66
