Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,50,120.713,52.53,447185,0,447185,100.0,505824,11889,517713,37.23
,,,,,,100,124.129,54.01,447185,0,447185,100.0,533154,11889,545043,39.2
,,,,,,200,127.847,55.63,447185,0,447185,100.0,562896,11889,574785,41.34
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,113.187,49.25,447185,0,447185,100.0,445614,11889,457503,32.9
,,,,,,10,96.580,42.03,447185,0,447185,100.0,312760,11889,324649,23.35
,,,,,,25,87.387,38.03,447185,0,447185,100.0,239220,11889,251109,18.06
,,,,,,50,85.965,37.41,447185,0,447185,100.0,227840,11889,239729,17.24
,,,,,,100,86.247,37.53,447185,0,447185,100.0,230095,11889,241984,17.4
,,,,,,200,87.320,38.0,447185,0,447185,100.0,238680,11889,250569,18.02
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,103.832,45.18,447185,0,447185,100.0,370773,11889,382662,27.52
,,,,,,10,84.057,36.58,447185,0,447185,100.0,212576,11889,224465,16.14
,,,,,,25,71.570,31.14,447185,0,447185,100.0,112680,11889,124569,8.96
,,,,,,50,67.845,29.52,447185,0,447185,100.0,82880,11889,94769,6.82
,,,,,,100,66.287,28.84,447185,0,447185,100.0,70414,11889,82303,5.92
,,,,,,200,65.855,28.66,447185,0,447185,100.0,66960,11889,78849,5.67
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,102.995,44.82,447185,0,447185,100.0,364078,11889,375967,27.04
,,,,,,10,82.788,36.02,447185,0,447185,100.0,202426,11889,214315,15.41
,,,,,,25,69.676,30.32,447185,0,447185,100.0,97530,11889,109419,7.87
,,,,,,50,65.479,28.49,447185,0,447185,100.0,63952,11889,75841,5.45
,,,,,,100,63.480,27.62,447185,0,447185,100.0,47957,11889,59846,4.3
,,,,,,200,62.689,27.28,447185,0,447185,100.0,41634,11889,53523,3.85
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,102.848,44.75,447185,0,447185,100.0,362908,11889,374797,26.95
,,,,,,10,82.540,35.92,447185,0,447185,100.0,200438,11889,212327,15.27
,,,,,,25,69.309,30.16,447185,0,447185,100.0,94590,11889,106479,7.66
,,,,,,50,64.985,28.28,447185,0,447185,100.0,60000,11889,71889,5.17
,,,,,,100,62.872,27.36,447185,0,447185,100.0,43095,11889,54984,3.95
,,,,,,200,61.951,26.96,447185,0,447185,100.0,35730,11889,47619,3.42
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,102.618,44.65,447185,0,447185,100.0,361062,11889,372951,26.82
,,,,,,10,82.165,35.75,447185,0,447185,100.0,197442,11889,209331,15.05
,,,,,,25,68.727,29.91,447185,0,447185,100.0,89940,11889,101829,7.32
,,,,,,50,64.209,27.94,447185,0,447185,100.0,53792,11889,65681,4.72
,,,,,,100,61.911,26.94,447185,0,447185,100.0,35411,11889,47300,3.4
,,,,,,200,60.846,26.48,447185,0,447185,100.0,26892,11889,38781,2.79
,,,CoderCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,213.199,92.77,447185,0,447185,100.0,1245712,11889,1257601,90.44
,,,,,,10,182.720,79.51,447185,0,447185,100.0,1001882,11889,1013771,72.91
,,,,,,25,167.356,72.82,447185,0,447185,100.0,878970,11889,890859,64.07
,,,,,,50,168.171,73.18,447185,0,447185,100.0,885488,11889,897377,64.54
,,,,,,100,172.180,74.92,447185,0,447185,100.0,917558,11889,929447,66.84
,,,,,,200,177.477,77.23,447185,0,447185,100.0,959940,11889,971829,69.89
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,213.199,92.77,447185,0,447185,100.0,1245712,11889,1257601,90.44
,,,,,,10,182.720,79.51,447185,0,447185,100.0,1001882,11889,1013771,72.91
,,,,,,25,167.356,72.82,447185,0,447185,100.0,878970,11889,890859,64.07
,,,,,,50,168.171,73.18,447185,0,447185,100.0,885488,11889,897377,64.54
,,,,,,100,172.180,74.92,447185,0,447185,100.0,917558,11889,929447,66.84
,,,,,,200,177.477,77.23,447185,0,447185,100.0,959940,11889,971829,69.89
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,204.325,88.91,447185,0,447185,100.0,1174719,11889,1186608,85.34
,,,,,,10,169.970,73.96,447185,0,447185,100.0,899878,11889,911767,65.57
,,,,,,25,150.492,65.49,447185,0,447185,100.0,744060,11889,755949,54.37
