Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
IRKIS,Global,,CoderBase,,,,2691251,100.0,3126589,0,3126589,100.0,18391700,0,18391700,100.0
,,,CoderPCA,0,,4,1177421,43.75,3126624,0,3126624,100.0,6259743,21216,6280959,34.15
,,,,,,8,1300775,48.33,3126624,0,3126624,100.0,7246578,21216,7267794,39.52
,,,,,,16,1446822,53.76,3126624,0,3126624,100.0,8414955,21216,8436171,45.87
,,,,,,32,1532027,56.93,3126624,0,3126624,100.0,9096594,21216,9117810,49.58
,,,,,,64,1574783,58.51,3126624,0,3126624,100.0,9438643,21216,9459859,51.44
,,,,,,128,1596773,59.33,3126624,0,3126624,100.0,9614565,21216,9635781,52.39
,,,,,,256,1608661,59.77,3126624,0,3126624,100.0,9709666,21216,9730882,52.91
,,,,1,,4,1123188,41.73,3126624,0,3126624,100.0,5825883,21216,5847099,31.79
,,,,,,8,1227428,45.61,3126624,0,3126624,100.0,6659798,21216,6681014,36.33
,,,,,,16,1371112,50.95,3126624,0,3126624,100.0,7809265,21216,7830481,42.58
,,,,,,32,1469248,54.59,3126624,0,3126624,100.0,8594364,21216,8615580,46.84
,,,,,,64,1530521,56.87,3126624,0,3126624,100.0,9084553,21216,9105769,49.51
,,,,,,128,1569717,58.33,3126624,0,3126624,100.0,9398115,21216,9419331,51.22
,,,,,,256,1596867,59.34,3126624,0,3126624,100.0,9615316,21216,9636532,52.4
,,,,3,,4,968100,35.97,3126624,0,3126624,100.0,4585173,21216,4606389,25.05
,,,,,,8,1008544,37.47,3126624,0,3126624,100.0,4908728,21216,4929944,26.81
,,,,,,16,1141115,42.4,3126624,0,3126624,100.0,5969295,21216,5990511,32.57
,,,,,,32,1276088,47.42,3126624,0,3126624,100.0,7049074,21216,7070290,38.44
,,,,,,64,1391297,51.7,3126624,0,3126624,100.0,7970753,21216,7991969,43.45
,,,,,,128,1473044,54.73,3126624,0,3126624,100.0,8624735,21216,8645951,47.01
,,,,,,256,1533860,56.99,3126624,0,3126624,100.0,9111256,21216,9132472,49.66
,,,,5,,4,830347,30.85,3126624,0,3126624,100.0,3483153,21216,3504369,19.05
,,,,,,8,779903,28.98,3126624,0,3126624,100.0,3079598,21216,3100814,16.86
,,,,,,16,856477,31.82,3126624,0,3126624,100.0,3692185,21216,3713401,20.19
,,,,,,32,1002886,37.26,3126624,0,3126624,100.0,4863474,21216,4884690,26.56
,,,,,,64,1177029,43.74,3126624,0,3126624,100.0,6256603,21216,6277819,34.13
,,,,,,128,1325019,49.23,3126624,0,3126624,100.0,7440535,21216,7461751,40.57
,,,,,,256,1438452,53.45,3126624,0,3126624,100.0,8347986,21216,8369202,45.51
,,,,10,,4,756313,28.1,3126624,0,3126624,100.0,2890883,21216,2912099,15.83
,,,,,,8,641962,23.85,3126624,0,3126624,100.0,1976058,21216,1997274,10.86
,,,,,,16,655672,24.36,3126624,0,3126624,100.0,2085755,21216,2106971,11.46
,,,,,,32,764988,28.42,3126624,0,3126624,100.0,2960294,21216,2981510,16.21
,,,,,,64,954118,35.45,3126624,0,3126624,100.0,4473313,21216,4494529,24.44
,,,,,,128,1148823,42.69,3126624,0,3126624,100.0,6030955,21216,6052171,32.91
,,,,,,256,1308407,48.62,3126624,0,3126624,100.0,7307636,21216,7328852,39.85
,,,,15,,4,746919,27.75,3126624,0,3126624,100.0,2815733,21216,2836949,15.43
,,,,,,8,614852,22.85,3126624,0,3126624,100.0,1759198,21216,1780414,9.68
,,,,,,16,598588,22.24,3126624,0,3126624,100.0,1629075,21216,1650291,8.97
,,,,,,32,667644,24.81,3126624,0,3126624,100.0,2181524,21216,2202740,11.98
,,,,,,64,828443,30.78,3126624,0,3126624,100.0,3467913,21216,3489129,18.97
,,,,,,128,1025598,38.11,3126624,0,3126624,100.0,5045165,21216,5066381,27.55
,,,,,,256,1199788,44.58,3126624,0,3126624,100.0,6438676,21216,6459892,35.12
,,,,20,,4,742037,27.57,3126624,0,3126624,100.0,2776673,21216,2797889,15.21
,,,,,,8,599242,22.27,3126624,0,3126624,100.0,1634318,21216,1655534,9.0
,,,,,,16,564090,20.96,3126624,0,3126624,100.0,1353095,21216,1374311,7.47
,,,,,,32,602434,22.38,3126624,0,3126624,100.0,1659854,21216,1681070,9.14
,,,,,,64,729826,27.12,3126624,0,3126624,100.0,2678983,21216,2700199,14.68
,,,,,,128,918937,34.15,3126624,0,3126624,100.0,4191875,21216,4213091,22.91
,,,,,,256,1100920,40.91,3126624,0,3126624,100.0,5647736,21216,5668952,30.82
,,,,30,,4,737504,27.4,3126624,0,3126624,100.0,2740403,21216,2761619,15.02
,,,,,,8,585104,21.74,3126624,0,3126624,100.0,1521198,21216,1542414,8.39
,,,,,,16,533138,19.81,3126624,0,3126624,100.0,1105485,21216,1126701,6.13
,,,,,,32,546519,20.31,3126624,0,3126624,100.0,1212534,21216,1233750,6.71
,,,,,,64,628990,23.37,3126624,0,3126624,100.0,1872303,21216,1893519,10.3
,,,,,,128,777122,28.88,3126624,0,3126624,100.0,3057355,21216,3078571,16.74
,,,,,,256,968630,35.99,3126624,0,3126624,100.0,4589406,21216,4610622,25.07
