,,,CoderPCA,256,256,256,256,256,4,4,4,,100.04,100.04,100.04,100.04,100.04,99.22,95.69,86.08
,,,CoderAPCA,4,4,4,4,4,4,4,4,,114.31,113.85,109.94,101.41,88.83,78.56,69.33,56.04
,,,CoderCA,4,4,4,4,4,4,4,4,,118.47,118.14,116.37,113.57,107.98,102.72,97.28,87.41
,,,CoderPWLH,4,4,4,4,4,8,8,16,,322.1,320.33,311.12,300.61,277.53,255.16,230.16,187.73
,,,CoderPWLHInt,4,4,4,4,4,4,8,8,,108.78,108.78,108.19,105.12,96.92,90.41,83.77,68.64
,,,CoderFR,4,4,4,4,4,4,4,4,,114.12,113.95,113.0,111.45,107.96,104.45,100.53,92.93
,,,CoderSF,,,,,,,,,,1045.7,1036.11,987.68,940.19,837.7,757.18,680.91,556.37
,,,CoderGAMPSLimit,4,4,4,4,4,4,8,8,,619.25,616.69,595.2,548.34,479.28,423.41,368.43,283.36
,,AirTemp
,,,CoderPCA,256,256,256,4,4,4,4,4,,100.03,100.03,100.03,97.75,88.25,79.24,72.65,63.28
,,,CoderAPCA,4,4,4,4,4,8,8,16,,110.82,107.0,92.83,83.83,68.64,58.88,51.3,40.75
,,,CoderCA,4,4,4,4,4,4,4,8,,115.07,113.07,107.16,101.86,91.56,84.37,79.25,68.98
,,,CoderPWLH,4,4,4,8,16,16,32,32,,269.17,259.91,241.41,222.88,188.43,162.04,142.9,114.73
,,,CoderPWLHInt,4,4,4,4,8,16,16,32,,106.97,106.25,99.3,92.77,79.36,69.67,61.34,50.3
,,,CoderFR,4,4,4,4,4,8,8,8,,111.61,110.52,106.82,103.1,94.96,88.48,81.66,71.72
,,,CoderSF,,,,,,,,,,874.85,822.13,742.51,675.21,559.87,477.86,416.98,331.0
,,,CoderGAMPSLimit,4,4,4,8,8,16,16,32,,516.73,498.77,432.26,390.91,309.79,256.98,220.41,167.59
,,SST
,,,CoderPCA,256,256,4,4,4,4,4,4,,100.03,100.03,94.4,86.53,69.65,57.71,48.95,38.53
,,,CoderAPCA,4,4,4,4,8,16,16,32,,111.83,94.12,74.77,62.64,43.07,32.42,24.96,16.47
,,,CoderCA,4,4,4,4,8,8,16,16,,114.48,105.81,93.8,84.73,69.33,58.07,49.34,37.19
,,,CoderPWLH,4,4,8,16,32,32,64,64,,267.88,238.65,196.48,164.93,114.55,85.25,65.04,41.5
,,,CoderPWLHInt,4,4,8,8,16,32,32,64,,106.42,103.9,88.54,74.46,52.25,39.51,30.41,19.76
,,,CoderFR,4,4,4,4,8,16,16,32,,111.33,105.97,96.96,89.56,72.5,60.51,50.88,37.35
,,,CoderSF,,,,,,,,,,845.42,704.97,565.13,473.0,332.46,252.71,196.5,127.06
,,,CoderGAMPSLimit,4,4,8,8,16,32,32,64,,521.79,438.56,344.76,279.91,183.6,132.74,99.08,61.77
NOAA-SPC-hail
,noaa_spc-hail.csv
,,Lat
,,,CoderPCA,256,256,4,4,4,4,4,4,,100.03,100.03,99.52,97.25,91.04,85.62,80.73,71.26
,,,CoderAPCA,4,4,4,4,4,8,8,8,,114.81,102.04,89.83,82.62,71.49,64.62,57.49,46.74
,,,CoderCA,4,4,4,4,4,4,4,4,,116.58,113.16,108.69,105.26,98.73,93.68,89.58,83.31
,,,CoderPWLH,4,4,4,8,8,16,16,16,,275.13,262.76,249.93,237.28,212.61,195.6,179.49,153.64
,,,CoderPWLHInt,4,4,4,4,8,8,8,16,,108.58,104.45,99.09,95.08,86.26,79.57,73.8,63.72
,,,CoderFR,4,4,4,4,4,4,4,8,,112.38,110.3,107.22,104.62,99.57,95.62,92.07,84.13
,,,CoderSF,,,,,,,,,,927.27,868.48,805.71,752.85,654.48,579.68,518.18,422.4
,,,CoderGAMPSLimit,4,4,4,8,8,16,16,32,,541.21,481.12,424.05,389.11,328.3,288.03,253.51,200.28
,,Long
,,,CoderPCA,256,256,4,4,4,4,4,4,,100.03,100.03,98.88,95.54,86.75,79.54,73.26,64.17
,,,CoderAPCA,4,4,4,4,4,8,8,16,,114.14,100.96,85.91,77.5,65.06,55.38,48.72,38.74
,,,CoderCA,4,4,4,4,4,4,4,8,,115.35,111.41,105.41,101.28,93.71,88.02,83.56,75.48
,,,CoderPWLH,4,4,8,8,8,16,16,32,,254.07,241.1,224.09,209.03,183.68,163.2,147.5,125.11
,,,CoderPWLHInt,4,4,4,8,8,8,16,16,,107.97,103.01,95.87,90.95,79.93,72.13,65.42,55.75
,,,CoderFR,4,4,4,4,4,4,8,8,,111.5,109.12,105.19,102.01,95.56,90.48,84.77,75.19
,,,CoderSF,,,,,,,,,,851.29,793.65,719.37,656.84,552.6,472.57,411.55,327.61
,,,CoderGAMPSLimit,4,4,4,8,8,16,16,32,,502.2,444.26,378.79,338.94,273.89,229.41,197.92,153.61
,,Size
,,,CoderPCA,4,4,4,4,4,4,4,4,,94.04,94.03,94.03,94.03,94.01,93.99,93.99,87.2
,,,CoderAPCA,4,4,4,4,4,4,4,8,,80.58,80.56,80.56,80.56,80.54,80.51,80.5,64.34
,,,CoderCA,4,4,4,4,4,4,4,4,,106.94,106.63,106.26,105.82,104.97,103.72,102.45,99.33
,,,CoderPWLH,8,8,8,8,8,8,8,8,,294.4,292.91,290.79,288.57,283.02,274.96,268.63,245.49
,,,CoderPWLHInt,4,4,4,4,4,4,4,8,,99.87,99.87,99.39,98.71,97.12,94.39,92.73,85.28
,,,CoderFR,4,4,4,4,4,4,4,4,,105.18,104.9,104.66,104.43,103.77,103.02,102.15,99.9
