Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
IRKIS,vwc_1202.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,169.865,44.14,94.766,21.19,1.263.350,48.03
,,,,,,10,168.612,43.82,47.579,10.64,1.300.510,49.44
,,,,,,25,176.208,45.79,19.430,4.34,1.389.430,52.82
,,,,,,50,177.500,46.13,10.387,2.32,1.408.810,53.56
,,,,,,100,177.596,46.15,6.503,1.45,1.413.460,53.73
,,,,,,200,179.774,46.72,7.527,1.68,1.429.860,54.36
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5,151.310,39.32,94.766,21.19,1.114.910,42.38
,,,,,,10,143.806,37.37,47.579,10.64,1.102.060,41.9
,,,,,,25,149.568,38.87,19.430,4.34,1.176.310,44.72
,,,,,,50,155.512,40.41,10.387,2.32,1.232.900,46.87
,,,,,,100,162.251,42.16,6.503,1.45,1.290.700,49.07
,,,,,,200,171.317,44.52,7.527,1.68,1.362.200,51.78
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,111.470,28.97,94.766,21.19,796.190,30.27
,,,,,,10,88.422,22.98,47.579,10.64,658.990,25.05
,,,,,,25,88.908,23.1,19.430,4.34,691.030,26.27
,,,,,,50,103.265,26.84,10.387,2.32,814.930,30.98
,,,,,,100,124.755,32.42,6.503,1.45,990.730,37.66
,,,,,,200,150.670,39.15,7.527,1.68,1.197.030,45.51
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,90.640,23.55,94.766,21.19,629.550,23.93
,,,,,,10,57.451,14.93,47.579,10.64,411.220,15.63
,,,,,,25,50.778,13.2,19.430,4.34,385.990,14.67
,,,,,,50,65.290,16.97,10.387,2.32,511.130,19.43
,,,,,,100,89.857,23.35,6.503,1.45,711.550,27.05
,,,,,,200,123.059,31.98,7.527,1.68,976.140,37.11
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,88.325,22.95,94.766,21.19,611.030,23.23
,,,,,,10,52.253,13.58,47.579,10.64,369.640,14.05
,,,,,,25,40.128,10.43,19.430,4.34,300.790,11.43
,,,,,,50,48.018,12.48,10.387,2.32,372.950,14.18
,,,,,,100,66.840,17.37,6.503,1.45,527.410,20.05
,,,,,,200,94.204,24.48,7.527,1.68,745.300,28.33
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,87.710,22.79,94.766,21.19,606.110,23.04
,,,,,,10,50.588,13.15,47.579,10.64,356.320,13.55
,,,,,,25,37.368,9.71,19.430,4.34,278.710,10.6
,,,,,,50,42.383,11.01,10.387,2.32,327.870,12.46
,,,,,,100,60.529,15.73,6.503,1.45,476.920,18.13
,,,,,,200,86.493,22.48,7.527,1.68,683.610,25.99
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,86.995,22.61,94.766,21.19,600.390,22.82
,,,,,,10,48.946,12.72,47.579,10.64,343.180,13.05
,,,,,,25,33.168,8.62,19.430,4.34,245.110,9.32
,,,,,,50,35.645,9.26,10.387,2.32,273.970,10.42
,,,,,,100,49.639,12.9,6.503,1.45,389.800,14.82
,,,,,,200,70.573,18.34,7.527,1.68,556.250,21.15
