DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-07-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
0,23845,25167,N,N,30335,29398,N,N,27064,27225,28058,N,N,N,N,N,24904,26295,28452,N,30440,N,N,N,27643,27881,29096,N,29594,29398,N,N,25518,27550,28455,N,N,29737,29812,N,29594,28623,N,N,N,28676,N,25804,27226,29309,29476,29849,N,25579,28842
600,23838,25168,N,N,30334,29420,N,23295,27065,27221,28057,N,N,N,N,26854,24901,26295,N,N,30439,N,N,23126,27640,27876,29090,N,29595,29415,N,27651,25515,27546,28452,N,N,29737,29812,23891,30058,28621,N,N,N,28675,28201,25801,27226,29311,29484,29848,N,N,28832
600,23832,25168,27230,N,30332,29443,N,23283,27066,27217,28056,N,N,N,N,N,24898,26296,N,N,30438,N,N,23124,27637,27871,29083,N,29596,29431,N,27649,25512,27542,28450,N,N,29736,29812,23892,29527,28619,N,N,N,28675,28198,25798,27226,29313,29492,29846,N,25571,28821
600,23825,25169,27229,N,30331,29465,N,23271,27066,27213,28055,N,N,N,N,26773,24895,26296,N,N,30437,N,N,23122,27633,27866,29077,N,29596,29448,N,27647,25510,27539,28447,N,N,29736,29811,23892,30070,28617,N,N,N,28674,28195,25795,27225,29315,29500,29845,N,25571,28811
600,23818,25169,27228,N,30330,29487,N,23260,27067,27210,28054,N,N,N,N,26770,24892,26297,N,N,30436,N,N,23120,27630,27861,29070,N,29597,29465,N,27645,25507,27535,28444,N,N,29736,29811,23893,29657,28615,N,N,N,28673,28191,25792,27225,29317,29507,29844,N,25571,28801
600,23812,25170,27226,N,30329,29509,N,23248,27068,27206,28053,N,N,N,N,26766,24888,26297,N,N,30435,N,N,23118,27627,27856,29064,N,29598,29481,N,27642,25504,27531,28441,N,N,29735,29811,23893,29646,28613,N,N,N,28672,28188,25789,27225,29319,29515,29842,N,25570,28790
600,23805,25171,27225,N,30327,29532,N,23236,27069,27202,28052,N,N,N,N,26763,24885,26297,N,N,30434,N,N,23116,27624,27851,29057,N,29599,29498,N,27640,25501,27527,28439,N,N,29735,29811,23894,29636,28611,N,N,N,28672,28185,25786,27225,29321,29523,29841,N,25570,28780
600,23798,25171,N,N,30326,29554,N,23224,27070,27198,28051,N,N,N,N,26760,24882,26298,28444,N,30434,N,N,23114,27620,27846,29051,N,29599,29515,N,27638,25498,27523,28436,N,N,29734,29810,23894,29625,28609,N,N,N,28671,28182,25783,27224,N,29531,29840,N,25570,28770
600,23792,25172,27177,N,30325,29576,N,23213,27070,27194,28050,N,N,N,N,26757,24879,26298,28452,N,30433,N,N,23112,27617,27841,29044,N,29600,29531,N,27636,25496,27519,28433,N,N,29734,29810,23895,29614,28607,N,N,N,28670,28179,25780,27224,N,29539,29838,N,25570,28759
600,23785,25172,27174,N,30323,29598,N,23201,27071,27190,28049,N,N,N,N,26753,24876,26299,28459,N,30432,N,N,23110,27614,27836,29038,N,29601,29548,N,27634,25493,27516,28430,N,N,29734,29810,23896,29603,28604,N,N,N,28669,28175,25777,27224,N,29547,29837,N,25570,28749
600,23778,25173,27171,N,30322,29621,N,23189,27072,27186,28048,N,N,N,N,26750,24873,26299,N,N,30431,N,N,23107,27611,27831,29031,N,29602,29565,N,27632,25490,27512,28428,N,N,29733,29810,23896,29593,28602,N,N,N,28669,28172,25773,27224,N,29555,29835,N,25570,28739
600,23772,25174,27168,N,30321,29643,N,23177,27073,27182,28047,N,N,N,N,26747,24870,26299,28433,N,30430,N,N,23105,27607,27826,29025,N,29603,29582,N,27630,25487,27508,28425,N,N,29733,29809,23897,29582,28600,N,N,N,28668,28169,25770,27223,N,29562,29834,N,25569,28728
600,23765,25174,27165,N,30320,29665,N,23166,27073,27179,28046,N,N,N,N,26744,24867,26300,N,N,30429,N,N,23103,27604,27821,29019,N,29603,29598,N,27627,25485,27504,28422,N,N,29733,29809,23897,29571,28598,N,N,N,28667,28166,25767,27223,N,29570,29833,N,25569,28718
600,23758,25175,N,N,30318,29687,N,23154,27074,27175,28045,N,N,N,N,26740,24863,26300,28437,N,30428,N,N,23101,27601,27816,29012,N,29604,29615,N,27625,25482,N,28420,N,N,29732,29809,23898,29560,28596,N,N,N,28666,28163,25764,27223,29319,29578,29831,N,25569,28708
600,23752,25175,27138,N,30317,29710,N,23142,27075,27171,28044,N,N,N,N,26737,24860,26300,28430,N,30427,N,N,23099,27598,27811,29006,N,29605,29632,N,27623,25479,27526,28417,N,N,29732,29809,23899,29550,28594,N,N,N,28666,28159,25761,27223,29319,29586,29830,N,25569,28697
