DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-04-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
0,N,27147,27673,26817,28711,27280,N,N,N,28454,26780,27538,N,N,N,N,29170,28304,28535,28310,29503,28491,N,N,N,28614,27750,N,29548,28537,28720,N,N,28672,29684,N,N,28990,29888,N,N,28242,N,N,N,28617,N,N,28319,30361,30839,29797,30516,N,27189
600,N,27146,N,26815,28723,27284,N,N,N,28447,26781,27536,N,N,N,N,29166,28299,28534,28308,29505,28489,N,N,N,28608,27748,N,29548,28537,28724,N,N,28673,29677,N,N,28990,29886,N,N,28235,N,N,N,28621,N,N,28317,30357,30837,29794,30507,N,27189
600,N,27145,27622,26814,28735,27288,N,N,N,28440,26782,27534,N,N,N,N,29163,28293,28533,28306,29508,28487,N,N,N,28602,27747,N,29549,28536,28727,N,N,28673,29670,N,N,28990,29885,N,N,28228,N,N,N,28625,N,N,28315,30353,30834,29792,30499,N,27190
600,N,27143,27626,26812,28747,27292,N,N,N,28433,26783,27531,N,N,N,N,29159,28288,28533,28303,29510,28485,N,N,N,28596,27745,N,29549,28536,28731,N,N,28674,29663,N,N,28989,29883,N,N,28221,N,N,N,28629,N,N,28314,30349,30832,29789,30490,N,27190
600,N,27142,27631,26811,28759,27297,N,N,N,28426,26784,27529,N,N,N,N,29156,28283,28532,28301,29512,28483,N,N,N,28590,27744,N,29549,28535,28734,N,N,28674,29656,N,N,28989,29881,N,N,28214,N,N,N,28633,N,N,28312,30345,30830,29786,30481,N,27191
600,N,27141,27635,26809,28771,27301,N,N,N,28419,26785,27527,N,N,N,N,29152,28277,28531,28299,29514,28480,N,N,N,28583,27742,N,29550,28535,28738,N,N,28675,29648,N,N,28989,29880,N,N,28207,N,N,N,28637,N,N,28310,30341,30828,29784,30472,N,27191
600,N,27140,27639,26808,28783,27305,N,N,N,28412,26786,27525,N,N,N,N,29148,28272,28530,28297,29517,28478,N,N,N,28577,27741,N,29550,28534,28741,N,N,28675,29641,N,N,28989,29878,N,N,28200,N,N,N,28641,N,N,28308,30337,30825,29781,30464,N,27192
600,N,27139,N,26806,29267,27309,N,N,N,28405,26787,27522,N,N,N,N,29145,28267,28530,28295,29519,28476,N,N,N,28571,27739,N,29550,28534,28745,N,N,28676,29634,N,N,28988,29876,N,N,28194,N,N,N,28645,N,N,28306,30334,30823,29778,30455,N,27192
600,N,27137,27619,26805,29103,27313,N,N,N,28399,26788,27520,N,N,N,N,29141,28261,28529,28292,29521,28474,N,N,N,28565,27738,N,29550,28533,28748,N,N,28676,29627,N,N,28988,29875,N,N,28187,N,N,N,28649,N,N,28305,30330,30821,29775,30446,N,27193
600,N,27136,27600,26803,28940,27317,N,N,N,28392,26789,27518,N,N,N,N,29137,28256,28528,28290,29523,28472,N,N,N,28559,27736,N,29551,28533,28752,N,N,28677,29620,N,N,28988,29873,N,N,28180,N,N,N,28653,N,N,28303,30326,30818,29773,30438,N,27193
600,N,27135,27581,26802,28776,27322,N,N,N,28385,26790,27516,N,N,N,N,29134,28251,28527,28288,29526,28470,N,N,N,28553,27735,N,29551,28533,28755,N,N,28678,29613,N,N,28988,29871,N,N,28173,N,N,N,28657,N,N,28301,30322,30816,29770,30429,N,27194
600,N,27134,27562,26800,28853,27326,N,N,N,28378,26791,27513,N,N,N,N,29130,28245,28527,28286,29528,28468,N,N,N,28547,27733,N,29489,28532,28759,N,N,28678,29606,N,N,28987,29869,N,N,28166,N,N,N,28661,N,N,28299,30318,30814,29767,30420,N,27194
600,N,27133,27543,26799,28882,27330,N,N,N,28371,26792,27511,N,N,N,N,29127,28240,28526,28284,29530,28466,N,N,N,28541,27732,N,29501,28532,28762,N,N,28679,29599,N,N,28987,29868,N,N,28159,N,N,N,28665,N,N,28297,30314,30811,29765,30412,N,27195
600,N,27131,N,26797,28911,27334,N,N,N,28364,26793,27509,N,N,N,N,29123,28235,28525,28281,29532,28463,N,N,N,28535,27730,N,29512,28531,28766,N,N,28679,29591,N,N,28987,29866,N,N,28152,N,N,N,28669,N,N,28295,30310,30809,29762,30403,N,27195
600,N,27130,27539,26796,28940,27338,N,N,N,28357,26794,27507,N,N,N,N,29119,28229,28524,28279,29535,28461,N,N,N,28528,27729,N,29524,28531,28769,N,N,28680,29584,N,N,28987,29864,N,N,28145,N,N,N,28673,N,N,28294,30306,30807,29759,30394,N,27196
600,N,27129,27518,26794,28969,27342,N,N,N,28350,26795,27504,N,N,N,N,29116,28224,28524,28277,29537,28459,N,N,N,28522,27727,N,29535,28530,28773,N,N,28680,29577,N,N,28986,29863,N,N,28138,N,N,N,28677,N,N,28292,30302,30805,29757,30385,N,27196
600,N,27128,27497,26793,28998,27347,N,N,N,28343,26796,27502,N,N,N,N,29112,28219,28523,28275,29539,28457,N,N,N,28516,27726,N,29547,28530,28776,N,N,28681,29570,N,N,28986,29861,N,N,28131,N,N,N,28681,N,N,28290,30298,30802,29754,30377,N,27197
600,N,27127,27475,26791,29027,27351,N,N,N,28336,26797,27500,N,N,N,N,29109,28214,28522,28273,29541,28455,N,N,N,28510,27724,N,29558,28529,28780,N,N,28681,29563,N,N,28986,29859,N,N,28124,N,N,N,28685,N,N,28288,30294,30800,29751,30368,N,27197
600,N,27125,27454,26790,29056,27355,N,N,N,28329,26798,27498,N,N,N,N,29105,28208,28521,28270,29544,28453,N,N,N,28504,27723,N,29570,28529,28783,N,N,28682,29556,N,N,28986,29858,N,N,28117,N,N,N,28689,N,N,28286,30290,30798,29749,30359,N,27198
600,N,27124,N,26788,29085,27359,N,N,N,28322,26799,27496,N,N,N,N,29101,28203,28520,28268,29546,28451,N,N,N,28498,27721,N,29581,28529,28787,N,N,28683,29549,N,N,28985,29856,N,N,28111,N,N,N,28693,N,N,28285,30287,30795,29746,30351,N,27198
600,N,27123,27464,26787,29114,27363,N,N,N,28315,26800,27493,N,N,N,N,29098,28198,28520,28266,29548,28449,N,N,N,28492,27720,N,29593,28528,28790,N,N,28683,29542,N,N,28985,29854,N,N,28104,N,N,N,28697,N,N,28283,30283,30793,29743,30342,N,27199
600,N,27122,27452,26785,29377,27367,N,N,N,28308,26801,27491,N,N,N,N,29094,28192,28519,28264,29550,28446,N,N,N,28486,27718,N,29604,28528,28794,N,N,28684,29535,N,N,28985,29853,N,N,28097,N,N,N,28701,N,N,28281,30279,30791,29740,30333,N,27199
600,N,27121,27439,26784,29423,27371,N,N,N,28302,26802,27489,N,N,N,N,29090,28187,28518,28262,29553,28444,N,N,N,28479,27717,N,29616,28527,28797,N,N,28684,29527,N,N,28985,29851,N,N,28090,N,N,N,28705,N,N,28279,30275,30788,29738,30324,N,27200
600,N,27119,27427,26782,29468,27376,N,N,N,28295,26803,27487,N,N,N,N,29087,28182,28517,28259,29555,28442,N,N,N,28473,27715,N,29627,28527,28801,N,N,28685,29520,N,N,28984,29849,N,N,28083,N,N,N,28620,N,N,28277,30271,30786,29735,30316,N,27200
600,N,27118,27414,26781,29514,27380,N,N,N,28288,26804,27484,N,N,N,N,29083,28176,28517,28257,29557,28440,N,N,N,28467,27714,N,29639,28526,28750,N,N,28685,29513,N,N,28984,29848,N,N,28076,N,N,N,28619,N,N,28276,30267,30784,29732,30307,N,27201
600,N,27117,N,26779,29560,27384,N,N,N,28281,26805,27482,N,N,N,N,29080,28171,28516,28255,29559,28438,N,N,N,28461,27712,N,29650,28526,28748,N,N,28686,29506,N,N,28984,29846,N,N,28069,N,N,N,28617,N,N,28274,30263,30782,29730,30298,N,27201
600,N,27116,27374,26778,29605,27388,N,N,N,28274,26806,27480,N,N,N,N,29076,28166,28515,28253,29562,28436,N,N,N,28455,27711,N,29662,28525,28746,N,N,28686,29499,N,N,28984,29844,N,N,28062,N,N,N,28616,N,N,28272,30259,30779,29727,30290,N,27202
600,N,27115,27366,26776,29651,27392,N,N,N,28267,26807,27478,N,N,N,N,29072,28160,28514,28251,29564,28434,N,N,N,28449,27709,N,29673,28525,28744,N,N,28687,29492,N,N,28983,29842,N,N,28055,N,N,N,28614,N,N,28270,30255,30777,29724,30281,N,27202
600,N,27113,27359,26775,29696,27396,N,N,N,28260,26808,27475,N,N,N,N,29069,28155,28514,28248,29566,28432,N,N,N,28443,27708,N,29685,28525,28742,N,N,28687,29485,N,N,28983,29841,N,N,28048,N,N,N,28613,N,N,28268,30251,30775,29722,30272,N,27203
600,N,27112,27351,26773,29742,27401,N,N,N,28253,26809,27473,N,N,N,N,29065,28150,28513,28246,29568,28429,N,N,N,28437,27706,N,29696,28524,28739,N,N,28688,29478,N,N,28983,29839,N,N,28041,N,N,N,28611,N,N,28267,30247,30772,29719,30263,N,27203
600,N,27111,27343,26771,29800,27405,N,N,N,28246,26810,27471,N,N,N,N,29061,28144,28512,28244,29571,28427,N,N,N,28431,27705,N,29708,28524,28737,N,N,28689,29471,N,N,28983,29837,N,N,28034,N,N,N,28610,N,N,28265,30243,30770,29716,30255,N,27204
600,N,27110,N,26770,29750,27409,N,N,N,28239,26811,27469,N,N,N,N,29058,28139,28511,N,29573,28425,N,N,N,28424,27703,N,29719,28523,28735,N,N,28689,29463,N,N,28982,29836,N,N,28027,N,N,N,28608,N,N,28263,30239,30768,29714,30246,N,27204
600,N,27109,27348,26768,29699,27413,N,N,N,28232,26812,27466,N,N,N,N,29054,28134,28511,28173,29575,28423,N,N,N,28418,27702,N,29649,28523,28733,N,N,28690,29456,N,N,28982,29834,N,N,28021,N,N,N,28607,N,N,28261,30236,30766,29711,30237,N,27205
600,N,27107,27345,26767,29649,N,N,N,N,28225,26813,27464,N,N,N,N,29051,28128,28510,28167,29577,28421,N,N,N,28412,27700,N,29639,28522,28731,N,N,28690,29449,N,N,28982,29832,N,N,28014,N,N,N,28605,N,N,28259,30232,30763,29708,30229,N,27205
600,N,27106,27343,26765,29598,27168,N,N,N,28218,26814,27462,N,N,N,N,29047,28123,28509,28160,29580,28419,N,N,N,28406,27698,N,29628,28522,28729,N,N,28691,29442,N,N,28982,29831,N,N,28007,N,N,N,28604,N,N,28257,30228,30761,29705,30220,N,27206
600,N,27105,27340,26764,29548,27170,N,N,N,28211,26815,27460,N,N,N,N,29043,28118,28508,28154,29582,28417,N,N,N,28400,27697,N,29618,28521,28727,N,N,28691,29435,N,N,28981,29829,N,N,28000,N,N,N,28602,N,N,28256,30224,30759,29703,30211,N,27206
600,N,27104,27337,26762,29497,27171,N,N,N,28204,26816,27457,N,N,N,N,29040,28112,28508,28147,29584,28415,N,N,N,28394,27695,N,29607,28521,28725,N,N,28692,29428,N,N,28981,29827,N,N,27993,N,N,N,28601,N,N,28254,30220,30756,29700,30203,N,27207
600,N,27103,N,26761,29447,27173,N,N,N,28198,26817,27455,N,N,N,N,29036,28107,28507,28141,29586,28412,N,N,N,28388,27694,N,29597,28475,28723,N,N,28692,29421,N,N,28981,29826,N,N,27986,N,N,N,28599,N,N,28252,30216,30754,29697,30194,N,27207
600,N,27101,27314,26759,29396,27174,N,N,N,28191,26818,27453,N,N,N,N,29033,28102,28506,28134,29589,28410,N,N,N,28382,27692,N,29586,28472,28720,N,N,28693,29414,N,N,28981,29824,N,N,27979,N,N,N,28598,N,N,28250,30212,30752,29695,30185,N,27208
600,N,27100,27311,26758,29346,27176,N,N,N,28184,26819,27451,N,N,N,N,29029,28096,28505,28128,29591,28408,N,N,N,28376,27691,N,29576,28469,28718,N,N,28694,29406,N,N,28980,29822,N,N,28,N,N,N,28596,N,N,28248,30208,30749,29692,30176,N,27208
600,N,27099,27308,26756,29651,27178,N,N,N,28177,26820,27449,N,N,N,N,29025,28091,28504,28121,29593,28406,N,N,N,28369,27689,N,29565,28465,28716,N,N,28694,29399,N,N,28980,29821,N,N,28005,N,N,N,28595,N,N,28247,30204,30747,29689,30168,N,27209
600,N,27098,27304,26755,29685,27179,N,N,N,28170,26821,27446,N,N,N,N,29022,28086,28504,28115,29595,28404,N,N,N,28363,27688,N,29555,28462,28714,N,N,28695,29392,N,N,28980,29819,N,N,28006,N,N,N,28593,N,N,28245,30200,30745,29687,30159,N,27209
600,N,27097,27301,26753,29718,27181,N,N,N,28163,26822,27444,N,N,N,N,29018,28080,28503,28108,29598,28402,N,N,N,28357,27686,N,29544,28459,28712,N,N,28695,29385,N,N,28980,29817,N,N,28004,N,N,N,28592,N,N,28243,30196,30743,29684,30150,N,27210
600,N,27095,N,26752,29752,27182,N,N,N,28156,26823,27442,N,N,N,N,29014,28075,28502,28102,29600,28400,N,N,N,28351,27685,N,29474,28456,28710,N,N,28696,29378,N,N,28979,29815,N,N,28002,N,N,N,28590,N,N,28241,30192,30740,29681,30142,N,27210
600,N,27094,27325,26750,29371,27184,N,N,N,28149,26824,27440,N,N,N,N,29011,28070,28501,28095,29602,28398,N,N,N,28345,27683,N,29470,28452,28708,N,N,28696,29371,N,N,28979,29814,N,N,28000,N,N,N,28589,N,N,28239,30189,30738,29678,30133,N,27211
600,N,27093,27310,26749,29357,27186,N,N,N,28142,26825,27437,N,N,N,N,29007,28065,28501,28089,29604,28396,N,N,N,28339,27682,N,29466,28449,28706,N,N,28697,29364,N,N,28979,29812,N,N,27998,N,N,N,28587,N,N,28238,30185,30736,29676,30124,N,27211
600,N,27092,27295,26747,29343,27187,N,N,N,28135,26826,27435,N,N,N,N,29004,28059,28500,28082,29607,28393,N,N,N,28333,27680,N,29462,28446,28704,N,N,28697,29357,N,N,28979,29810,N,N,27997,N,N,N,28586,N,N,28236,30181,30733,29673,30115,N,27212
600,N,27091,27280,26746,29330,27189,N,N,N,28128,26827,27433,N,N,N,N,29000,28054,28499,28076,29609,28391,N,N,N,28327,27679,N,29458,N,28702,N,N,28698,29350,N,N,28978,29809,N,N,27995,N,N,N,28584,N,N,28234,30177,30731,29670,30107,N,27212
600,N,27089,27265,26744,29316,27190,N,N,N,28121,26828,27431,N,N,N,N,28996,28049,28498,28069,29611,28389,N,N,N,28321,27677,N,29455,N,28699,N,N,28699,29342,N,N,28978,29807,N,N,27993,N,N,N,28583,N,N,28232,30173,30729,29668,30098,N,27213
600,N,27088,N,26743,29302,27192,N,N,N,28114,26829,27428,N,N,N,N,28993,28043,28498,N,N,28387,N,N,N,28314,27676,N,29451,28438,28697,N,N,28699,29335,N,N,28978,N,N,N,27991,N,N,N,28581,N,N,28230,30169,30726,29665,N,N,27213
600,N,27087,27270,26741,29288,27194,N,N,N,28107,26830,27426,N,N,N,N,28989,28038,28497,28084,N,28385,N,N,N,28308,27674,N,29447,28437,28695,N,N,28700,29328,N,N,28978,N,N,N,27989,N,N,N,28580,N,N,28229,30165,30724,29662,N,N,27214
600,N,27086,27267,26740,29274,27195,N,N,N,28100,26831,27424,N,N,N,N,28986,28033,28496,28082,N,28383,N,N,N,28302,27673,N,29443,28436,28693,N,N,28700,29321,N,N,28977,N,N,N,N,N,N,N,28578,N,N,28227,30161,30722,29660,N,N,27214
600,N,27085,27264,26738,29261,27197,N,N,N,28094,26832,27422,N,N,N,N,28982,28027,28495,28080,N,28381,N,N,N,28296,27671,N,29439,28435,28691,N,N,28701,29314,N,N,28977,N,N,N,N,N,N,N,28577,N,N,28225,30157,30720,29657,N,N,27215
600,N,27083,27260,26737,29247,27198,N,N,N,28087,26833,27419,N,N,N,N,28978,28022,28495,28077,N,28379,N,N,N,28290,27670,N,29435,28435,28689,N,N,28701,29307,N,N,28977,N,N,N,28079,N,N,N,28575,N,N,28223,30153,30717,29654,N,N,27215
600,N,27082,27257,26735,29233,27200,N,N,N,28080,26834,27417,N,N,N,N,28975,28017,28494,28075,N,28376,N,N,N,28284,27668,N,29431,28434,28687,N,N,28702,29300,N,N,28977,N,N,N,28080,N,N,N,28574,N,N,28221,30149,30715,29652,N,N,27216
600,N,27081,N,26734,29219,27202,N,N,N,28073,26835,27415,N,N,N,N,28971,28011,28493,28073,29306,28374,N,N,N,28278,27667,N,29427,28433,28685,N,N,28702,29293,N,N,28976,29637,N,N,28081,N,N,N,28572,N,N,28219,30145,30713,29649,29825,N,27216
600,N,27080,27230,26732,29205,27203,N,N,N,28066,26836,27413,N,N,N,N,28967,28006,28492,28071,29301,28372,N,N,N,28272,27665,N,29423,28432,28683,N,N,28703,29286,N,N,28976,29635,N,N,28082,N,N,N,28571,N,N,28218,30142,30710,29646,29828,N,27217
600,N,27079,27233,26730,29192,27205,N,N,N,28059,26837,27411,N,N,N,N,28964,28001,28491,28069,29296,28370,N,N,N,28265,27664,N,29420,28431,28680,N,N,28704,29278,N,N,28976,29633,N,N,28083,N,N,N,28569,N,N,28216,30138,30708,29643,29831,N,27217
