DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-03-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
0,N,27283,26170,26447,28744,27115,N,27528,N,26797,27320,27882,N,N,N,N,27965,27794,26594,27110,29415,28189,28736,N,N,27235,27227,N,29527,28344,28418,N,N,28394,28888,N,N,28410,29301,N,N,27282,N,N,N,28345,N,N,28054,29981,3,29847,30384,N,27514
600,N,27278,N,26442,28745,27116,N,27525,N,26794,27319,27881,N,N,N,N,27967,27783,26594,27109,29419,28189,28737,N,N,27230,27224,N,29527,28346,28447,N,N,28389,28885,N,N,28414,29302,N,N,27279,N,N,N,28345,N,N,28053,29977,30018,29844,30391,N,27514
600,N,27272,26194,26437,28745,27117,N,27523,N,26791,27319,27880,N,N,N,N,27969,27773,26593,27108,29424,28189,28739,N,N,27225,27221,N,29527,28347,28476,N,N,28384,28882,N,N,28418,29303,N,N,27277,N,N,N,28346,N,N,28052,29973,N,29841,30397,N,27513
600,N,27267,26183,26432,28746,27118,N,27520,N,26788,27318,27879,N,N,N,N,27970,27762,26593,27107,29428,28189,28740,N,N,27220,27218,N,29527,28349,28504,N,N,28380,28879,N,N,28423,29305,N,N,27274,N,N,N,28346,N,N,28051,29969,N,29838,30404,N,27513
600,N,27262,26172,26427,28746,27118,N,27517,N,26785,27317,27878,N,N,N,N,27972,27751,26592,27105,29432,28189,28742,N,N,27216,27215,N,29527,28350,28533,N,N,28375,28876,N,N,28427,29306,N,N,27272,N,N,N,28346,N,N,28050,29965,30057,29835,30411,N,27513
600,N,27257,26161,26422,28747,27119,N,27515,N,26782,27316,27877,N,N,N,N,27974,27740,26592,27104,29437,28189,28743,N,N,27211,27212,N,29527,28352,28562,N,N,28370,28873,N,N,28431,29307,N,N,27269,N,N,N,28347,N,N,28048,29961,30057,29832,30417,N,27512
600,N,27251,26150,26417,28748,27120,N,27512,N,26779,27316,27876,N,N,N,N,27976,27730,26591,27103,29441,28189,28744,N,N,27206,27209,N,29527,28354,28591,N,N,28365,28871,N,N,28435,29308,N,N,27266,N,N,N,28347,N,N,28047,29957,30057,29829,30424,N,27512
600,N,27246,N,26412,28748,27121,N,27509,N,26776,27315,27875,N,N,N,N,27978,27719,26591,27102,29446,28189,28746,N,N,27201,27206,N,29527,28355,28619,N,N,28360,28868,N,N,28439,29310,N,N,27264,N,N,N,28348,N,N,28046,29953,30057,29826,30431,N,27512
600,N,27241,26109,26407,28749,27122,N,27506,N,26772,27314,27874,N,N,N,N,27979,27708,26591,27101,29450,28189,28747,N,N,27196,27203,N,29527,28357,28648,N,N,28356,28865,N,N,28443,29311,N,N,27261,N,N,N,28348,N,N,28045,29949,30057,29823,30437,N,27511
600,N,27235,26110,26401,28750,27123,N,27504,N,26769,27314,27873,N,N,N,N,27981,27697,26590,27100,29454,28189,28749,N,N,27191,27200,N,29527,28358,28677,N,N,28351,28862,N,N,28448,29312,N,N,27259,N,N,N,28348,N,N,28044,29945,30056,29820,30444,N,27511
600,N,27230,26111,26396,28750,27124,N,27501,N,26766,27313,27872,N,N,N,N,27983,27687,26590,27099,29459,28189,28750,N,N,27186,27197,N,29527,28360,28706,N,N,28346,28859,N,N,28452,29313,N,N,27256,N,N,N,28349,N,N,28043,29941,30056,29817,30450,N,27511
600,N,27225,26112,26391,28751,27124,N,27498,N,26763,27312,27872,N,N,N,N,27985,27676,26589,27097,29463,28189,28751,N,N,27181,27194,N,29527,28362,28734,N,N,28341,28856,N,N,28456,29315,N,N,27253,N,N,N,28349,N,N,28042,29937,30056,29814,30457,N,27510
600,N,27220,26113,26386,28751,27125,N,27496,N,26760,27312,27871,N,N,N,N,27987,27665,26589,27096,29467,28189,28753,N,N,27177,27191,N,29527,28363,28763,N,N,28336,28853,N,N,28460,29316,N,N,27251,N,N,N,28349,N,N,28041,29933,30056,29811,30464,N,27510
600,N,27214,N,26381,28752,27126,N,27493,N,26757,27311,27870,N,N,N,N,27988,27655,26588,27095,29472,28189,28754,N,N,27172,27188,N,29526,28365,28740,N,N,28332,28850,N,N,28464,29317,N,N,27248,N,N,N,28350,N,N,28039,29928,30056,29808,30470,N,27510
600,N,27209,26033,26376,28753,27127,N,27490,N,26754,27310,27869,N,N,N,N,27990,27644,26588,27094,29476,28189,28756,N,N,27167,27185,N,29526,28366,28735,N,N,28327,28847,N,N,28469,29318,N,N,27246,N,N,N,28350,N,N,28038,29924,30056,29804,30477,N,27509
600,N,27204,26026,26371,28753,27128,N,27488,N,26751,27309,27868,N,N,N,N,27992,27633,26587,27093,29481,28189,28757,N,N,27162,27182,N,29526,28368,28730,N,N,28322,28844,N,N,28473,29319,N,N,27243,N,N,N,28350,N,N,28037,29920,30056,29801,30484,N,27509
600,N,27198,26019,26366,28754,27129,N,27485,N,26748,27309,27867,N,N,N,N,27994,27622,26587,27092,29485,28189,28758,N,N,27157,27178,N,29526,28339,28725,N,N,28317,28841,N,N,28477,29321,N,N,27240,N,N,N,28351,N,N,28036,29916,30056,29798,30490,N,27509
600,N,27193,26012,26361,28755,27129,N,27482,N,26745,27308,27866,N,N,N,N,27996,27612,26587,27091,29489,28189,28760,N,N,27152,27175,N,29526,28335,28719,N,N,28312,28838,N,N,28481,29322,N,N,27238,N,N,N,28351,N,N,28035,29912,30056,29795,30497,N,27508
600,N,27188,26005,26356,28755,27130,N,27479,N,26742,27307,27865,N,N,N,N,27997,27601,26586,27089,29494,28189,28761,N,N,27147,27172,N,29526,28331,28714,N,N,28307,28836,N,N,28485,29323,N,N,27235,N,N,N,28352,N,N,28034,29908,30055,29792,30504,N,27508
600,N,27182,N,26351,28756,27131,N,27477,N,26739,27307,27864,N,N,N,N,27999,27590,26586,27088,29498,28189,28763,N,N,27143,27169,N,29526,28326,28709,N,N,28303,28833,N,N,28489,29324,N,N,27233,N,N,N,28352,N,N,28033,29904,30055,29789,30510,N,27508
600,N,27177,26020,26346,28756,27132,N,27474,N,26736,27306,27863,N,N,N,N,28001,27579,26585,27087,29502,28189,28764,N,N,27138,27166,N,29526,28322,28704,N,N,28298,28830,N,N,28494,29326,N,N,27230,N,N,N,28352,N,N,28032,29900,30055,29786,30517,N,27507
600,N,27172,25999,26341,28757,27133,N,27471,N,26733,27305,27862,N,N,N,N,28003,27569,26585,27086,29507,28189,28765,N,N,27133,27163,N,29526,28318,28606,N,N,28293,28827,N,N,28498,29327,N,N,27228,N,N,N,28353,N,N,28030,29896,30055,29783,30524,N,27507
600,N,27167,25979,26336,28758,27134,N,27469,N,26730,27305,27861,N,N,N,N,28005,27558,26584,27085,29511,28189,28767,N,N,27128,27160,N,29526,28314,28602,N,N,28288,28824,N,N,28502,29328,N,N,27225,N,N,N,28353,N,N,28029,29892,30055,29780,30530,N,27507
600,N,27161,25958,26331,28758,27135,N,27466,N,26726,27304,27769,N,N,N,N,28006,27547,26584,27084,29515,28189,28768,N,N,27123,27157,N,29526,28310,28598,N,N,28283,28821,N,N,28506,29329,N,N,27222,N,N,N,28353,N,N,28028,29888,30055,29777,30537,N,27506
600,N,27156,25937,26326,28759,27135,N,27463,N,26723,27303,27766,N,N,N,N,28008,27536,26584,27083,29520,28189,28770,N,N,27118,27154,N,29526,28306,28594,N,N,28279,28818,N,N,28510,29330,N,N,27220,N,N,N,28354,N,N,28027,29884,30055,29774,30544,N,27506
600,N,27151,N,26320,28759,27136,N,27461,N,26720,27302,27764,N,N,N,N,28010,27526,26583,27082,29524,28189,28771,N,N,27113,27151,N,29526,28301,28590,N,N,28274,28815,N,N,28515,29332,N,N,27217,N,N,N,28354,N,N,28026,29880,30055,29771,30550,N,27506
600,N,27145,25919,26315,28760,27137,N,27458,N,26717,27302,27761,N,N,N,N,28012,27515,26583,27080,29529,28189,28772,N,N,27109,27148,N,29526,28297,28586,N,N,28269,28812,N,N,28519,29333,N,N,27215,N,N,N,28355,N,N,28025,29876,30055,29768,30557,N,27505
600,N,27140,25905,26310,28761,27138,N,27455,N,26714,27301,27759,N,N,N,N,28014,27504,26582,27079,29533,28189,28774,N,N,27104,27145,N,29526,28293,28582,N,N,28264,28809,N,N,28523,29334,N,N,27212,N,N,N,28355,N,N,28024,29872,30054,29765,30563,N,27505
