Dataset,Filename,Column,Compression Ratio,Bits (Gzip),Bits (CoderBase)
IRKIS
,vwc_1202.dat.csv
,,VWC,19.61,515968,2630500
,vwc_1203.dat.csv
,,VWC,14.24,374552,2630500
,vwc_1204.dat.csv
,,VWC,16.77,441128,2630500
,vwc_1205.dat.csv
,,VWC,10.86,285584,2630500
,vwc_222.smet.csv
,,VWC,31.08,817504,2630400
,vwc_333.smet.csv
,,VWC,36.05,940344,2608800
,vwc_SLF2.smet.csv
,,VWC,28.55,750928,2630500
,Global
,,VWC,22.43,4126008,18391700
NOAA-SST
,noaa-buoy-201701.csv
,,SST,65.62,2536176,3864960
,noaa-buoy-201702.csv
,,SST,66.86,2344208,3505920
,noaa-buoy-201703.csv
,,SST,62.77,2409368,3838560
,Global
,,SST,65.03,7289752,11209440
NOAA-ADCP
,noaa-adcp-201501.csv
,,Vel,71.05,3596824,5062176
,noaa-adcp-201502.csv
,,Vel,70.95,3243840,4572288
,noaa-adcp-201503.csv
,,Vel,73.34,3712472,5062176
,Global
,,Vel,71.81,10553136,14696640
SolarAnywhere
,solar-anywhere-2011.csv
,,GHI,81.43,855864,1051080
,,DNI,79.27,833176,1051080.0
,,DHI,73.67,774352,1051080.0
,solar-anywhere-2012.csv
,,GHI,81.52,856864,1051080
,,DNI,79.21,832584,1051080.0
,,DHI,73.85,776232,1051080.0
,solar-anywhere-2013.csv
,,GHI,81.69,858664,1051080
,,DNI,79.03,830656,1051080.0
,,DHI,74.17,779536,1051080.0
,solar-anywhere-2014.csv
,,GHI,81.3,854536,1051080
,,DNI,79.35,834056,1051080.0
,,DHI,73.53,772840,1051080.0
,Global
,,GHI,81.49,3425928,4204320
,,DNI,79.22,3330472,4204320.0
,,DHI,73.8,3102960,4204320.0
ElNino
,el-nino.csv
,,Lat,12.81,700344,5466318
,,Long,11.82,939776,7951008.0
,,Zonal Winds,41.2,1842784,4472442.0
,,Merid. Winds,37.89,1694632,4472442.0
,,Humidity,29.72,1476784,4969380.0
,,AirTemp,40.26,2400992,5963256.0
,,SST,41.56,2478504,5963256.0
NOAA-SPC-hail
,noaa_spc-hail.csv
,,Lat,146.24,299360,204708
,,Long,158.34,351136,221767.0
,,Size,58.45,99704,170590.0
NOAA-SPC-tornado
,noaa_spc-tornado.csv
,,Lat,151.89,70008,46092
,,Long,161.45,80616,49933.0
NOAA-SPC-wind
,noaa_spc-wind.csv
,,Lat,133.37,698048,523380
,,Long,144.88,816608,563640.0
,,Speed,116.95,565016,483120.0
