Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,16,227.257,59.04,29847,10,29857,6.68,1785523,990,1786513,67.92
,,,,,,32,244.054,63.41,15323,10,15333,3.43,1934423,990,1935413,73.58
,,,,,,64,252.794,65.68,8469,10,8479,1.9,2011200,990,2012190,76.5
,,,,,,128,257.364,66.86,5867,10,5877,1.31,2050363,990,2051353,77.99
,,,,,,256,260.002,67.55,6189,10,6199,1.39,2071143,990,2072133,78.78
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,137.213,35.65,124963,10,124973,27.95,970056,990,971046,36.92
,,,,,,8,110.990,28.84,65780,10,65790,14.71,819455,990,820445,31.19
,,,,,,16,102.622,26.66,34545,10,34555,7.73,783748,990,784738,29.83
,,,,,,32,103.417,26.87,18106,10,18116,4.05,806550,990,807540,30.7
,,,,,,64,108.002,28.06,9476,10,9486,2.12,851856,990,852846,32.42
,,,,,,128,113.800,29.57,4968,10,4978,1.11,902751,990,903741,34.36
,,,,,,256,120.075,31.2,2600,10,2610,0.58,955314,990,956304,36.36
,vwc_333.smet.csv,26.088,CoderBase,,,,381.746,100,443496,0,443496,100,2608800,0,2608800,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,189.029,49.52,117447,10,117457,26.48,1391444,1646,1393090,53.4
,,,,,,8,208.414,54.59,58817,10,58827,13.26,1605155,1646,1606801,61.59
,,,,,,16,240.496,63.0,29613,10,29623,6.68,1891013,1646,1892659,72.55
,,,,,,32,261.274,68.44,15215,10,15225,3.43,2071634,1646,2073280,79.47
,,,,,,64,272.129,71.29,8415,10,8425,1.9,2165274,1646,2166920,83.06
,,,,,,128,278.184,72.87,5831,10,5841,1.32,2216300,1646,2217946,85.02
,,,,,,256,280.498,73.48,6171,10,6181,1.39,2234477,1646,2236123,85.71
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,143.929,37.7,123937,10,123947,27.95,1024152,1646,1025798,39.32
,,,,,,8,115.031,30.13,65240,10,65250,14.71,851669,1646,853315,32.71
,,,,,,16,105.193,27.56,34272,10,34282,7.73,803936,1646,805582,30.88
,,,,,,32,105.294,27.58,17974,10,17984,4.06,821040,1646,822686,31.54
,,,,,,64,109.721,28.74,9407,10,9417,2.12,865024,1646,866670,33.22
,,,,,,128,115.570,30.27,4920,10,4930,1.11,916300,1646,917946,35.19
,,,,,,256,121.936,31.94,2575,10,2585,0.58,969570,1646,971216,37.23
,vwc_SLF2.smet.csv,26.305,CoderBase,,,,384.920,100,447185,0,447185,100,2630500,0,2630500,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,169.985,44.16,118437,10,118447,26.49,1238694,1054,1239748,47.13
,,,,,,8,186.419,48.43,59321,10,59331,13.27,1429285,1054,1430339,54.38
,,,,,,16,219.726,57.08,29865,10,29875,6.68,1725195,1054,1726249,65.62
,,,,,,32,241.811,62.82,15341,10,15351,3.43,1916399,1054,1917453,72.89
,,,,,,64,255.728,66.44,8487,10,8497,1.9,2034592,1054,2035646,77.39
,,,,,,128,264.705,68.77,5867,10,5877,1.31,2109024,1054,2110078,80.22
,,,,,,256,271.445,70.52,6189,10,6199,1.39,2162625,1054,2163679,82.25
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,130.969,34.02,124963,10,124973,27.95,920040,1054,921094,35.02
,,,,,,8,97.827,25.41,65780,10,65790,14.71,714090,1054,715144,27.19
,,,,,,16,84.710,22.01,34545,10,34555,7.73,640388,1054,641442,24.38
,,,,,,32,82.259,21.37,18106,10,18116,4.05,637215,1054,638269,24.26
,,,,,,64,84.708,22.01,9476,10,9486,2.12,665440,1054,666494,25.34
,,,,,,128,88.729,23.05,4968,10,4978,1.11,702117,1054,703171,26.73
,,,,,,256,93.427,24.27,2600,10,2610,0.58,742068,1054,743122,28.25
NOAA-SST,noaa-buoy-201701.csv,4.392,CoderBase,,,,493.065,100,74664,0,74664,100,3864960,0,3864960,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 'N', 0, 0, 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 0, 0, 'N', 0, 0, 0, 0, 'N', 0, 0, 'N', 'N', 0, 'N', 'N', 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 'N', 0]",4,306.376,62.14,20427,7,20434,27.37,2415940,9729,2425669,62.76
,,,,,,8,302.973,61.45,11429,7,11436,15.32,2397708,9729,2407437,62.29
,,,,,,16,301.415,61.13,8265,7,8272,11.08,2388415,9729,2398144,62.05
,,,,,,32,300.837,61.01,8281,7,8288,11.1,2383770,9729,2393499,61.93
,,,,,,64,301.139,61.07,13023,7,13030,17.45,2381446,9729,2391175,61.87
,,,,,,128,302.413,61.33,24379,7,24386,32.66,2380283,9729,2390012,61.84
,,,,,,256,304.752,61.81,43674,7,43681,58.5,2379701,9729,2389430,61.82
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 'N', 0, 0, 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 0, 0, 'N', 0, 0, 0, 0, 'N', 0, 0, 'N', 'N', 0, 'N', 'N', 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 'N', 0]",4,326.906,66.3,21166,7,21173,28.36,2579436,9729,2589165,66.99
,,,,,,8,343.581,69.68,11360,7,11367,15.22,2722643,9729,2732372,70.7
,,,,,,16,360.842,73.18,6153,7,6160,8.25,2865940,9729,2875669,74.4
,,,,,,32,378.420,76.75,3476,7,3483,4.66,3009237,9729,3018966,78.11
,,,,,,64,396.147,80.34,2001,7,2008,2.69,3152534,9729,3162263,81.82
,,,,,,128,413.977,83.96,1344,7,1351,1.81,3295831,9729,3305560,85.53
,,,,,,256,431.834,87.58,900,7,907,1.21,3439128,9729,3448857,89.23
,noaa-buoy-201702.csv,3.984,CoderBase,,,,447.318,100,67728,0,67728,100,3505920,0,3505920,100
,,,CoderPCA,0,"[0, 0, 0, 0, 0, 0, 0, 'N', 0, 'N', 0, 0, 0, 'N', 0, 'N', 'N', 0, 0, 0, 0, 0, 0, 0, 'N', 'N', 0, 0, 0, 0, 0, 0, 'N', 'N', 0, 0, 0, 'N', 0, 0, 'N', 'N', 0, 'N', 'N', 'N', 0, 0, 'N', 0, 0, 0, 0, 0, 'N', 0]",4,278.345,62.23,18336,7,18343,27.08,2190635,12873,2203508,62.85
,,,,,,8,275.228,61.53,9916,7,9923,14.65,2174118,12873,2186991,62.38
,,,,,,16,273.751,61.2,6522,7,6529,9.64,2165695,12873,2178568,62.14
,,,,,,32,273.217,61.08,6466,7,6473,9.56,2161480,12873,2174353,62.02
,,,,,,64,273.358,61.11,9702,7,9709,14.34,2159374,12873,2172247,61.96
,,,,,,128,274.244,61.31,17848,7,17855,26.36,2158317,12873,2171190,61.93
,,,,,,256,276.081,61.72,33064,7,33071,48.83,2157799,12873,2170672,61.91
