DATASET:,NOAA-SPC-tornado
TIME UNIT:,minutes
FIRST TIMESTAMP:,2015-01-03 20:05:00
Time Delta,Latitude,Longitude
4,3914,-10011
3,3909,-10012
0,3402,-9647
23,3915,-10010
2,3886,-10069
12,3890,-10068
13,4013,-9955
4,3550,-9942
7,4024,-9954
2,3902,-10065
0,3911,-10063
7,3908,-10063
6,3911,-10063
10,3914,-10064
11,3920,-10066
11,3920,-10069
10,3931,-10065
17,3940,-10068
5,3944,-10062
22,3960,-10061
7,3963,-10062
20,3979,-10062
18,3986,-10063
5,3994,-10065
19,4011,-10065
659,4314,-9830
5,4316,-9830
22,4327,-9816
23,4349,-9805
8,4355,-9806
173,3313,-9718
6,3322,-9715
56,3344,-9675
12,4324,-9645
5,3350,-9662
55,3375,-9645
2,3174,-9787
106,3440,-9574
55,4216,-9484
3,4386,-9739
1,3485,-9531
1,3476,-9531
2,3204,-9697
9,4224,-9473
5,4227,-9461
4,3489,-9515
6,4227,-9473
2,3496,-9509
18,4245,-9466
10,4238,-9443
1,4252,-9455
5,4259,-9454
40,3252,-9565
19,3264,-9558
91,3261,-9557
28,3393,-9387
7,3284,-9431
5,3289,-9428
124,3196,-9505
541,3038,-9256
293,4323,-9646
52,3590,-7567
2977,3363,-10032
29,2768,-9885
1551,3959,-9313
612,2854,-9938
289,2785,-9842
107,2765,-9738
17,2792,-9727
101,4000,-10414
105,4202,-10418
7,4207,-10418
89,3959,-9568
77,3982,-9545
53,4281,-10197
34,4270,-10247
964,3460,-10124
63,4452,-10871
8,3490,-10077
10,3494,-10066
28,3508,-10038
26,3531,-10024
58,4513,-9643
7,4115,-10247
3,4505,-9572
55,3438,-9945
0,3442,-9943
1,3834,-9604
6,3840,-9599
0,4524,-9542
10,3540,-9938
4,4521,-9545
31,3633,-9855
17,4532,-9533
22,4546,-9525
18,3475,-9858
21,4561,-9525
10,4508,-9446
5,3494,-9820
5,3444,-9843
2,3445,-9838
0,3497,-9824
33,4531,-9432
10,3526,-9690
95,3547,-9627
64,3918,-9419
2,3597,-9576
2,3604,-9579
15,3618,-9555
11,3632,-9548
1,3954,-9404
6,3636,-9539
11,3647,-9526
12,3654,-9501
8,3663,-9495
8,3671,-9482
11,3676,-9464
5,3678,-9461
42,3696,-9389
29,3770,-9350
4,3778,-9347
5,3772,-9338
22,3779,-9301
52,3055,-9055
16,3056,-9055
6,4204,-9405
699,4486,-8884
1554,3132,-10334
28,3125,-10350
119,3124,-10302
993,3016,-9688
138,3496,-9748
8,3496,-9743
25,3242,-9679
2,3113,-10222
7,3100,-10231
0,3113,-10222
5,3411,-9892
24,3421,-9875
6,3422,-9874
11,3084,-10236
16,3079,-10242
9,3520,-9699
31,3069,-10232
1,3058,-10253
24,3336,-9860
47,3395,-9797
1,3399,-9872
2,3278,-9827
3,3400,-9793
5,3279,-9828
15,3352,-9822
1,3400,-9780
18,3353,-9818
19,3279,-9813
9,3279,-9810
13,3290,-9798
70,3413,-9753
40,3409,-9740
1075,3559,-8925
1425,3432,-7836
1620,3048,-10353
1180,4154,-10583
57,3803,-10361
98,4113,-10303
42,3519,-9801
13,3522,-9795
38,3454,-9698
7,3458,-9698
3,3514,-9766
52,3482,-9736
30,3485,-9741
41,2944,-9858
37,3012,-9806
2,3019,-9809
44,3036,-9769
8,3061,-9781
220,2775,-9743
298,2968,-9551
350,3810,-9371
173,3944,-9267
112,3799,-10262
15,3800,-10251
15,4072,-9145
15,4281,-10201
14,3659,-9268
56,4130,-9097
124,3709,-10082
2,3718,-10085
53,3725,-10064
6,3728,-10062
9,3732,-10059
13,3740,-10034
2,3736,-10052
21,3738,-10038
9,3738,-10036
6,3747,-10031
17,3750,-10039
11,3752,-10023
2,3752,-10044
11,3726,-10070
6,3761,-10027
8,3728,-10070
1,3761,-10023
2,3731,-10059
4,3765,-10021
18,3770,-9992
10,3767,-10002
0,3785,-10002
5,3769,-10002
2,3774,-9993
503,3240,-10071
3,3407,-8840
42,3254,-10040
34,3311,-8918
41,2613,-8011
93,3025,-9881
10,3026,-9884
18,3024,-9863
3,3034,-9849
20,3044,-9835
22,3107,-9813
32,3129,-9790
13,3375,-9655
4,3383,-9650
20,3404,-9623
15,3415,-9619
33,3438,-9608
20,3177,-9633
21,2986,-9782
0,3009,-9754
46,3465,-9512
14,3469,-9481
18,3501,-9483
12,3504,-9466
16,2910,-9813
10,2984,-9688
15,3499,-9319
5,3500,-9319
12,3215,-9483
5,2925,-9787
385,2997,-9025
517,4134,-9006
144,4270,-8965
45,4178,-8782
93,3289,-8471
95,3970,-8410
46,3275,-9847
36,3276,-9851
27,3268,-9843
25,3258,-9833
2,3552,-9862
1034,3000,-9843
144,4033,-10230
35,3444,-8895
15,3908,-10116
3,3829,-10056
8,3908,-10111
52,3834,-10054
7,3836,-10052
12,3835,-10048
38,3596,-10036
15,3759,-10094
37,3824,-10031
10,3588,-10040
16,3815,-10028
12,3815,-10028
8,3596,-10045
12,3806,-10022
9,3751,-10081
27,3815,-10018
9,3101,-10329
15,3099,-10327
848,3477,-9504
251,3626,-9436
31,3640,-9423
30,3297,-10171
4,3843,-10170
23,3294,-10166
4,3715,-10335
14,3835,-10133
12,3836,-10134
37,3915,-10260
10,3828,-10111
1,3715,-10245
19,3826,-10095
3,4837,-9724
1043,3336,-9062
200,3544,-9513
10,3544,-9513
6,3549,-9509
11,3636,-9508
8,3639,-9505
355,3364,-10324
1397,3974,-8609
1153,4120,-8045
2877,4737,-10282
239,4370,-10643
1524,4382,-10579
128,3934,-9845
14,3929,-9842
138,3592,-7625
1035,3915,-10408
16,3915,-10412
10,3911,-10413
4,3914,-10410
19,3907,-10410
30,3897,-10398
1,4021,-10517
138,3952,-10066
975,3951,-10465
187,3853,-11863
15,3853,-11863
31,3969,-10306
19,3943,-10274
25,3949,-10260
80,3950,-10105
79,3906,-10125
8,3907,-10120
0,3911,-10097
11,3907,-10115
0,3911,-10101
13,3909,-10112
12,3913,-10111
1167,3954,-10322
25,3443,-11757
55,3714,-10957
55,3726,-10931
1238,4124,-8721
11,4125,-8713
52,4124,-8682
171,4001,-8970
44,4003,-8845
1054,4072,-7655
1381,4283,-7395
1249,3661,-10812
184,2978,-8143
121,2697,-8009
315,4295,-7728
1135,4045,-9538
15,4051,-9528
85,4127,-9071
6,4131,-9066
197,3749,-10272
50,3750,-10250
1062,3476,-10252
5,3711,-9539
189,3292,-10244
1336,3584,-7706
1176,4108,-10070
7,4107,-10069
1587,4439,-8807
128,4177,-10630
0,4180,-10641
144,4132,-8804
7,4131,-8796
1171,4074,-10927
53,4276,-10579
217,4113,-10100
23,4156,-10304
1102,3394,-9467
158,4506,-9199
21,2767,-9810
6,4526,-9240
45,3885,-8016
235,4449,-10411
359,3204,-9370
149,3219,-9384
571,3204,-9370
12,3476,-7740
137,3219,-9384
75,3800,-7689
39,3783,-7669
19,3772,-7654
1055,3872,-8756
47,3797,-8836
12,3797,-8836
15,3800,-8678
21,3753,-8895
44,3777,-8932
0,3875,-8811
5,3878,-8811
2,3790,-8895
1,3777,-8932
31,3804,-8868
273,4444,-10297
918,3940,-8183
175,4849,-9905
149,3926,-7747
21,4751,-9842
8,3804,-7734
1488,4573,-10283
44,4554,-10240
26,4549,-10227
44,4536,-10192
276,4730,-9597
664,4289,-8496
215,4117,-9313
17,4111,-9303
31,4102,-9281
86,4138,-9077
1,3778,-10025
8,4174,-8959
25,4166,-8932
14,4164,-8923
12,4155,-8913
16,4151,-8907
15,4147,-8887
15,4144,-8884
3,4352,-8309
9,4140,-8861
5,4325,-8361
12,4353,-8274
9,4128,-8838
15,4127,-8828
10,4118,-8789
7,4127,-8822
5,4124,-8813
86,4100,-8803
0,4102,-8801
47,4219,-8401
726,3970,-8261
240,4207,-7133
105,4255,-7191
1404,3972,-10490
75,4162,-9442
34,4711,-10256
608,4171,-10454
720,4171,-10454
13,3808,-10011
8,3807,-10018
17,4179,-10332
1445,3883,-8168
1199,3776,-7748
61,3834,-7697
27,4867,-9811
7,4861,-9792
0,4863,-9807
4,4072,-8008
6,4850,-9793
0,4856,-9795
5,4842,-9796
7,4842,-9803
4,4824,-9776
0,4816,-9766
2,3428,-7812
5,4814,-9764
1,4784,-9807
10,3554,-7923
9,4818,-9769
13,4769,-9738
7,4776,-9782
3,4757,-9782
6,4679,-9784
14,4792,-9752
10,4740,-9761
10,4742,-9758
3,4770,-9737
7,4769,-9738
5,4730,-9751
70,3458,-7916
22,3460,-7893
20,4675,-9636
5,4675,-9628
4,4441,-9847
8,4627,-9698
22,4613,-9677
15,4601,-9676
1190,4067,-9216
58,3876,-9209
39,3926,-9108
101,3878,-9061
2464,4009,-7591
288,4747,-10410
54,4725,-10402
10,4090,-7665
84,4604,-10339
3,4593,-10325
1,4596,-10334
0,4593,-10338
1109,3707,-8475
213,3901,-9447
0,4140,-10519
17,3890,-9438
8,3890,-9438
67,3879,-9427
111,3827,-9342
59,3806,-9200
1104,3622,-8661
3,3622,-8657
82,3622,-8646
36,3617,-8637
16,3619,-8630
2869,3729,-10207
1372,4261,-10194
0,4250,-10179
1343,4463,-8892
0,4466,-8902
23,4470,-8876
1,3924,-9446
5,3924,-9443
3,3894,-9514
4,3920,-9439
5,4475,-8855
4,3896,-9500
31,4489,-8827
6,4492,-8824
1347,3846,-8376
1,4168,-10816
73,3511,-9491
1502,3776,-9077
21,3815,-9031
89,3718,-8953
