Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,3,"[0, 1, 1, 0, 0, 'N', 1, 1, 0, 'N', 'N']",5,180.003,132.26,447185,0,447185,100.0,981250,10782,992032,154.82
,,,,,,10,138.012,101.41,447185,0,447185,100.0,645324,10782,656106,102.39
,,,,,,25,118.684,87.21,447185,0,447185,100.0,490696,10782,501478,78.26
,,,,,,50,115.968,85.21,447185,0,447185,100.0,468968,10782,479750,74.87
,,,,,,100,115.598,84.94,447185,0,447185,100.0,466012,10782,476794,74.41
,,,,,,200,116.122,85.32,447185,0,447185,100.0,470200,10782,480982,75.06
,,,,5,"[0, 1, 1, 1, 1, 'N', 2, 1, 1, 'N', 'N']",5,165.548,121.64,447185,0,447185,100.0,865608,10782,876390,136.77
,,,,,,10,116.919,85.91,447185,0,447185,100.0,476580,10782,487362,76.06
,,,,,,25,90.946,66.83,447185,0,447185,100.0,268792,10782,279574,43.63
,,,,,,50,84.993,62.45,447185,0,447185,100.0,221168,10782,231950,36.2
,,,,,,100,83.000,60.99,447185,0,447185,100.0,205229,10782,216011,33.71
,,,,,,200,82.750,60.8,447185,0,447185,100.0,203224,10782,214006,33.4
,,,,10,"[0, 3, 2, 1, 1, 'N', 3, 2, 1, 'N', 'N']",5,164.249,120.69,447185,0,447185,100.0,855223,10782,866005,135.15
,,,,,,10,113.957,83.73,447185,0,447185,100.0,452880,10782,463662,72.36
,,,,,,25,85.033,62.48,447185,0,447185,100.0,221490,10782,232272,36.25
,,,,,,50,77.069,56.63,447185,0,447185,100.0,157780,10782,168562,26.31
,,,,,,100,74.067,54.42,447185,0,447185,100.0,133764,10782,144546,22.56
,,,,,,200,73.304,53.86,447185,0,447185,100.0,127656,10782,138438,21.6
,,,,15,"[0, 4, 3, 2, 2, 'N', 5, 3, 2, 'N', 'N']",5,163.571,120.19,447185,0,447185,100.0,849796,10782,860578,134.3
,,,,,,10,112.503,82.67,447185,0,447185,100.0,441252,10782,452034,70.55
,,,,,,25,82.342,60.5,447185,0,447185,100.0,199962,10782,210744,32.89
,,,,,,50,73.280,53.84,447185,0,447185,100.0,127470,10782,138252,21.58
,,,,,,100,69.337,50.95,447185,0,447185,100.0,95921,10782,106703,16.65
,,,,,,200,68.012,49.97,447185,0,447185,100.0,85320,10782,96102,15.0
,,,,20,"[0, 6, 4, 3, 3, 'N', 7, 3, 2, 'N', 'N']",5,163.311,120.0,447185,0,447185,100.0,847719,10782,858501,133.98
,,,,,,10,111.993,82.29,447185,0,447185,100.0,437172,10782,447954,69.91
,,,,,,25,81.238,59.69,447185,0,447185,100.0,191130,10782,201912,31.51
,,,,,,50,71.705,52.69,447185,0,447185,100.0,114870,10782,125652,19.61
,,,,,,100,67.366,49.5,447185,0,447185,100.0,80159,10782,90941,14.19
,,,,,,200,65.654,48.24,447185,0,447185,100.0,66456,10782,77238,12.05
,,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,163.186,119.91,447185,0,447185,100.0,846714,10782,857496,133.82
,,,,,,10,111.594,82.0,447185,0,447185,100.0,433976,10782,444758,69.41
,,,,,,25,80.371,59.06,447185,0,447185,100.0,184198,10782,194980,30.43
,,,,,,50,70.406,51.73,447185,0,447185,100.0,104478,10782,115260,17.99
,,,,,,100,65.716,48.29,447185,0,447185,100.0,66953,10782,77735,12.13
,,,,,,200,63.737,46.83,447185,0,447185,100.0,51120,10782,61902,9.66
,vwc_1204.dat.csv,26.305,CoderBasic,,,,163.081,100,447185,0,447185,100,843930,12726,856656,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",5,279.880,171.62,447185,0,447185,100.0,1778320,12726,1791046,209.07
,,,,,,10,247.289,151.64,447185,0,447185,100.0,1517596,12726,1530322,178.64
,,,,,,25,236.585,145.07,447185,0,447185,100.0,1431967,12726,1444693,168.64
,,,,,,50,237.430,145.59,447185,0,447185,100.0,1438722,12726,1451448,169.43
,,,,,,100,239.635,146.94,447185,0,447185,100.0,1456366,12726,1469092,171.49
,,,,,,200,242.137,148.48,447185,0,447185,100.0,1476376,12726,1489102,173.83
,,,,1,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 'N']",5,247.322,151.66,447185,0,447185,100.0,1517856,12726,1530582,178.67
,,,,,,10,200.556,122.98,447185,0,447185,100.0,1143732,12726,1156458,135.0
,,,,,,25,178.992,109.76,447185,0,447185,100.0,971222,12726,983948,114.86
,,,,,,50,176.276,108.09,447185,0,447185,100.0,949492,12726,962218,112.32
,,,,,,100,176.676,108.34,447185,0,447185,100.0,952692,12726,965418,112.7
,,,,,,200,178.075,109.19,447185,0,447185,100.0,963880,12726,976606,114.0
,,,,3,"[0, 2, 0, 0, 1, 1, 2, 1, 0, 1, 'N']",5,233.532,143.2,447185,0,447185,100.0,1407542,12726,1420268,165.79
,,,,,,10,180.509,110.69,447185,0,447185,100.0,983356,12726,996082,116.28
,,,,,,25,153.384,94.05,447185,0,447185,100.0,766356,12726,779082,90.94
,,,,,,50,147.458,90.42,447185,0,447185,100.0,718944,12726,731670,85.41
,,,,,,100,145.884,89.45,447185,0,447185,100.0,706354,12726,719080,83.94
,,,,,,200,146.138,89.61,447185,0,447185,100.0,708384,12726,721110,84.18
,,,,5,"[0, 3, 1, 0, 2, 2, 4, 1, 1, 2, 'N']",5,211.929,129.95,447185,0,447185,100.0,1234714,12726,1247440,145.62
,,,,,,10,149.505,91.68,447185,0,447185,100.0,735324,12726,748050,87.32
,,,,,,25,114.903,70.46,447185,0,447185,100.0,458510,12726,471236,55.01
,,,,,,50,105.532,64.71,447185,0,447185,100.0,383536,12726,396262,46.26
,,,,,,100,102.125,62.62,447185,0,447185,100.0,356285,12726,369011,43.08
,,,,,,200,101.291,62.11,447185,0,447185,100.0,349608,12726,362334,42.3
,,,,10,"[0, 6, 2, 1, 3, 3, 7, 2, 2, 3, 'N']",5,200.803,123.13,447185,0,447185,100.0,1145706,12726,1158432,135.23
,,,,,,10,133.100,81.62,447185,0,447185,100.0,604084,12726,616810,72.0
,,,,,,25,93.367,57.25,447185,0,447185,100.0,286217,12726,298943,34.9
,,,,,,50,81.303,49.85,447185,0,447185,100.0,189706,12726,202432,23.63
,,,,,,100,75.855,46.51,447185,0,447185,100.0,146125,12726,158851,18.54
,,,,,,200,73.845,45.28,447185,0,447185,100.0,130040,12726,142766,16.67
,,,,15,"[0, 9, 2, 1, 5, 5, 11, 3, 2, 5, 'N']",5,200.472,122.93,447185,0,447185,100.0,1143058,12726,1155784,134.92
,,,,,,10,132.560,81.28,447185,0,447185,100.0,599764,12726,612490,71.5
,,,,,,25,92.513,56.73,447185,0,447185,100.0,279386,12726,292112,34.1
,,,,,,50,80.148,49.15,447185,0,447185,100.0,180466,12726,193192,22.55
,,,,,,100,74.462,45.66,447185,0,447185,100.0,134978,12726,147704,17.24
,,,,,,200,72.270,44.32,447185,0,447185,100.0,117440,12726,130166,15.19
,,,,20,"[0, 12, 3, 2, 6, 7, 14, 4, 3, 6, 'N']",5,200.007,122.64,447185,0,447185,100.0,1139341,12726,1152067,134.48
,,,,,,10,131.405,80.58,447185,0,447185,100.0,590520,12726,603246,70.42
,,,,,,25,90.422,55.45,447185,0,447185,100.0,262656,12726,275382,32.15
,,,,,,50,77.427,47.48,447185,0,447185,100.0,158696,12726,171422,20.01
,,,,,,100,71.329,43.74,447185,0,447185,100.0,109915,12726,122641,14.32
,,,,,,200,68.670,42.11,447185,0,447185,100.0,88640,12726,101366,11.83
,,,,30,"[0, 18, 5, 3, 9, 10, 21, 6, 5, 10, 'N']",5,199.567,122.37,447185,0,447185,100.0,1135822,12726,1148548,134.07
,,,,,,10,130.486,80.01,447185,0,447185,100.0,583172,12726,595898,69.56
,,,,,,25,88.805,54.45,447185,0,447185,100.0,249721,12726,262447,30.64
,,,,,,50,75.362,46.21,447185,0,447185,100.0,142176,12726,154902,18.08
,,,,,,100,68.879,42.24,447185,0,447185,100.0,90319,12726,103045,12.03
,,,,,,200,65.934,40.43,447185,0,447185,100.0,66752,12726,79478,9.28
,vwc_1205.dat.csv,26.305,CoderBasic,,,,106.375,100,447185,0,447185,100,387630,15381,403011,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 'N', 'N', 0, 0, 'N', 'N', 'N']",5,169.084,158.95,447185,0,447185,100.0,889297,15381,904678,224.48
,,,,,,10,158.537,149.04,447185,0,447185,100.0,804924,15381,820305,203.54
,,,,,,25,156.343,146.97,447185,0,447185,100.0,787369,15381,802750,199.19
,,,,,,50,157.375,147.94,447185,0,447185,100.0,795632,15381,811013,201.24
,,,,,,100,158.743,149.23,447185,0,447185,100.0,806574,15381,821955,203.95
,,,,,,200,160.154,150.56,447185,0,447185,100.0,817864,15381,833245,206.75
,,,,1,"[0, 0, 0, 0, 'N', 'N', 1, 0, 'N', 'N', 'N']",5,163.661,153.85,447185,0,447185,100.0,845913,15381,861294,213.71
,,,,,,10,150.865,141.82,447185,0,447185,100.0,743552,15381,758933,188.32
,,,,,,25,147.687,138.84,447185,0,447185,100.0,718125,15381,733506,182.01
,,,,,,50,148.524,139.62,447185,0,447185,100.0,724824,15381,740205,183.67
,,,,,,100,149.766,140.79,447185,0,447185,100.0,734754,15381,750135,186.13
,,,,,,200,151.050,142.0,447185,0,447185,100.0,745032,15381,760413,188.68
,,,,3,"[0, 0, 1, 1, 'N', 'N', 2, 1, 'N', 'N', 'N']",5,131.957,124.05,447185,0,447185,100.0,592283,15381,607664,150.78
,,,,,,10,105.509,99.19,447185,0,447185,100.0,380700,15381,396081,98.28
,,,,,,25,91.900,86.39,447185,0,447185,100.0,271828,15381,287209,71.27
,,,,,,50,88.919,83.59,447185,0,447185,100.0,247978,15381,263359,65.35
,,,,,,100,88.181,82.9,447185,0,447185,100.0,242078,15381,257459,63.88
,,,,,,200,88.319,83.03,447185,0,447185,100.0,243184,15381,258565,64.16
