Dataset,Filename,Column,,0 (%),,,1 (%),,,3 (%),,,5 (%),,,10 (%),,,15 (%),,,20 (%),,,30 (%),
,,,Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%)
IRKIS
,Global
,,VWC,APCA,16,20.32,APCA,16,18.35,APCA,32,12.37,APCA,64,6.77,APCA,128,3.07,APCA,256,2.22,APCA,256,1.71,APCA,256,1.21
