DATASET:,NOAA-2016
FILENAME:,TAO_T8N165E_R_SST_10min.ascii
Timestamp,SST,Q,M
00:10:00,28.824,2,R
00:10:00,28.826,2,R
00:10:00,28.820,2,R
00:10:00,28.826,2,R
00:10:00,28.836,2,R
00:10:00,28.821,2,R
00:10:00,28.831,2,R
00:10:00,28.819,2,R
00:10:00,28.827,2,R
00:10:00,28.830,2,R
00:10:00,28.828,2,R
00:10:00,28.823,2,R
00:10:00,28.831,2,R
00:10:00,28.820,2,R
00:10:00,28.807,2,R
00:10:00,28.809,2,R
00:10:00,28.819,2,R
00:10:00,28.819,2,R
00:10:00,28.819,2,R
00:10:00,28.820,2,R
00:10:00,28.830,2,R
00:10:00,28.832,2,R
00:10:00,28.815,2,R
00:10:00,28.817,2,R
00:10:00,28.832,2,R
00:10:00,28.832,2,R
00:10:00,28.825,2,R
00:10:00,28.832,2,R
00:10:00,28.823,2,R
00:10:00,28.843,2,R
00:10:00,28.831,2,R
00:10:00,28.840,2,R
00:10:00,28.831,2,R
00:10:00,28.828,2,R
00:10:00,28.833,2,R
00:10:00,28.826,2,R
00:10:00,28.822,2,R
00:10:00,28.830,2,R
00:10:00,28.827,2,R
00:10:00,28.832,2,R
00:10:00,28.831,2,R
00:10:00,28.827,2,R
00:10:00,28.827,2,R
00:10:00,28.829,2,R
00:10:00,28.825,2,R
00:10:00,28.823,2,R
00:10:00,28.814,2,R
00:10:00,28.812,2,R
00:10:00,28.818,2,R
00:10:00,28.817,2,R
00:10:00,28.816,2,R
00:10:00,28.811,2,R
00:10:00,28.812,2,R
00:10:00,28.812,2,R
00:10:00,28.813,2,R
00:10:00,28.815,2,R
00:10:00,28.817,2,R
00:10:00,28.815,2,R
00:10:00,28.816,2,R
00:10:00,28.817,2,R
00:10:00,28.815,2,R
00:10:00,28.821,2,R
00:10:00,28.823,2,R
00:10:00,28.821,2,R
00:10:00,28.821,2,R
00:10:00,28.821,2,R
00:10:00,28.818,2,R
00:10:00,28.819,2,R
00:10:00,28.823,2,R
00:10:00,28.823,2,R
00:10:00,28.821,2,R
00:10:00,28.825,2,R
00:10:00,28.821,2,R
00:10:00,28.818,2,R
00:10:00,28.821,2,R
00:10:00,28.817,2,R
00:10:00,28.818,2,R
00:10:00,28.821,2,R
