DATASET:,NOAA-2016
FILENAME:,TAO_T8S95W_D_SST_10min.ascii
Timestamp,SST,Q,M
00:10:00,24.649,1,D
00:10:00,24.642,1,D
00:10:00,24.641,1,D
00:10:00,24.636,1,D
00:10:00,24.643,1,D
00:10:00,24.642,1,D
00:10:00,24.642,1,D
00:10:00,24.644,1,D
00:10:00,24.649,1,D
00:10:00,24.648,1,D
00:10:00,24.651,1,D
00:10:00,24.657,1,D
00:10:00,24.654,1,D
00:10:00,24.659,1,D
00:10:00,24.659,1,D
00:10:00,24.668,1,D
00:10:00,24.663,1,D
00:10:00,24.666,1,D
00:10:00,24.670,1,D
00:10:00,24.675,1,D
00:10:00,24.674,1,D
00:10:00,24.681,1,D
00:10:00,24.690,1,D
00:10:00,24.698,1,D
00:10:00,24.698,1,D
00:10:00,24.696,1,D
00:10:00,24.713,1,D
00:10:00,24.715,1,D
00:10:00,24.728,1,D
00:10:00,24.729,1,D
00:10:00,24.743,1,D
00:10:00,24.738,1,D
00:10:00,24.751,1,D
00:10:00,24.740,1,D
00:10:00,24.757,1,D
00:10:00,24.770,1,D
00:10:00,24.777,1,D
00:10:00,24.769,1,D
00:10:00,24.778,1,D
00:10:00,24.778,1,D
00:10:00,24.785,1,D
00:10:00,24.775,1,D
00:10:00,24.778,1,D
00:10:00,24.785,1,D
00:10:00,24.785,1,D
00:10:00,24.788,1,D
00:10:00,24.777,1,D
00:10:00,24.772,1,D
00:10:00,24.773,1,D
00:10:00,24.771,1,D
00:10:00,24.766,1,D
00:10:00,24.761,1,D
00:10:00,24.762,1,D
00:10:00,24.758,1,D
00:10:00,24.751,1,D
00:10:00,24.757,1,D
00:10:00,24.758,1,D
00:10:00,24.739,1,D
00:10:00,24.747,1,D
00:10:00,24.735,1,D
00:10:00,24.732,1,D
00:10:00,24.732,1,D
00:10:00,24.719,1,D
00:10:00,24.720,1,D
00:10:00,24.713,1,D
00:10:00,24.710,1,D
00:10:00,24.707,1,D
00:10:00,24.703,1,D
