Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,128,188.481,48.97,447185,0,447185,100.0,1058980,0,1058980,40.26
,,,,,,256,213.712,55.52,447185,0,447185,100.0,1260830,0,1260830,47.93
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,151.046,39.24,447185,0,447185,100.0,759500,0,759500,28.87
,,,,,,8,113.110,29.39,447185,0,447185,100.0,456010,0,456010,17.34
,,,,,,16,102.915,26.74,447185,0,447185,100.0,374450,0,374450,14.23
,,,,,,32,108.500,28.19,447185,0,447185,100.0,419130,0,419130,15.93
,,,,,,64,128.554,33.4,447185,0,447185,100.0,579560,0,579560,22.03
,,,,,,128,156.731,40.72,447185,0,447185,100.0,804980,0,804980,30.6
,,,,,,256,189.806,49.31,447185,0,447185,100.0,1069580,0,1069580,40.66
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,149.430,38.82,447185,0,447185,100.0,746570,0,746570,28.38
,,,,,,8,108.945,28.3,447185,0,447185,100.0,422690,0,422690,16.07
,,,,,,16,94.946,24.67,447185,0,447185,100.0,310700,0,310700,11.81
,,,,,,32,95.790,24.89,447185,0,447185,100.0,317450,0,317450,12.07
,,,,,,64,108.945,28.3,447185,0,447185,100.0,422690,0,422690,16.07
,,,,,,128,131.014,34.04,447185,0,447185,100.0,599240,0,599240,22.78
,,,,,,256,163.031,42.35,447185,0,447185,100.0,855380,0,855380,32.52
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,148.976,38.7,447185,0,447185,100.0,742940,0,742940,28.24
,,,,,,8,107.737,27.99,447185,0,447185,100.0,413030,0,413030,15.7
,,,,,,16,92.434,24.01,447185,0,447185,100.0,290600,0,290600,11.05
,,,,,,32,92.070,23.92,447185,0,447185,100.0,287690,0,287690,10.94
,,,,,,64,102.881,26.73,447185,0,447185,100.0,374180,0,374180,14.22
,,,,,,128,123.552,32.1,447185,0,447185,100.0,539550,0,539550,20.51
,,,,,,256,152.194,39.54,447185,0,447185,100.0,768680,0,768680,29.22
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,148.492,38.58,447185,0,447185,100.0,739070,0,739070,28.1
,,,,,,8,106.399,27.64,447185,0,447185,100.0,402320,0,402320,15.29
,,,,,,16,89.509,23.25,447185,0,447185,100.0,267200,0,267200,10.16
,,,,,,32,86.800,22.55,447185,0,447185,100.0,245530,0,245530,9.33
,,,,,,64,95.006,24.68,447185,0,447185,100.0,311180,0,311180,11.83
,,,,,,128,110.217,28.63,447185,0,447185,100.0,432870,0,432870,16.46
,,,,,,256,136.894,35.56,447185,0,447185,100.0,646280,0,646280,24.57
,,,CoderAPCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,188.463,48.96,447185,0,447185,100.0,1058832,0,1058832,40.25
,,,,,,8,156.020,40.53,447185,0,447185,100.0,799292,0,799292,30.39
,,,,,,16,142.837,37.11,447185,0,447185,100.0,693826,0,693826,26.38
,,,,,,32,139.540,36.25,447185,0,447185,100.0,667455,0,667455,25.37
,,,,,,64,140.729,36.56,447185,0,447185,100.0,676960,0,676960,25.74
,,,,,,128,143.901,37.38,447185,0,447185,100.0,702338,0,702338,26.7
,,,,,,256,147.954,38.44,447185,0,447185,100.0,734760,0,734760,27.93
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,188.463,48.96,447185,0,447185,100.0,1058832,0,1058832,40.25
,,,,,,8,156.020,40.53,447185,0,447185,100.0,799292,0,799292,30.39
,,,,,,16,142.837,37.11,447185,0,447185,100.0,693826,0,693826,26.38
,,,,,,32,139.540,36.25,447185,0,447185,100.0,667455,0,667455,25.37
,,,,,,64,140.729,36.56,447185,0,447185,100.0,676960,0,676960,25.74
,,,,,,128,143.901,37.38,447185,0,447185,100.0,702338,0,702338,26.7
,,,,,,256,147.954,38.44,447185,0,447185,100.0,734760,0,734760,27.93
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,180.403,46.87,447185,0,447185,100.0,994356,0,994356,37.8
,,,,,,8,145.056,37.68,447185,0,447185,100.0,711581,0,711581,27.05
,,,,,,16,129.362,33.61,447185,0,447185,100.0,586026,0,586026,22.28
,,,,,,32,123.991,32.21,447185,0,447185,100.0,543060,0,543060,20.64
,,,,,,64,123.541,32.1,447185,0,447185,100.0,539456,0,539456,20.51
,,,,,,128,125.330,32.56,447185,0,447185,100.0,553775,0,553775,21.05
,,,,,,256,128.167,33.3,447185,0,447185,100.0,576468,0,576468,21.91
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,164.058,42.62,447185,0,447185,100.0,863592,0,863592,32.83
,,,,,,8,122.829,31.91,447185,0,447185,100.0,533767,0,533767,20.29
,,,,,,16,102.065,26.52,447185,0,447185,100.0,367654,0,367654,13.98
,,,,,,32,92.350,23.99,447185,0,447185,100.0,289935,0,289935,11.02
,,,,,,64,88.357,22.95,447185,0,447185,100.0,257984,0,257984,9.81
,,,,,,128,87.246,22.67,447185,0,447185,100.0,249101,0,249101,9.47
,,,,,,256,87.566,22.75,447185,0,447185,100.0,251658,0,251658,9.57
