DATASET:,Climaps
FILENAME:,station_1876.csv
Timestamp,Humidity,Temperature,Vapor Pressure,Wet-bulb Temperature,Internal Temperature,Surface Temperature
00:01:00,0.0,102.0,80.0,102.0,4905.0,3834.0
00:01:00,0.0,102.0,80.0,102.0,4911.0,13538.0
00:01:00,0.0,102.0,80.0,102.0,4906.0,3797.0
00:01:00,0.0,102.0,80.0,102.0,4913.0,13532.0
00:01:00,0.0,102.0,80.0,102.0,4915.0,13523.0
00:01:00,0.0,103.0,80.0,103.0,4909.0,13530.0
00:01:00,0.0,103.0,80.0,103.0,4918.0,3513.0
00:01:00,0.0,104.0,80.0,104.0,4915.0,13526.0
00:01:00,0.0,104.0,80.0,104.0,4917.0,13511.0
00:01:00,0.0,104.0,80.0,104.0,4918.0,13509.0
00:01:00,0.0,104.0,79.0,104.0,4921.0,3216.0
00:01:00,0.0,104.0,79.0,104.0,4919.0,3259.0
00:01:00,0.0,104.0,79.0,104.0,4913.0,13511.0
00:01:00,0.0,104.0,79.0,104.0,4914.0,3382.0
00:01:00,0.0,103.0,79.0,103.0,4911.0,13511.0
00:01:00,0.0,102.0,79.0,102.0,4909.0,13511.0
00:01:00,0.0,102.0,79.0,102.0,4911.0,3310.0
00:01:00,0.0,102.0,79.0,102.0,4906.0,13515.0
00:01:00,0.0,101.0,79.0,101.0,4905.0,13515.0
00:01:00,0.0,101.0,78.0,101.0,4897.0,13526.0
00:01:00,0.0,100.0,78.0,100.0,4899.0,13517.0
00:01:00,0.0,100.0,78.0,100.0,4899.0,13523.0
00:01:00,0.0,100.0,78.0,100.0,4893.0,13536.0
00:01:00,0.0,99.0,78.0,99.0,4889.0,13533.0
00:01:00,0.0,99.0,78.0,99.0,4887.0,13536.0
00:01:00,0.0,99.0,78.0,99.0,4884.0,13542.0
00:01:00,0.0,100.0,78.0,100.0,4884.0,13533.0
00:01:00,0.0,100.0,78.0,100.0,4882.0,13542.0
00:01:00,0.0,100.0,78.0,100.0,4882.0,13532.0
