Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,0.01,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,141.670,36.82,447190,0,447190,100.0,681420,3928,685348,26.05
,,,,,,8,130.651,33.95,447190,0,447190,100.0,593268,3928,597196,22.7
,,,,,,16,129.100,33.55,447190,0,447190,100.0,580860,3928,584788,22.23
,,,,,,32,132.100,34.33,447190,0,447190,100.0,604860,3928,608788,23.14
,,,,,,64,136.658,35.51,447190,0,447190,100.0,641328,3928,645256,24.53
,,,,,,128,141.601,36.8,447190,0,447190,100.0,680867,3928,684795,26.03
,,,,,,256,146.600,38.1,447190,0,447190,100.0,720864,3928,724792,27.55
,,,,0.03,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,133.615,34.72,447190,0,447190,100.0,616980,3928,620908,23.6
,,,,,,8,119.697,31.11,447190,0,447190,100.0,505635,3928,509563,19.37
,,,,,,16,115.637,30.05,447190,0,447190,100.0,473158,3928,477086,18.14
,,,,,,32,116.560,30.29,447190,0,447190,100.0,480540,3928,484468,18.42
,,,,,,64,119.478,31.05,447190,0,447190,100.0,503888,3928,507816,19.3
,,,,,,128,123.037,31.97,447190,0,447190,100.0,532355,3928,536283,20.39
,,,,,,256,126.816,32.96,447190,0,447190,100.0,562590,3928,566518,21.54
,,,,0.05,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,117.286,30.48,447190,0,447190,100.0,486348,3928,490276,18.64
,,,,,,8,97.481,25.33,447190,0,447190,100.0,327912,3928,331840,12.62
,,,,,,16,88.360,22.96,447190,0,447190,100.0,254940,3928,258868,9.84
,,,,,,32,84.947,22.07,447190,0,447190,100.0,227640,3928,231568,8.8
,,,,,,64,84.308,21.91,447190,0,447190,100.0,222528,3928,226456,8.61
,,,,,,128,84.957,22.08,447190,0,447190,100.0,227715,3928,231643,8.81
,,,,,,256,86.219,22.41,447190,0,447190,100.0,237816,3928,241744,9.19
,,,,0.1,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,109.405,28.43,447190,0,447190,100.0,423300,3928,427228,16.24
,,,,,,8,86.516,22.48,447190,0,447190,100.0,240188,3928,244116,9.28
,,,,,,16,74.565,19.38,447190,0,447190,100.0,144578,3928,148506,5.65
,,,,,,32,68.605,17.83,447190,0,447190,100.0,96900,3928,100828,3.83
,,,,,,64,65.888,17.12,447190,0,447190,100.0,75168,3928,79096,3.01
,,,,,,128,64.861,16.86,447190,0,447190,100.0,66946,3928,70874,2.69
,,,,,,256,64.705,16.81,447190,0,447190,100.0,65700,3928,69628,2.65
,,,,0.15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,108.754,28.26,447190,0,447190,100.0,418092,3928,422020,16.04
,,,,,,8,85.447,22.2,447190,0,447190,100.0,231634,3928,235562,8.96
,,,,,,16,73.014,18.97,447190,0,447190,100.0,132174,3928,136102,5.17
,,,,,,32,66.597,17.31,447190,0,447190,100.0,80835,3928,84763,3.22
,,,,,,64,63.426,16.48,447190,0,447190,100.0,55472,3928,59400,2.26
,,,,,,128,61.990,16.11,447190,0,447190,100.0,43979,3928,47907,1.82
