DATASET:,NOAA-SST
TIME UNIT:,seconds
FIRST TIMESTAMP:,2017-07-01 00:00:00
Time Delta,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
600,23720,25241,27151,N,30572,29838,N,23132,27062,27062,28049,N,N,N,N,26751,24843,26287,28386,N,30611,N,N,23118,27584,27768,28975,N,29747,29559,N,27621,25460,27480,28393,N,N,29751,29943,23908,29450,28551,N,N,N,28691,28169,25732,27223,29308,29648,29845,N,25578,28647
600,23728,25201,N,N,30416,29787,N,23168,27081,27036,28023,N,N,N,N,26746,24835,26269,28399,N,30648,N,N,23126,27591,27735,28915,N,29764,29629,N,27618,25450,27460,28405,N,N,29746,29920,23908,29435,28544,N,N,N,28680,28165,25743,27239,29314,29719,29842,N,25582,28645
600,23698,25245,27118,N,30479,29826,N,23139,27096,27055,28037,N,N,N,N,26734,24830,26278,28395,N,30558,N,N,23105,27571,27781,28975,N,29792,29448,N,27607,25455,27476,28402,N,N,29744,29885,23909,29412,28550,N,N,N,28693,28153,25733,27228,29305,29712,29849,N,25576,28625
600,23719,25222,27113,N,30460,29782,N,23091,27118,27045,28046,N,N,N,N,26742,24838,26281,28383,N,30615,N,N,23086,27569,27776,28946,N,29807,29725,N,27601,25462,27467,28397,N,N,29745,29868,23908,29407,28555,N,N,N,28690,28164,25735,27222,29293,29738,29838,N,25588,28616
600,23704,25217,27104,N,30474,29779,N,23044,27122,27045,28038,N,N,N,N,26710,24828,26285,28390,N,30604,N,N,23077,27566,27788,28939,N,29770,29601,N,27599,25438,27468,28408,N,N,29750,29831,23911,29413,28553,N,N,N,28688,28153,25727,27229,29306,29805,29827,N,25574,28613
600,23698,25208,27063,N,30521,29670,N,23020,27117,27041,28038,N,N,N,N,26698,24827,26277,28377,N,30629,N,N,23080,27562,27750,28945,N,29831,29736,N,27591,25438,27449,N,N,N,29745,29786,23908,29412,28541,N,N,N,28680,28143,25729,27222,29298,29785,29829,N,25581,28608
600,23690,25213,27057,N,30481,29696,N,22995,27117,27041,28027,N,N,N,N,26695,24817,26276,28379,N,30604,N,N,23086,27549,27739,28919,N,29798,29818,N,27591,25438,27459,N,N,N,29735,29773,23907,29396,28530,N,N,N,28680,28135,25722,27227,29301,29819,29826,N,25587,28580
600,23664,25196,N,N,30509,N,N,23002,27110,27024,28021,N,N,N,N,26681,24811,26259,28377,N,30585,N,N,23085,27535,27688,28912,N,29759,N,N,27581,25436,27485,28390,N,N,29721,29732,23902,29352,28537,N,N,N,28687,28125,25724,27224,29297,29785,29813,N,25581,28568
600,23655,25191,27060,N,30534,N,N,22983,27097,27041,28031,N,N,N,N,26684,24813,26272,28371,N,30580,N,N,23098,27531,27722,28927,N,29764,N,N,27584,25445,27486,28381,N,N,29711,29751,23902,29355,28524,N,N,N,28672,28111,25722,27228,29289,29779,29807,N,25578,28560
600,23649,25209,27053,N,30539,N,N,22967,27115,27032,28025,N,N,N,N,26677,24805,26271,28371,N,30572,N,N,23079,27528,27720,28935,N,29726,N,N,27577,25436,27483,28379,N,N,29734,29725,23904,29344,28515,N,N,N,28669,28078,25727,27216,29288,29804,29794,N,25583,28555
600,23642,25205,27065,N,30583,N,N,22962,27085,27034,28016,N,N,N,N,26673,24814,26267,28361,N,30566,N,N,23075,27529,27726,28917,N,29697,N,N,27591,25437,27482,28367,N,N,29726,29756,23900,29282,28522,N,N,N,28671,28078,25725,27214,29297,29769,29791,N,25581,28524
600,23640,25189,27073,N,30474,N,N,22929,27087,27035,28023,N,N,N,N,26669,24805,26266,28352,N,30579,N,N,23069,27529,27719,28923,N,29711,N,N,27584,25423,27481,28370,N,N,29713,29723,23901,29246,28506,N,N,N,28674,28082,25716,27213,29288,29787,29782,N,25581,28510
600,23637,25185,27063,N,30547,N,N,22907,27070,27032,28019,N,N,N,N,26665,24811,26272,28351,N,30529,N,N,23065,27526,27654,28910,N,29703,N,N,27583,25432,27471,28372,N,N,29730,29746,23900,29282,28500,N,N,N,28666,28075,25721,27214,29290,29792,29770,N,25572,28479
600,23601,25178,N,N,30468,29613,N,22889,27100,27021,28013,N,N,N,N,26645,24799,26255,28349,N,30514,N,N,23053,27533,27709,28880,N,29680,29669,N,N,25405,27458,28368,N,N,29727,29727,23900,29292,28477,N,N,N,28667,N,25719,27207,29281,29799,29765,N,25577,28450
600,23594,25182,27046,N,30515,29544,N,22861,27096,27034,28021,N,N,N,N,26633,24794,26271,28340,N,30488,N,N,23068,27537,27700,28879,N,29688,29639,N,N,25419,27479,28369,N,N,29709,29729,23892,29285,28483,N,N,N,28659,N,25718,27205,29279,29804,29740,N,25569,28441
600,23586,25174,27047,N,30492,29510,N,22843,27127,27030,28018,N,N,N,N,26626,24790,26262,N,N,30487,N,N,23066,27528,27691,28876,N,29667,29632,N,N,25417,27480,28360,N,N,29710,29690,23891,29266,28480,N,N,N,28662,N,25713,27213,29279,29774,29748,N,25581,28437
600,23594,25158,27042,N,30423,29516,N,22822,27119,27027,28019,N,N,N,N,26618,24792,26272,28345,N,30482,N,N,23065,27540,27668,28893,N,29658,29603,N,N,25431,27479,28355,N,N,29705,29669,23888,29253,28478,N,N,N,28666,N,25715,27212,29280,29818,29763,N,25577,28425
600,23598,25167,27038,N,30387,29454,N,22914,27118,27028,28021,N,N,N,N,26606,24800,26258,28339,N,30440,N,N,23057,27533,27676,28883,N,29660,29583,N,N,25433,27465,28349,N,N,29705,29701,23891,29242,28465,N,N,N,28671,N,25707,27216,29265,29733,29758,N,25567,28414
600,23604,25170,27041,N,30394,29432,N,22885,27119,27011,28011,N,N,N,N,26605,24781,26249,28347,N,30414,N,N,23044,27526,27687,28862,N,29637,29611,N,N,25424,27472,28350,N,N,29702,29691,23889,29214,28460,N,N,N,28674,N,25711,27215,29270,29740,29766,N,25575,28403
600,23604,25199,N,N,30359,29418,N,22872,27130,26998,28011,N,N,N,N,26614,24773,26257,N,N,30393,N,N,23034,27523,27696,28887,N,29643,29574,N,27570,25429,27488,28339,N,N,29712,29675,23895,29197,28461,N,N,N,28670,28055,N,27201,29282,29757,29759,N,25566,28403
600,23596,25176,27038,N,30304,29379,N,22860,27121,27019,28014,N,N,N,N,26619,24773,26258,28330,N,30373,N,N,23034,27515,27701,28878,N,29644,29548,N,27571,25423,27473,28347,N,N,29685,29639,23887,29183,28463,N,N,N,28669,28053,N,27214,29273,29772,29733,N,25570,28397
600,23598,25177,27020,N,30286,29394,N,22834,27110,27003,28007,N,N,N,N,26611,24768,26268,28337,N,30391,N,N,23023,27507,27730,28897,N,29631,29545,N,27554,25417,27481,28344,N,N,29702,29629,23889,29186,28447,N,N,N,28663,28034,N,27194,29273,29774,29743,N,25573,28400
600,23594,25196,27017,N,30264,29352,N,22855,27129,27010,28011,N,N,N,N,26621,24775,26262,28335,N,30365,N,N,23007,27506,27732,28871,N,29622,29539,N,27554,25426,27483,28355,N,N,29708,29623,23892,29182,28458,N,N,N,28665,28039,N,27203,29278,29744,29747,N,25572,28411
600,23590,25182,27011,N,30264,29338,N,22825,27120,26997,28001,N,N,N,N,26650,24783,26260,28342,N,30348,N,N,23035,27505,27698,28875,N,29612,29526,N,27559,25417,27474,28354,N,N,29685,29615,23894,29168,28451,N,N,N,28669,28030,N,27201,29274,29759,29742,N,25562,28398
600,23585,25188,27,N,30244,29322,N,22815,27099,26997,28008,N,N,N,N,26594,24779,26261,28341,N,30354,N,N,23040,27493,27692,28855,N,29600,29516,N,27540,25416,27473,28360,N,N,29707,29587,23894,29159,28463,N,N,N,28663,28029,N,27211,29267,29767,29728,N,25562,28391
600,23590,25193,N,N,30234,29312,N,22781,27110,26968,27995,N,N,N,N,26580,24778,26246,28344,N,30340,N,N,23032,27501,27524,28848,N,29582,29512,N,27559,25413,27466,28354,N,N,29705,29597,23899,29160,28468,N,N,N,28660,28041,25696,27190,29268,29755,29742,N,25559,28400
600,23587,25197,27020,N,30196,29282,N,22760,27124,26990,27994,N,N,N,N,26553,24773,26249,28335,N,30326,N,N,23022,27498,27657,28870,N,29576,29491,N,27554,25407,27470,28355,N,N,29701,29585,23895,29139,28465,N,N,N,28650,28048,25694,27195,29283,29717,29735,N,25565,28406
600,23585,25215,27008,N,30172,29270,N,22778,27114,26985,27999,N,N,N,N,26557,24771,26246,28331,N,30306,N,N,23010,27501,27589,28879,N,29575,29493,N,27550,25399,27459,28341,N,N,29700,29579,23889,29136,28472,N,N,N,28642,28040,25692,27207,29271,29724,29726,N,25560,28407
600,23574,25221,27017,N,30117,29251,N,22751,27099,26979,28,N,N,N,N,26561,24776,26257,N,N,30299,N,N,23005,27502,27587,28866,N,29567,29491,N,27557,25413,27462,28347,N,N,29690,29583,23892,29127,28487,N,N,N,28655,28037,25694,27205,29277,29695,29733,N,25556,28399
600,23568,25229,27029,N,30116,29251,N,22734,27082,26970,28,N,N,N,N,26570,24766,26251,28332,N,30271,N,N,23001,27505,27599,28860,N,29567,29486,N,27544,25406,27464,28347,N,N,29702,29595,23889,29114,28485,N,N,N,28647,28031,25694,27204,29271,29698,29743,N,25555,28396
600,23565,25194,27004,N,30106,29251,N,22711,27104,26969,27996,N,N,N,N,26582,24769,26257,28323,N,30268,N,N,22995,27514,27569,28849,N,29561,29495,N,27542,25410,27455,28343,N,N,29699,29586,23892,29118,28489,N,N,N,28642,28028,25681,27201,29270,29696,29729,N,25560,28399
600,N,25195,N,N,30083,29223,N,N,27104,26943,27991,N,N,N,N,26562,N,26259,N,N,30258,N,N,22999,N,27708,28849,N,29562,29484,N,27550,N,27451,28345,N,N,29689,29584,23882,29092,28490,N,N,N,28639,28035,N,27204,29267,29647,29735,N,25558,28386
600,N,25199,27004,N,30073,29180,N,22695,27101,26964,28,N,N,N,N,26568,N,26247,28311,N,30235,N,N,22987,27507,27525,28857,N,29577,29444,N,27552,N,27443,28342,N,N,29699,29576,23888,29067,28497,N,N,N,28637,28038,N,27197,29276,29666,29730,N,25558,28383
600,N,25181,27013,N,30074,29159,N,22669,27111,26966,27990,N,N,N,N,26573,N,26254,28323,N,30237,N,N,22979,27510,27747,28846,N,29567,29459,N,27559,N,27451,28336,N,N,29696,29579,23881,29078,28492,N,N,N,28632,28039,N,27196,29265,29665,29738,N,25552,28382
600,N,25186,27020,N,30044,29119,N,22646,27106,26960,27997,N,N,N,N,26580,N,26250,28321,N,30217,N,N,22973,27510,27748,28850,N,29550,29454,N,27551,N,27426,28332,N,N,29687,29574,23874,29058,28485,N,N,N,28638,28041,N,27182,29264,29666,29734,N,25558,28376
600,N,25189,27017,N,30027,29116,N,22603,27082,26955,27996,N,N,N,N,26578,N,26247,N,N,30206,N,N,22965,27501,27745,28856,N,29551,29455,N,27562,N,27439,28344,N,N,29690,29580,23883,29037,28486,N,N,N,28643,28061,N,27198,29263,29672,29723,N,25558,28373
600,N,25194,27031,N,30065,29113,N,22645,27072,26941,27993,N,N,N,N,26585,N,26253,28316,N,30211,N,N,22954,27503,27725,28845,N,29570,29415,N,27551,N,27419,28349,N,N,29701,29580,23882,29020,28484,N,N,N,28639,28067,N,27197,29254,29675,29725,N,25557,28365
600,23560,25193,N,N,30021,29098,N,22602,27083,26930,27987,N,N,N,N,26596,24745,26244,28311,N,30208,N,N,22951,27507,27668,28847,N,29570,29428,N,27555,25392,27431,28348,N,N,29689,29570,23881,29028,28472,N,N,N,28635,28040,25700,27183,29262,29663,29730,N,25543,28365
600,23554,25208,27033,N,29983,29070,N,22671,27073,26941,27991,N,N,N,N,26585,24748,26256,28307,N,30217,N,N,22957,27508,27702,28857,N,29573,29428,N,27542,25376,27419,28346,N,N,29695,29574,23878,29040,28465,N,N,N,28624,28062,25691,27192,29261,29659,29721,N,25553,28360
600,23550,25215,27023,N,29989,29057,N,22695,27093,26931,27996,N,N,N,N,26576,24755,26251,28313,N,30217,N,N,22965,27502,27699,28843,N,29559,29421,N,27556,25382,27402,28343,N,N,29693,29568,23878,29023,28459,N,N,N,28626,28063,25692,27194,29250,29649,29723,N,25558,28352
600,23542,25216,27019,N,29977,29038,N,22713,27085,26934,27986,N,N,N,N,26604,24748,26247,N,N,30193,N,N,22962,27502,27683,28843,N,29553,29415,N,27553,25386,27413,28338,N,N,29681,29560,23877,29017,28451,N,N,N,28633,28062,25691,27190,29264,29665,29721,N,25557,28357
600,23545,25220,27021,N,29980,29048,N,22726,27079,26934,27991,N,N,N,N,26603,24763,26249,28306,N,30208,N,N,22963,27496,27674,28837,N,29537,29410,N,27554,25376,27416,28342,N,N,29698,29549,23875,28979,28441,N,N,N,28611,28064,25676,27194,29266,29656,29723,N,25552,28347
600,23541,25196,27024,N,29989,29039,N,22707,27071,26936,27981,N,N,N,N,26600,24762,26246,28293,N,30198,N,N,22957,27492,27675,28835,N,29533,29393,N,27552,25369,27406,28342,N,N,29695,29564,23874,28973,28449,N,N,N,28614,28060,25686,27189,29263,29640,29721,N,25551,28344
600,23537,25168,N,N,3,N,N,22667,27078,26923,27982,N,N,N,N,26575,24746,26247,28311,N,30198,N,N,22957,27471,27658,28805,N,29528,N,N,27555,25373,27409,28335,N,N,29696,29542,23872,28978,28441,N,N,N,28618,28052,25683,27193,29257,29643,29720,N,25552,28343
600,23552,25213,27036,N,29985,N,N,22671,N,26924,27989,N,N,N,N,26559,24749,26248,28304,N,30190,N,N,22959,27464,27658,28846,N,29528,N,N,27551,25364,27395,28340,N,N,29690,29544,23868,28949,28451,N,N,N,28613,28058,25669,27199,29264,29601,29722,N,25543,28339
600,23564,25193,27019,N,29965,N,N,22666,27089,26917,27987,N,N,N,N,26551,24755,26250,28309,N,30185,N,N,22958,27478,27646,28831,N,29517,N,N,27560,25364,27397,28334,N,N,29687,29509,23872,28910,28461,N,N,N,28623,28059,25682,27192,29264,29621,29714,N,25557,28335
600,23568,25180,27021,N,29932,N,N,22633,27102,26920,27984,N,N,N,N,26557,24751,26249,28303,N,30195,N,N,22955,27454,27635,28821,N,29520,N,N,27563,25352,27392,28335,N,N,29692,29518,23869,28898,28463,N,N,N,28618,28059,25667,27182,29262,29604,29714,N,25556,28329
600,23565,25178,27017,N,29899,N,N,22612,27098,26919,27987,N,N,N,N,26561,24747,26244,28305,N,30193,N,N,22954,27444,27636,28824,N,29521,N,N,27559,25353,27404,28335,N,N,29695,29517,23874,28881,28460,N,N,N,28610,28051,25678,27186,29250,29603,29701,N,25549,28315
600,23551,25167,27033,N,29903,N,N,22619,27091,26921,27987,N,N,N,N,26556,24729,26245,28307,N,30195,N,N,22952,27454,27640,28803,N,29509,N,N,27547,25352,27399,28338,N,N,29690,29509,23872,28864,28468,N,N,N,28616,28050,25667,27192,29247,29586,29716,N,25546,28315
600,23551,25200,N,N,29935,29016,N,22621,27103,26898,27976,N,N,N,N,26582,24740,26246,28300,N,30185,N,N,22950,27448,27662,28796,N,29506,29344,N,N,25343,27383,28339,N,N,29698,29527,23875,28850,28481,N,N,N,28606,28053,25670,27190,29259,29574,29706,N,25540,28310
600,23535,25170,27015,N,29940,29019,N,22638,27096,26915,27978,N,N,N,N,26605,24726,26249,28299,N,30171,N,N,22951,27437,27666,28803,N,29503,29342,N,27555,25333,27385,28331,N,N,29688,29536,23871,28805,28473,N,N,N,28607,28058,25675,27188,29262,29566,29714,N,25548,28300
600,23540,25162,27017,N,29945,29019,N,22632,27090,26908,27978,N,N,N,N,26602,24728,26248,28303,N,30165,N,N,22948,27434,27671,28816,N,29499,29334,N,27559,25330,27397,28331,N,N,29694,29510,23877,28778,28457,N,N,N,28601,28059,25666,27188,29258,29551,29709,N,25554,28290
600,23534,25144,27007,N,29904,29014,N,22639,27084,26910,27980,N,N,N,N,26616,24723,26239,28306,N,30163,N,N,22952,27444,27662,28814,N,29497,29321,N,27558,25346,27396,28329,N,N,29684,29517,23873,28766,28468,N,N,N,28613,28044,25673,27184,29253,29541,29717,N,25552,28287
600,23538,25152,27005,N,29924,29014,N,22605,27101,26903,27984,N,N,N,N,26621,24715,26232,N,N,30164,N,N,22951,27501,27665,28799,N,29503,29303,N,27546,25342,27381,28330,N,N,29680,29513,23869,28742,28458,N,N,N,28604,28035,25662,27176,29241,29550,29716,N,25546,28285
600,23527,25170,27010,N,29900,29019,N,22577,27103,26903,27978,N,N,N,N,26603,24717,26244,28301,N,30166,N,N,22947,27524,27660,28816,N,29493,29297,N,27550,25342,27386,28327,N,N,29684,29526,23873,28726,28458,N,N,N,28603,28049,25655,27181,29262,29529,29709,N,25550,28277
600,23534,25112,N,N,29909,29003,N,22610,27106,26882,27969,N,N,N,N,26576,24715,26235,28296,N,30165,N,N,22948,27529,27611,28792,N,29492,29287,N,27537,25337,27381,28330,N,N,29691,29515,23872,28694,28452,N,N,N,28599,28041,25664,27179,29257,29536,29709,N,25554,28287
600,23526,25167,26988,N,29877,29001,N,22580,27095,26900,27973,N,N,N,N,26574,24712,26243,28291,N,30156,N,N,22946,27560,N,28807,N,29490,29286,N,27560,25338,27390,28331,N,N,29697,29524,23868,28683,28448,N,N,N,28590,28043,25661,27175,29262,29532,29699,N,25549,28272
600,23526,25182,26986,N,29885,29011,N,22567,27105,26895,27974,N,N,N,N,26568,24694,26239,28295,N,30157,N,N,22940,27579,N,28803,N,29498,29279,N,27535,25336,27388,28326,N,N,29685,29501,23865,28657,28454,N,N,N,28597,28038,25668,27176,29257,29516,29717,N,25533,28277
600,23518,25160,26981,N,29867,29003,N,22572,27095,26889,27966,N,N,N,N,26559,24701,26239,28299,N,30152,N,N,22942,27601,27637,28799,N,29492,29273,N,27550,25327,27383,28328,N,N,29688,29526,23869,28628,28445,N,N,N,28604,28039,25654,27175,29260,29544,29709,N,25543,28271
600,23507,25151,26972,N,29860,29004,N,22538,27066,26893,27975,N,N,N,N,26569,24694,26247,N,N,30145,N,N,22940,27632,27638,28796,N,29489,29267,N,27535,25329,27391,28327,N,N,29705,29507,23868,28619,28448,N,N,N,28595,28037,25671,27177,29259,29551,29715,N,25538,28274
600,23504,25138,26962,N,29859,28993,N,22519,27077,26891,27975,N,N,N,N,26554,24694,26250,28292,N,30147,N,N,22935,27643,27623,28805,N,29484,29249,N,27540,25326,27389,28324,N,N,29663,29514,23866,28597,28443,N,N,N,28586,28032,25654,27178,29251,29548,29715,N,25544,28267
600,23510,25139,N,N,29838,28985,N,22538,27084,26873,27962,N,N,N,N,26551,24706,26236,28286,N,30147,N,N,22939,27657,27564,28790,N,29486,29247,N,27544,25322,27382,28330,N,N,29687,N,23873,28597,28431,N,N,N,28595,28024,25661,27174,29244,29551,29717,N,25535,28265
600,23509,25112,26965,N,29834,28987,N,22522,27100,26878,27963,N,N,N,N,26560,24713,26240,28306,N,30144,N,N,22943,27677,27614,28788,N,29476,29234,N,27552,25318,27395,28333,N,N,29690,N,23867,28583,28425,N,N,N,N,28029,25662,27179,29252,29536,29705,N,25541,28256
600,23508,25121,26973,N,29831,28985,N,22512,27110,26881,27965,N,N,N,N,26526,24717,26240,28288,N,30143,N,N,22944,27687,27599,28788,N,29482,29222,N,27549,25324,27378,28329,N,N,29693,N,23872,28610,28416,N,N,N,N,28026,25663,27185,29248,29482,29714,N,25542,28263
600,23520,25145,26954,N,29830,28982,N,22539,27071,26876,27946,N,N,N,N,26551,24713,26236,28295,N,30150,N,N,22941,27690,27594,28778,N,29478,29228,N,27543,25322,27403,28330,N,N,29699,N,23875,28643,28405,N,N,N,28597,28018,25658,27171,29259,29451,29721,N,25546,28259
600,23520,25127,26949,N,29817,28986,N,22502,27065,26867,27953,N,N,N,N,26533,24714,26248,28292,N,30147,N,N,22944,27693,27585,28785,N,29486,29237,N,27546,25329,27409,28332,N,N,29685,N,23875,28672,28399,N,N,N,28593,28028,25661,27168,29254,29452,29705,N,25537,28249
600,23517,25112,26938,N,29828,28978,N,22539,27087,26863,27961,N,N,N,N,26522,24709,26246,N,N,30155,N,N,22949,27701,27571,28789,N,29483,29243,N,27550,25322,27406,28326,N,N,29698,N,23874,28699,28394,N,N,N,28591,28011,25656,27174,29254,29441,29716,N,25541,28250
600,23503,25123,N,N,29819,28981,N,22531,27086,26847,27954,N,N,N,N,26507,24706,26248,28277,N,30141,N,N,22950,27691,27550,28766,N,29484,29239,N,27552,25328,27398,28325,N,N,29672,29508,23876,28681,28396,N,N,N,28586,28006,25667,27178,29253,29420,29714,N,25541,28250
600,23488,25136,N,N,29813,28978,N,22503,27068,26864,27959,N,N,N,N,26523,24699,26249,28281,N,30150,N,N,22946,27701,27568,28788,N,29486,29229,N,27550,25319,27395,28314,N,N,29687,29502,23879,28683,28392,N,N,N,N,28011,25660,27175,29250,29413,29719,N,25538,28254
600,23479,25142,N,N,29814,28976,N,22523,27082,26865,27952,N,N,N,N,26538,24698,26239,28282,N,30152,N,N,22952,27696,27562,28776,N,29480,29220,N,27553,25327,27403,28319,N,N,29676,29486,23879,28681,28387,N,N,N,N,28010,25661,27169,29229,29425,29725,N,25547,28256
600,23479,25103,26930,N,29810,28976,N,22511,27084,26857,27952,N,N,N,N,26546,24696,26245,N,N,30141,N,N,22960,27699,27562,28774,N,29471,29226,N,27555,25322,27447,28308,N,N,29683,29482,23878,28693,28390,N,N,N,28584,28012,25666,27174,29249,29461,29721,N,25542,28250
