DATASET:,NOAA
Timestamp,T0N110W,T0N125W,T0N140W,T0N155W,T0N165E,T0N170W,T0N180W,T0N95W,T2N110W,T2N125W,T2N140W,T2N155W,T2N165E,T2N170W,T2N180W,T2N95W,T2S110W,T2S125W,T2S140W,T2S155W,T2S165E,T2S170W,T2S180W,T2S95W,T5N110W,T5N125W,T5N140W,T5N155W,T5N165E,T5N170W,T5N180W,T5N95W,T5S110W,T5S125W,T5S140W,T5S155W,T5S165E,T5S170W,T5S180W,T5S95W,T8N110W,T8N125W,T8N155W,T8N165E,T8N170W,T8N180W,T8N95W,T8S110W,T8S125W,T8S155W,T8S165E,T8S170W,T8S180W,T8S95W,T9N140W
00:10:00,21538.0,N,24207.0,N,30250.0,N,28155.0,22358.0,22616.0,25651.0,25708.0,N,29990.0,27539.0,28151.0,N,21744.0,24643.0,24563.0,N,29854.0,28171.0,28309.0,21374.0,N,27225.0,25896.0,27140.0,29486.0,28232.0,28222.0,N,22675.0,25154.0,N,27677.0,N,29394.0,N,N,27278.0,28102.0,N,29186.0,28303.0,N,N,24284.0,25395.0,N,30085.0,29608.0,29863.0,22777.0,27905.0
01:10:00,21503.0,N,N,N,30328.0,N,28174.0,22228.0,22609.0,25636.0,25623.0,N,30014.0,27504.0,28087.0,N,21676.0,24630.0,24526.0,N,30013.0,N,28342.0,21271.0,N,27166.0,N,27128.0,29521.0,28208.0,28281.0,N,22688.0,N,26323.0,27635.0,N,29348.0,N,N,27327.0,28075.0,N,29208.0,N,N,N,24268.0,25261.0,N,30051.0,29577.0,29859.0,22770.0,28028.0
00:10:00,21511.0,N,24076.0,N,30331.0,N,28160.0,22181.0,22611.0,25637.0,25655.0,N,30028.0,27516.0,28146.0,N,21652.0,24609.0,24505.0,N,29947.0,28159.0,28321.0,21253.0,25809.0,27154.0,25828.0,27122.0,29508.0,28218.0,28267.0,N,22670.0,25115.0,26315.0,27621.0,N,29412.0,N,N,27315.0,28052.0,N,29206.0,28284.0,N,N,24254.0,25292.0,N,30074.0,29605.0,29860.0,22761.0,28031.0
00:10:00,21511.0,N,24083.0,N,30329.0,N,28149.0,22160.0,22610.0,25630.0,25646.0,N,30016.0,27514.0,28128.0,N,21643.0,24604.0,24477.0,N,29984.0,28164.0,28330.0,21203.0,25813.0,27154.0,25827.0,27119.0,29521.0,28217.0,28276.0,N,22623.0,25100.0,26305.0,27624.0,N,N,N,N,27330.0,28055.0,N,29206.0,28283.0,N,N,24249.0,25279.0,N,30059.0,29597.0,29861.0,22750.0,28045.0
00:10:00,21517.0,N,24074.0,N,30320.0,N,28134.0,22139.0,22604.0,25630.0,25645.0,N,30020.0,27516.0,28154.0,N,21631.0,24618.0,24534.0,N,29988.0,28162.0,28327.0,21226.0,25816.0,27159.0,25807.0,27120.0,29529.0,28215.0,28274.0,N,22620.0,25095.0,26306.0,27631.0,N,29359.0,N,N,27326.0,28047.0,N,29217.0,28292.0,N,N,24240.0,25282.0,N,30052.0,29603.0,29862.0,22750.0,28042.0
00:10:00,21496.0,N,24052.0,N,30371.0,N,28125.0,22155.0,22607.0,25633.0,25633.0,N,30007.0,27507.0,28096.0,N,21633.0,24628.0,24540.0,N,29919.0,28164.0,28329.0,21242.0,25815.0,27163.0,25796.0,27116.0,29524.0,28218.0,28250.0,N,22603.0,25071.0,26299.0,27638.0,N,29345.0,N,N,27330.0,28042.0,N,29216.0,28291.0,N,N,24245.0,25270.0,N,30029.0,29596.0,29864.0,22751.0,28037.0
00:10:00,21486.0,N,24031.0,N,30369.0,N,28129.0,22175.0,22611.0,25635.0,25631.0,N,30012.0,27509.0,28091.0,N,21623.0,24634.0,24529.0,N,30019.0,28153.0,28320.0,21222.0,25802.0,27167.0,25791.0,27118.0,29518.0,28214.0,28267.0,N,22595.0,25064.0,26308.0,27615.0,N,29347.0,N,N,27326.0,28033.0,N,29208.0,28287.0,N,N,24229.0,25257.0,N,30056.0,29590.0,29867.0,22750.0,28027.0
00:10:00,21476.0,N,N,N,30391.0,N,28143.0,22131.0,22618.0,25603.0,25594.0,N,30023.0,27503.0,27996.0,N,21619.0,24610.0,24526.0,N,30007.0,N,28328.0,21228.0,N,27144.0,N,27118.0,29517.0,28179.0,28280.0,N,22630.0,N,26289.0,27618.0,N,29324.0,N,N,27253.0,28023.0,N,29203.0,N,N,N,24229.0,25220.0,N,30067.0,29562.0,29856.0,22747.0,28030.0
00:10:00,21477.0,N,24057.0,N,30390.0,N,28125.0,22090.0,22617.0,25626.0,25634.0,N,30017.0,27492.0,28087.0,N,21607.0,24628.0,24526.0,N,30008.0,28159.0,28310.0,21217.0,25809.0,27167.0,25782.0,27107.0,29513.0,28204.0,28323.0,N,22665.0,25073.0,26287.0,27602.0,N,29334.0,N,N,27317.0,28021.0,N,29208.0,28282.0,N,N,24228.0,25244.0,N,30094.0,29586.0,29853.0,22749.0,28024.0
00:10:00,21472.0,N,24049.0,N,30385.0,N,28131.0,22115.0,22612.0,25618.0,25623.0,N,30024.0,27493.0,28051.0,N,21603.0,24624.0,24503.0,N,30021.0,28160.0,28327.0,21166.0,25789.0,27156.0,25775.0,27099.0,29522.0,28204.0,28290.0,N,22653.0,25067.0,26283.0,27606.0,N,29316.0,N,N,27329.0,28014.0,N,29200.0,28280.0,N,N,24226.0,25233.0,N,30050.0,29574.0,29852.0,22742.0,28032.0
00:10:00,21476.0,N,24023.0,N,30372.0,N,28119.0,22099.0,22592.0,25613.0,25617.0,N,30015.0,27489.0,28037.0,N,21587.0,24615.0,24472.0,N,29967.0,28155.0,28302.0,21168.0,25775.0,27153.0,25778.0,27101.0,29507.0,28192.0,28263.0,N,22649.0,25076.0,26282.0,27602.0,N,29327.0,N,N,27321.0,28004.0,N,29198.0,28281.0,N,N,24222.0,25221.0,N,30083.0,29565.0,29858.0,22746.0,28028.0
00:10:00,21469.0,N,24013.0,N,30368.0,N,28108.0,22099.0,22603.0,25619.0,25611.0,N,30004.0,27466.0,28025.0,N,21575.0,24618.0,24448.0,N,30038.0,28143.0,28294.0,21162.0,25786.0,27145.0,25766.0,27117.0,29507.0,28192.0,28272.0,N,22636.0,25077.0,26278.0,27600.0,N,29328.0,N,N,27273.0,27992.0,N,29191.0,28269.0,N,N,24217.0,25221.0,N,30077.0,29571.0,29855.0,22743.0,28028.0
00:10:00,21471.0,N,24013.0,N,30356.0,N,28104.0,22062.0,22605.0,25611.0,25611.0,N,30002.0,27480.0,27995.0,N,21569.0,24615.0,24462.0,N,30034.0,28140.0,28276.0,21229.0,25802.0,27138.0,25757.0,27114.0,29500.0,28190.0,28277.0,N,22630.0,25065.0,26276.0,27588.0,N,29298.0,N,N,27258.0,27980.0,N,29189.0,28271.0,N,N,24213.0,25227.0,N,30025.0,29554.0,29850.0,22737.0,28027.0
00:10:00,21452.0,N,N,N,30371.0,N,28112.0,22038.0,22616.0,25604.0,25590.0,N,29988.0,27476.0,27941.0,N,21562.0,24602.0,24490.0,N,30037.0,N,28295.0,21177.0,25802.0,27150.0,N,27124.0,29499.0,28165.0,28284.0,N,22626.0,N,26274.0,27588.0,N,29299.0,N,N,27269.0,27977.0,N,29202.0,N,N,N,24215.0,25174.0,N,30023.0,29534.0,29855.0,22738.0,27910.0
00:10:00,21447.0,N,24015.0,N,30368.0,N,28112.0,22007.0,22623.0,25595.0,25588.0,N,30001.0,27470.0,27982.0,N,21547.0,24601.0,24488.0,N,30001.0,28131.0,28267.0,21138.0,25789.0,27152.0,25769.0,27113.0,29492.0,28175.0,28275.0,N,22641.0,25065.0,26267.0,27582.0,N,29308.0,N,N,27251.0,27985.0,N,29199.0,28266.0,N,N,24212.0,25206.0,N,30087.0,29536.0,29846.0,22744.0,28022.0
00:10:00,21437.0,N,24007.0,N,30351.0,N,28112.0,21986.0,22612.0,25599.0,25594.0,N,30001.0,27466.0,27982.0,N,21554.0,24602.0,24497.0,N,29999.0,28127.0,28259.0,21102.0,25793.0,27161.0,25755.0,27111.0,29486.0,28183.0,28279.0,N,22634.0,25041.0,26264.0,27579.0,N,29292.0,N,N,27254.0,27974.0,N,29205.0,28270.0,N,N,24204.0,25193.0,N,30007.0,29549.0,29850.0,22742.0,27991.0
00:10:00,21444.0,N,23997.0,N,30328.0,N,28093.0,21942.0,22623.0,25605.0,25587.0,N,29999.0,27468.0,27965.0,N,21551.0,24596.0,24497.0,N,30000.0,28128.0,28248.0,21137.0,25799.0,27163.0,25755.0,27098.0,29482.0,28177.0,28298.0,N,22625.0,25028.0,26256.0,27583.0,N,29314.0,N,N,27254.0,27965.0,N,29209.0,28271.0,N,N,24200.0,25183.0,N,30002.0,29542.0,29844.0,22727.0,27981.0
00:10:00,21451.0,N,23990.0,N,30333.0,N,28083.0,21947.0,22623.0,25605.0,25596.0,N,29990.0,27457.0,27949.0,N,21544.0,24601.0,24505.0,N,30010.0,28102.0,28249.0,21124.0,25792.0,27160.0,25750.0,27093.0,29483.0,28167.0,28284.0,N,22606.0,25016.0,26250.0,27582.0,N,29289.0,N,N,27261.0,27964.0,N,29205.0,28265.0,N,N,24200.0,25176.0,N,30020.0,29531.0,29849.0,22725.0,27954.0
