Dataset,Filename,Coder,0,3,5,10,15,20,30,,0,3,5,10,15,20,30
ElNino,el-nino.csv,
,,CoderPCA,50,50,50,50,50,50,50,,3.98,3.98,3.98,3.98,3.98,3.98,3.98
,,CoderAPCA,200,200,200,200,200,200,200,,0.83,0.83,0.83,0.83,0.83,0.83,0.83
,,CoderCA,200,200,200,200,200,200,200,,1.66,1.66,1.66,1.66,1.66,1.66,1.66
