Dataset,Filename,Coder,0,3,5,10,15,20,30,,0,3,5,10,15,20,30
NOAA-SST,noaa-buoy-201701.csv,
,,CoderPCA,25,25,25,25,25,25,25,,11.71,11.71,11.71,11.71,11.71,11.71,11.71
,,CoderAPCA,200,200,200,200,200,200,200,,1.51,1.51,1.51,1.51,1.51,1.51,1.51
,,CoderCA,200,200,200,200,200,200,200,,3.01,3.01,3.01,3.01,3.01,3.01,3.01
,noaa-buoy-201702.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.27,9.27,9.27,9.27,9.27,9.27,9.27
,,CoderAPCA,200,200,200,200,200,200,200,,1.29,1.29,1.29,1.29,1.29,1.29,1.29
,,CoderCA,200,200,200,200,200,200,200,,2.51,2.51,2.51,2.51,2.51,2.51,2.51
,noaa-buoy-201703.csv,
,,CoderPCA,10,10,10,10,10,10,10,,14.34,14.34,14.34,14.34,14.34,14.34,14.34
,,CoderAPCA,200,200,200,200,200,200,200,,1.65,1.65,1.65,1.65,1.65,1.65,1.65
,,CoderCA,200,200,200,200,200,200,200,,3.3,3.3,3.3,3.3,3.3,3.3,3.3
,noaa-buoy-201704.csv,
,,CoderPCA,25,25,25,25,25,25,25,,7.93,7.93,7.93,7.93,7.93,7.93,7.93
,,CoderAPCA,200,200,200,200,200,200,200,,1.1,1.1,1.1,1.1,1.1,1.1,1.1
,,CoderCA,200,200,200,200,200,200,200,,2.19,2.19,2.19,2.19,2.19,2.19,2.19
,noaa-buoy-201705.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.22,9.22,9.22,9.22,9.22,9.22,9.22
,,CoderAPCA,200,200,200,200,200,200,200,,1.2,1.2,1.2,1.2,1.2,1.2,1.2
,,CoderCA,200,200,200,200,200,200,200,,2.41,2.41,2.41,2.41,2.41,2.41,2.41
,noaa-buoy-201706.csv,
,,CoderPCA,25,25,25,25,25,25,25,,12.1,12.1,12.1,12.1,12.1,12.1,12.1
,,CoderAPCA,200,200,200,200,200,200,200,,1.45,1.45,1.45,1.45,1.45,1.45,1.45
,,CoderCA,200,200,200,200,200,200,200,,2.91,2.91,2.91,2.91,2.91,2.91,2.91
,noaa-buoy-201707.csv,
,,CoderPCA,25,25,25,25,25,25,25,,12.99,12.99,12.99,12.99,12.99,12.99,12.99
,,CoderAPCA,200,200,200,200,200,200,200,,1.55,1.55,1.55,1.55,1.55,1.55,1.55
,,CoderCA,200,200,200,200,200,200,200,,3.09,3.09,3.09,3.09,3.09,3.09,3.09
,noaa-buoy-201708.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.47,9.47,9.47,9.47,9.47,9.47,9.47
,,CoderAPCA,200,200,200,200,200,200,200,,1.23,1.23,1.23,1.23,1.23,1.23,1.23
,,CoderCA,200,200,200,200,200,200,200,,2.46,2.46,2.46,2.46,2.46,2.46,2.46
,noaa-buoy-201709.csv,
,,CoderPCA,25,25,25,25,25,25,25,,7.93,7.93,7.93,7.93,7.93,7.93,7.93
,,CoderAPCA,200,200,200,200,200,200,200,,1.1,1.1,1.1,1.1,1.1,1.1,1.1
,,CoderCA,200,200,200,200,200,200,200,,2.19,2.19,2.19,2.19,2.19,2.19,2.19
,noaa-buoy-201710.csv,
,,CoderPCA,25,25,25,25,25,25,25,,11.71,11.71,11.71,11.71,11.71,11.71,11.71
,,CoderAPCA,200,200,200,200,200,200,200,,1.47,1.47,1.47,1.47,1.47,1.47,1.47
,,CoderCA,200,200,200,200,200,200,200,,2.95,2.95,2.95,2.95,2.95,2.95,2.95
,noaa-buoy-201711.csv,
,,CoderPCA,25,25,25,25,25,25,25,,7.93,7.93,7.93,7.93,7.93,7.93,7.93
,,CoderAPCA,200,200,200,200,200,200,200,,1.03,1.03,1.03,1.03,1.03,1.03,1.03
,,CoderCA,200,200,200,200,200,200,200,,2.06,2.06,2.06,2.06,2.06,2.06,2.06
,noaa-buoy-201712.csv,
,,CoderPCA,25,25,25,25,25,25,25,,9.9,9.9,9.9,9.9,9.9,9.9,9.9
,,CoderAPCA,200,200,200,200,200,200,200,,1.3,1.3,1.3,1.3,1.3,1.3,1.3
,,CoderCA,200,200,200,200,200,200,200,,2.6,2.6,2.6,2.6,2.6,2.6,2.6
