Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,141.670,36.82,447190,0,447190,100.0,681420,3928,685348,26.05
,,,,,,8,130.651,33.95,447190,0,447190,100.0,593268,3928,597196,22.7
,,,,,,16,129.100,33.55,447190,0,447190,100.0,580860,3928,584788,22.23
,,,,,,32,132.100,34.33,447190,0,447190,100.0,604860,3928,608788,23.14
,,,,,,64,136.658,35.51,447190,0,447190,100.0,641328,3928,645256,24.53
,,,,,,128,141.601,36.8,447190,0,447190,100.0,680867,3928,684795,26.03
,,,,,,256,146.600,38.1,447190,0,447190,100.0,720864,3928,724792,27.55
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,133.615,34.72,447190,0,447190,100.0,616980,3928,620908,23.6
,,,,,,8,119.697,31.11,447190,0,447190,100.0,505635,3928,509563,19.37
,,,,,,16,115.637,30.05,447190,0,447190,100.0,473158,3928,477086,18.14
,,,,,,32,116.560,30.29,447190,0,447190,100.0,480540,3928,484468,18.42
,,,,,,64,119.478,31.05,447190,0,447190,100.0,503888,3928,507816,19.3
,,,,,,128,123.037,31.97,447190,0,447190,100.0,532355,3928,536283,20.39
,,,,,,256,126.816,32.96,447190,0,447190,100.0,562590,3928,566518,21.54
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,117.286,30.48,447190,0,447190,100.0,486348,3928,490276,18.64
,,,,,,8,97.481,25.33,447190,0,447190,100.0,327912,3928,331840,12.62
,,,,,,16,88.360,22.96,447190,0,447190,100.0,254940,3928,258868,9.84
,,,,,,32,84.947,22.07,447190,0,447190,100.0,227640,3928,231568,8.8
,,,,,,64,84.308,21.91,447190,0,447190,100.0,222528,3928,226456,8.61
,,,,,,128,84.957,22.08,447190,0,447190,100.0,227715,3928,231643,8.81
,,,,,,256,86.219,22.41,447190,0,447190,100.0,237816,3928,241744,9.19
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,109.405,28.43,447190,0,447190,100.0,423300,3928,427228,16.24
,,,,,,8,86.516,22.48,447190,0,447190,100.0,240188,3928,244116,9.28
,,,,,,16,74.565,19.38,447190,0,447190,100.0,144578,3928,148506,5.65
,,,,,,32,68.605,17.83,447190,0,447190,100.0,96900,3928,100828,3.83
,,,,,,64,65.888,17.12,447190,0,447190,100.0,75168,3928,79096,3.01
,,,,,,128,64.861,16.86,447190,0,447190,100.0,66946,3928,70874,2.69
,,,,,,256,64.705,16.81,447190,0,447190,100.0,65700,3928,69628,2.65
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,108.754,28.26,447190,0,447190,100.0,418092,3928,422020,16.04
,,,,,,8,85.447,22.2,447190,0,447190,100.0,231634,3928,235562,8.96
,,,,,,16,73.014,18.97,447190,0,447190,100.0,132174,3928,136102,5.17
,,,,,,32,66.597,17.31,447190,0,447190,100.0,80835,3928,84763,3.22
,,,,,,64,63.426,16.48,447190,0,447190,100.0,55472,3928,59400,2.26
,,,,,,128,61.990,16.11,447190,0,447190,100.0,43979,3928,47907,1.82
,,,,,,256,61.481,15.98,447190,0,447190,100.0,39906,3928,43834,1.67
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,108.650,28.23,447190,0,447190,100.0,417264,3928,421192,16.01
,,,,,,8,85.248,22.15,447190,0,447190,100.0,230048,3928,233976,8.89
,,,,,,16,72.718,18.9,447190,0,447190,100.0,129808,3928,133736,5.08
,,,,,,32,66.188,17.2,447190,0,447190,100.0,77565,3928,81493,3.1
,,,,,,64,62.908,16.35,447190,0,447190,100.0,51328,3928,55256,2.1
,,,,,,128,61.342,15.94,447190,0,447190,100.0,38794,3928,42722,1.62
,,,,,,256,60.738,15.78,447190,0,447190,100.0,33966,3928,37894,1.44
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,108.452,28.18,447190,0,447190,100.0,415680,3928,419608,15.95
,,,,,,8,84.941,22.07,447190,0,447190,100.0,227591,3928,231519,8.8
,,,,,,16,72.253,18.78,447190,0,447190,100.0,126084,3928,130012,4.94
,,,,,,32,65.556,17.04,447190,0,447190,100.0,72510,3928,76438,2.91
,,,,,,64,62.102,16.14,447190,0,447190,100.0,44880,3928,48808,1.86
,,,,,,128,60.345,15.68,447190,0,447190,100.0,30821,3928,34749,1.32
,,,,,,256,59.566,15.48,447190,0,447190,100.0,24588,3928,28516,1.08
,,,CoderCA,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,187.295,48.67,447190,0,447190,100.0,1046424,3928,1050352,39.93
,,,,,,8,177.626,46.16,447190,0,447190,100.0,969072,3928,973000,36.99
,,,,,,16,176.978,45.99,447190,0,447190,100.0,963886,3928,967814,36.79
,,,,,,32,182.254,47.36,447190,0,447190,100.0,1006095,3928,1010023,38.4
,,,,,,64,189.826,49.33,447190,0,447190,100.0,1066672,3928,1070600,40.7
,,,,,,128,198.037,51.46,447190,0,447190,100.0,1132353,3928,1136281,43.2
,,,,,,256,206.349,53.62,447190,0,447190,100.0,1198854,3928,1202782,45.72
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,187.295,48.67,447190,0,447190,100.0,1046424,3928,1050352,39.93
,,,,,,8,177.626,46.16,447190,0,447190,100.0,969072,3928,973000,36.99
,,,,,,16,176.978,45.99,447190,0,447190,100.0,963886,3928,967814,36.79
,,,,,,32,182.254,47.36,447190,0,447190,100.0,1006095,3928,1010023,38.4
,,,,,,64,189.826,49.33,447190,0,447190,100.0,1066672,3928,1070600,40.7
,,,,,,128,198.037,51.46,447190,0,447190,100.0,1132353,3928,1136281,43.2
,,,,,,256,206.349,53.62,447190,0,447190,100.0,1198854,3928,1202782,45.72
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,176.287,45.81,447190,0,447190,100.0,958356,3928,962284,36.58
,,,,,,8,161.815,42.05,447190,0,447190,100.0,842582,3928,846510,32.18
,,,,,,16,157.249,40.86,447190,0,447190,100.0,806050,3928,809978,30.79
,,,,,,32,159.488,41.45,447190,0,447190,100.0,823965,3928,827893,31.47
,,,,,,64,164.738,42.81,447190,0,447190,100.0,865968,3928,869896,33.07
,,,,,,128,170.985,44.43,447190,0,447190,100.0,915943,3928,919871,34.97
,,,,,,256,177.572,46.15,447190,0,447190,100.0,968634,3928,972562,36.97
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,153.377,39.86,447190,0,447190,100.0,775080,3928,779008,29.61
,,,,,,8,128.937,33.51,447190,0,447190,100.0,579553,3928,583481,22.18
,,,,,,16,116.239,30.21,447190,0,447190,100.0,477974,3928,481902,18.32
,,,,,,32,112.045,29.12,447190,0,447190,100.0,444420,3928,448348,17.04
,,,,,,64,112.238,29.17,447190,0,447190,100.0,445968,3928,449896,17.1
,,,,,,128,114.350,29.72,447190,0,447190,100.0,462859,3928,466787,17.75
,,,,,,256,117.285,30.48,447190,0,447190,100.0,486342,3928,490270,18.64
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,141.547,36.78,447190,0,447190,100.0,680436,3928,684364,26.02
,,,,,,8,111.270,28.92,447190,0,447190,100.0,438217,3928,442145,16.81
,,,,,,16,93.442,24.28,447190,0,447190,100.0,295596,3928,299524,11.39
,,,,,,32,84.704,22.01,447190,0,447190,100.0,225690,3928,229618,8.73
,,,,,,64,81.308,21.13,447190,0,447190,100.0,198528,3928,202456,7.7
,,,,,,128,80.628,20.95,447190,0,447190,100.0,193086,3928,197014,7.49
,,,,,,256,81.229,21.11,447190,0,447190,100.0,197892,3928,201820,7.67
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,140.330,36.47,447190,0,447190,100.0,670704,3928,674632,25.65
,,,,,,8,108.749,28.26,447190,0,447190,100.0,418054,3928,421982,16.04
,,,,,,16,89.242,23.19,447190,0,447190,100.0,261996,3928,265924,10.11
,,,,,,32,78.856,20.49,447190,0,447190,100.0,178905,3928,182833,6.95
,,,,,,64,73.912,19.21,447190,0,447190,100.0,139360,3928,143288,5.45
,,,,,,128,72.039,18.72,447190,0,447190,100.0,124372,3928,128300,4.88
,,,,,,256,71.792,18.66,447190,0,447190,100.0,122400,3928,126328,4.8
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,139.984,36.38,447190,0,447190,100.0,667932,3928,671860,25.54
,,,,,,8,108.002,28.07,447190,0,447190,100.0,412074,3928,416002,15.81
,,,,,,16,87.924,22.85,447190,0,447190,100.0,251454,3928,255382,9.71
,,,,,,32,76.924,19.99,447190,0,447190,100.0,163455,3928,167383,6.36
,,,,,,64,71.450,18.57,447190,0,447190,100.0,119664,3928,123592,4.7
,,,,,,128,69.109,17.96,447190,0,447190,100.0,100929,3928,104857,3.99
,,,,,,256,68.478,17.8,447190,0,447190,100.0,95886,3928,99814,3.79
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,139.630,36.29,447190,0,447190,100.0,665100,3928,669028,25.43
,,,,,,8,107.261,27.87,447190,0,447190,100.0,406146,3928,410074,15.59
,,,,,,16,86.547,22.49,447190,0,447190,100.0,240436,3928,244364,9.29
,,,,,,32,74.684,19.41,447190,0,447190,100.0,145530,3928,149458,5.68
,,,,,,64,68.468,17.79,447190,0,447190,100.0,95808,3928,99736,3.79
,,,,,,128,65.536,17.03,447190,0,447190,100.0,72352,3928,76280,2.9
,,,,,,256,64.300,16.71,447190,0,447190,100.0,62460,3928,66388,2.52
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,449.044,116.69,447190,0,447190,100.0,3140416,3928,3144344,119.53
,,,,,,8,376.280,97.78,447190,0,447190,100.0,2558299,3928,2562227,97.4
,,,,,,16,350.376,91.05,447190,0,447190,100.0,2351072,3928,2355000,89.53
,,,,,,32,345.918,89.89,447190,0,447190,100.0,2315406,3928,2319334,88.17
,,,,,,64,348.162,90.48,447190,0,447190,100.0,2333354,3928,2337282,88.85
,,,,,,128,352.071,91.49,447190,0,447190,100.0,2364630,3928,2368558,90.04
,,,,,,256,356.207,92.57,447190,0,447190,100.0,2397720,3928,2401648,91.3
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,449.044,116.69,447190,0,447190,100.0,3140416,3928,3144344,119.53
,,,,,,8,376.280,97.78,447190,0,447190,100.0,2558299,3928,2562227,97.4
,,,,,,16,350.376,91.05,447190,0,447190,100.0,2351072,3928,2355000,89.53
,,,,,,32,345.918,89.89,447190,0,447190,100.0,2315406,3928,2319334,88.17
,,,,,,64,348.162,90.48,447190,0,447190,100.0,2333354,3928,2337282,88.85
,,,,,,128,352.071,91.49,447190,0,447190,100.0,2364630,3928,2368558,90.04
,,,,,,256,356.207,92.57,447190,0,447190,100.0,2397720,3928,2401648,91.3
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,423.110,109.95,447190,0,447190,100.0,2932944,3928,2936872,111.65
,,,,,,8,334.740,86.99,447190,0,447190,100.0,2225979,3928,2229907,84.77
,,,,,,16,298.934,77.68,447190,0,447190,100.0,1939536,3928,1943464,73.88
,,,,,,32,288.010,74.84,447190,0,447190,100.0,1852140,3928,1856068,70.56
,,,,,,64,286.614,74.48,447190,0,447190,100.0,1840974,3928,1844902,70.14
,,,,,,128,288.242,74.9,447190,0,447190,100.0,1853998,3928,1857926,70.63
,,,,,,256,290.957,75.61,447190,0,447190,100.0,1875720,3928,1879648,71.46
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,369.473,96.01,447190,0,447190,100.0,2503846,3928,2507774,95.33
,,,,,,8,248.817,64.66,447190,0,447190,100.0,1538594,3928,1542522,58.64
,,,,,,16,192.395,50.0,447190,0,447190,100.0,1087224,3928,1091152,41.48
,,,,,,32,167.812,43.61,447190,0,447190,100.0,890556,3928,894484,34.0
,,,,,,64,157.902,41.03,447190,0,447190,100.0,811274,3928,815202,30.99
,,,,,,128,154.514,40.15,447190,0,447190,100.0,784170,3928,788098,29.96
,,,,,,256,154.193,40.07,447190,0,447190,100.0,781608,3928,785536,29.86
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,343.172,89.18,447190,0,447190,100.0,2293438,3928,2297366,87.34
,,,,,,8,205.907,53.51,447190,0,447190,100.0,1195318,3928,1199246,45.59
,,,,,,16,138.186,35.91,447190,0,447190,100.0,653552,3928,657480,24.99
,,,,,,32,105.578,27.44,447190,0,447190,100.0,392684,3928,396612,15.08
,,,,,,64,90.434,23.5,447190,0,447190,100.0,271536,3928,275464,10.47
,,,,,,128,83.740,21.76,447190,0,447190,100.0,217977,3928,221905,8.44
,,,,,,256,81.414,21.16,447190,0,447190,100.0,199376,3928,203304,7.73
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,341.761,88.81,447190,0,447190,100.0,2282150,3928,2286078,86.91
,,,,,,8,203.093,52.78,447190,0,447190,100.0,1172803,3928,1176731,44.73
,,,,,,16,133.685,34.74,447190,0,447190,100.0,617544,3928,621472,23.63
,,,,,,32,99.462,25.85,447190,0,447190,100.0,343758,3928,347686,13.22
,,,,,,64,82.961,21.56,447190,0,447190,100.0,211750,3928,215678,8.2
,,,,,,128,75.263,19.56,447190,0,447190,100.0,150165,3928,154093,5.86
,,,,,,256,72.044,18.72,447190,0,447190,100.0,124416,3928,128344,4.88
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,341.547,88.76,447190,0,447190,100.0,2280434,3928,2284362,86.84
,,,,,,8,202.566,52.64,447190,0,447190,100.0,1168585,3928,1172513,44.57
,,,,,,16,132.678,34.48,447190,0,447190,100.0,609488,3928,613416,23.32
,,,,,,32,97.944,25.45,447190,0,447190,100.0,331614,3928,335542,12.76
,,,,,,64,80.957,21.04,447190,0,447190,100.0,195720,3928,199648,7.59
,,,,,,128,72.885,18.94,447190,0,447190,100.0,131137,3928,135065,5.13
,,,,,,256,69.371,18.03,447190,0,447190,100.0,103032,3928,106960,4.07
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",4,341.208,88.67,447190,0,447190,100.0,2277728,3928,2281656,86.74
,,,,,,8,201.841,52.45,447190,0,447190,100.0,1162791,3928,1166719,44.35
,,,,,,16,131.446,34.16,447190,0,447190,100.0,599632,3928,603560,22.94
,,,,,,32,96.362,25.04,447190,0,447190,100.0,318960,3928,322888,12.27
,,,,,,64,78.814,20.48,447190,0,447190,100.0,178576,3928,182504,6.94
,,,,,,128,70.378,18.29,447190,0,447190,100.0,111083,3928,115011,4.37
,,,,,,256,66.478,17.28,447190,0,447190,100.0,79888,3928,83816,3.19
,,,CoderPWLHInt,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,187.343,48.68,447190,0,447190,100.0,1046808,3928,1050736,39.94
,,,,,,8,166.271,43.21,447190,0,447190,100.0,878225,3928,882153,33.54
,,,,,,16,160.217,41.64,447190,0,447190,100.0,829794,3928,833722,31.69
,,,,,,32,161.357,41.93,447190,0,447190,100.0,838920,3928,842848,32.04
,,,,,,64,164.827,42.83,447190,0,447190,100.0,866680,3928,870608,33.1
,,,,,,128,168.896,43.89,447190,0,447190,100.0,899232,3928,903160,34.33
,,,,,,256,173.049,44.97,447190,0,447190,100.0,932454,3928,936382,35.6
,,,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,187.343,48.68,447190,0,447190,100.0,1046808,3928,1050736,39.94
,,,,,,8,166.271,43.21,447190,0,447190,100.0,878225,3928,882153,33.54
,,,,,,16,160.217,41.64,447190,0,447190,100.0,829794,3928,833722,31.69
,,,,,,32,161.357,41.93,447190,0,447190,100.0,838920,3928,842848,32.04
,,,,,,64,164.827,42.83,447190,0,447190,100.0,866680,3928,870608,33.1
,,,,,,128,168.896,43.89,447190,0,447190,100.0,899232,3928,903160,34.33
,,,,,,256,173.049,44.97,447190,0,447190,100.0,932454,3928,936382,35.6
,,,,3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,187.343,48.68,447190,0,447190,100.0,1046808,3928,1050736,39.94
,,,,,,8,166.271,43.21,447190,0,447190,100.0,878225,3928,882153,33.54
,,,,,,16,160.217,41.64,447190,0,447190,100.0,829794,3928,833722,31.69
,,,,,,32,161.357,41.93,447190,0,447190,100.0,838920,3928,842848,32.04
,,,,,,64,164.827,42.83,447190,0,447190,100.0,866680,3928,870608,33.1
,,,,,,128,168.896,43.89,447190,0,447190,100.0,899232,3928,903160,34.33
,,,,,,256,173.049,44.97,447190,0,447190,100.0,932454,3928,936382,35.6
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,187.343,48.68,447190,0,447190,100.0,1046808,3928,1050736,39.94
,,,,,,8,166.271,43.21,447190,0,447190,100.0,878225,3928,882153,33.54
,,,,,,16,160.217,41.64,447190,0,447190,100.0,829794,3928,833722,31.69
,,,,,,32,161.357,41.93,447190,0,447190,100.0,838920,3928,842848,32.04
,,,,,,64,164.827,42.83,447190,0,447190,100.0,866680,3928,870608,33.1
,,,,,,128,168.896,43.89,447190,0,447190,100.0,899232,3928,903160,34.33
,,,,,,256,173.049,44.97,447190,0,447190,100.0,932454,3928,936382,35.6
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,177.064,46.01,447190,0,447190,100.0,964570,3928,968498,36.82
,,,,,,8,149.338,38.81,447190,0,447190,100.0,742765,3928,746693,28.39
,,,,,,16,138.672,36.04,447190,0,447190,100.0,657436,3928,661364,25.14
,,,,,,32,136.456,35.46,447190,0,447190,100.0,639705,3928,643633,24.47
,,,,,,64,137.698,35.78,447190,0,447190,100.0,649642,3928,653570,24.85
,,,,,,128,140.109,36.41,447190,0,447190,100.0,668932,3928,672860,25.58
,,,,,,256,142.964,37.15,447190,0,447190,100.0,691776,3928,695704,26.45
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,160.502,41.71,447190,0,447190,100.0,832078,3928,836006,31.78
,,,,,,8,121.845,31.66,447190,0,447190,100.0,522819,3928,526747,20.02
,,,,,,16,103.385,26.87,447190,0,447190,100.0,375138,3928,379066,14.41
,,,,,,32,95.420,24.8,447190,0,447190,100.0,311420,3928,315348,11.99
,,,,,,64,92.424,24.02,447190,0,447190,100.0,287452,3928,291380,11.08
,,,,,,128,91.808,23.86,447190,0,447190,100.0,282525,3928,286453,10.89
,,,,,,256,92.353,24.0,447190,0,447190,100.0,286886,3928,290814,11.06
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,155.935,40.52,447190,0,447190,100.0,795544,3928,799472,30.39
,,,,,,8,114.162,29.67,447190,0,447190,100.0,461360,3928,465288,17.69
,,,,,,16,93.439,24.28,447190,0,447190,100.0,295574,3928,299502,11.39
,,,,,,32,83.694,21.75,447190,0,447190,100.0,217615,3928,221543,8.42
