Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,vwc_1203.dat.csv,26.305,,5,"[0, 1, 1, 1, 1, 'N', 2, 1, 1, 'N', 'N']",5,123.861,83.88,175.400,100.0,814.684,81.06
,vwc_1203.dat.csv,26.305,,,,10,73.387,49.7,100.506,57.3,485.786,48.33
,vwc_1203.dat.csv,26.305,,,,25,40.476,27.41,44.572,25.41,278.430,27.7
,vwc_1203.dat.csv,26.305,,,,50,30.651,20.76,23.782,13.56,220.624,21.95
,vwc_1203.dat.csv,26.305,,,,100,26.278,17.8,12.576,7.17,196.843,19.59
,vwc_1203.dat.csv,26.305,,,,200,24.571,16.64,6.600,3.76,189.162,18.82
,vwc_1203.dat.csv,26.305,,10,"[0, 3, 2, 1, 1, 'N', 3, 2, 1, 'N', 'N']",5,122.636,83.05,175.400,100.0,804.882,80.08
,vwc_1203.dat.csv,26.305,,,,10,70.633,47.84,100.506,57.3,463.750,46.14
,vwc_1203.dat.csv,26.305,,,,25,35.661,24.15,44.572,25.41,239.910,23.87
,vwc_1203.dat.csv,26.305,,,,50,24.617,16.67,23.782,13.56,172.352,17.15
,vwc_1203.dat.csv,26.305,,,,100,19.499,13.21,12.576,7.17,142.613,14.19
,vwc_1203.dat.csv,26.305,,,,200,17.229,11.67,6.600,3.76,130.428,12.98
,vwc_1203.dat.csv,26.305,,15,"[0, 4, 3, 2, 2, 'N', 5, 3, 2, 'N', 'N']",5,122.114,82.7,175.400,100.0,800.709,79.67
,vwc_1203.dat.csv,26.305,,,,10,69.443,47.03,100.506,57.3,454.230,45.19
,vwc_1203.dat.csv,26.305,,,,25,33.186,22.47,44.572,25.41,220.110,21.9
,vwc_1203.dat.csv,26.305,,,,50,21.013,14.23,23.782,13.56,143.520,14.28
,vwc_1203.dat.csv,26.305,,,,100,15.058,10.2,12.576,7.17,107.083,10.65
,vwc_1203.dat.csv,26.305,,,,200,12.394,8.39,6.600,3.76,91.746,9.13
,vwc_1203.dat.csv,26.305,,20,"[0, 6, 4, 3, 3, 'N', 7, 3, 2, 'N', 'N']",5,121.898,82.55,175.400,100.0,798.980,79.5
,vwc_1203.dat.csv,26.305,,,,10,69.000,46.73,100.506,57.3,450.688,44.84
