Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,8,155.912,40.52,447185,0,447185,100.0,799292,0,799292,30.39
,,,,,,16,142.729,37.09,447185,0,447185,100.0,693826,0,693826,26.38
,,,,,,32,139.433,36.23,447185,0,447185,100.0,667455,0,667455,25.37
,,,,,,64,140.621,36.54,447185,0,447185,100.0,676960,0,676960,25.74
,,,,,,128,143.793,37.37,447185,0,447185,100.0,702338,0,702338,26.7
,,,,,,256,147.846,38.42,447185,0,447185,100.0,734760,0,734760,27.93
,,,,0.03,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",4,180.295,46.85,447185,0,447185,100.0,994356,0,994356,37.8
,,,,,,8,144.948,37.67,447185,0,447185,100.0,711581,0,711581,27.05
,,,,,,16,129.254,33.59,447185,0,447185,100.0,586026,0,586026,22.28
,,,,,,32,123.883,32.19,447185,0,447185,100.0,543060,0,543060,20.64
,,,,,,64,123.433,32.08,447185,0,447185,100.0,539456,0,539456,20.51
,,,,,,128,125.223,32.54,447185,0,447185,100.0,553775,0,553775,21.05
,,,,,,256,128.059,33.28,447185,0,447185,100.0,576468,0,576468,21.91
,,,,0.05,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",4,163.950,42.61,447185,0,447185,100.0,863592,0,863592,32.83
,,,,,,8,122.722,31.89,447185,0,447185,100.0,533767,0,533767,20.29
,,,,,,16,101.958,26.5,447185,0,447185,100.0,367654,0,367654,13.98
,,,,,,32,92.243,23.97,447185,0,447185,100.0,289935,0,289935,11.02
,,,,,,64,88.249,22.93,447185,0,447185,100.0,257984,0,257984,9.81
,,,,,,128,87.138,22.64,447185,0,447185,100.0,249101,0,249101,9.47
,,,,,,256,87.458,22.73,447185,0,447185,100.0,251658,0,251658,9.57
,,,,0.1,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",4,156.067,40.56,447185,0,447185,100.0,800532,0,800532,30.43
,,,,,,8,111.750,29.04,447185,0,447185,100.0,445991,0,445991,16.95
,,,,,,16,88.143,22.91,447185,0,447185,100.0,257138,0,257138,9.78
,,,,,,32,75.885,19.72,447185,0,447185,100.0,159075,0,159075,6.05
,,,,,,64,69.821,18.14,447185,0,447185,100.0,110560,0,110560,4.2
,,,,,,128,67.040,17.42,447185,0,447185,100.0,88315,0,88315,3.36
,,,,,,256,65.939,17.14,447185,0,447185,100.0,79506,0,79506,3.02
,,,,0.15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",4,155.430,40.39,447185,0,447185,100.0,795432,0,795432,30.24
,,,,,,8,110.682,28.76,447185,0,447185,100.0,437450,0,437450,16.63
,,,,,,16,86.586,22.5,447185,0,447185,100.0,244678,0,244678,9.3
,,,,,,32,73.881,19.2,447185,0,447185,100.0,143040,0,143040,5.44
,,,,,,64,67.351,17.5,447185,0,447185,100.0,90800,0,90800,3.45
,,,,,,128,64.159,16.67,447185,0,447185,100.0,65263,0,65263,2.48
,,,,,,256,62.715,16.3,447185,0,447185,100.0,53712,0,53712,2.04
,,,,0.2,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",4,155.329,40.36,447185,0,447185,100.0,794628,0,794628,30.21
