Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,30,"[0, 8, 6, 4, 4, 'N', 10, 5, 3, 'N', 'N']",5,125.984,32.74,194.694,43.54,812.375,30.88
,,,,,,10,67.042,17.42,100.016,22.37,435.516,16.56
,,,,,,25,28.909,7.51,41.106,9.19,189.360,7.2
,,,,,,50,15.945,4.14,21.120,4.72,105.638,4.02
,,,,,,100,9.287,2.41,10.865,2.43,62.625,2.38
,,,,,,200,5.961,1.55,5.586,1.25,41.300,1.57
,vwc_1204.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'N']",5,159.182,41.37,194.694,43.54,1.077.954,40.98
,,,,,,10,111.329,28.93,100.016,22.37,789.808,30.03
,,,,,,25,84.106,21.86,41.106,9.19,630.940,23.99
,,,,,,50,77.372,20.11,21.120,4.72,597.052,22.7
,,,,,,100,75.229,19.55,10.865,2.43,590.164,22.44
,,,,,,200,75.356,19.58,5.586,1.25,596.454,22.67
,,,,3,"[0, 2, 0, 0, 1, 1, 2, 1, 0, 1, 'N']",5,143.294,37.24,194.694,43.54,950.852,36.15
,,,,,,10,87.780,22.81,100.016,22.37,601.422,22.86
,,,,,,25,54.019,14.04,41.106,9.19,390.240,14.84
,,,,,,50,44.026,11.44,21.120,4.72,330.280,12.56
,,,,,,100,39.661,10.31,10.865,2.43,305.614,11.62
,,,,,,200,38.124,9.91,5.586,1.25,298.602,11.35
,,,,5,"[0, 3, 1, 0, 2, 2, 4, 1, 1, 2, 'N']",5,135.912,35.32,194.694,43.54,891.796,33.9
,,,,,,10,76.911,19.99,100.016,22.37,514.468,19.56
,,,,,,25,40.139,10.43,41.106,9.19,279.200,10.61
,,,,,,50,28.502,7.41,21.120,4.72,206.092,7.83
,,,,,,100,23.089,6.0,10.865,2.43,173.042,6.58
,,,,,,200,20.750,5.39,5.586,1.25,159.612,6.07
,,,,10,"[0, 6, 2, 1, 3, 3, 7, 2, 2, 3, 'N']",5,132.121,34.33,194.694,43.54,861.468,32.75
,,,,,,10,71.127,18.48,100.016,22.37,468.196,17.8
,,,,,,25,32.356,8.41,41.106,9.19,216.935,8.25
,,,,,,50,19.493,5.07,21.120,4.72,134.018,5.09
,,,,,,100,13.131,3.41,10.865,2.43,93.381,3.55
,,,,,,200,10.126,2.63,5.586,1.25,74.618,2.84
,,,,15,"[0, 9, 2, 1, 5, 5, 11, 3, 2, 5, 'N']",5,132.006,34.3,194.694,43.54,860.548,32.71
,,,,,,10,70.931,18.43,100.016,22.37,466.624,17.74
,,,,,,25,32.052,8.33,41.106,9.19,214.505,8.15
,,,,,,50,19.101,4.96,21.120,4.72,130.884,4.98
,,,,,,100,12.611,3.28,10.865,2.43,89.220,3.39
,,,,,,200,9.536,2.48,5.586,1.25,69.894,2.66
,,,,20,"[0, 12, 3, 2, 6, 7, 14, 4, 3, 6, 'N']",5,131.843,34.26,194.694,43.54,859.244,32.66
,,,,,,10,70.517,18.33,100.016,22.37,463.312,17.61
,,,,,,25,31.279,8.13,41.106,9.19,208.320,7.92
,,,,,,50,18.062,4.69,21.120,4.72,122.574,4.66
,,,,,,100,11.393,2.96,10.865,2.43,79.473,3.02
,,,,,,200,8.110,2.11,5.586,1.25,58.490,2.22
,,,,30,"[0, 18, 5, 3, 9, 10, 21, 6, 5, 10, 'N']",5,131.705,34.23,194.694,43.54,858.137,32.62
,,,,,,10,70.208,18.24,100.016,22.37,460.844,17.52
,,,,,,25,30.708,7.98,41.106,9.19,203.755,7.75
,,,,,,50,17.289,4.49,21.120,4.72,116.386,4.42
,,,,,,100,10.466,2.72,10.865,2.43,72.055,2.74
