Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
NOAA-SPC-tornado,noaa_spc-tornado.csv,3.841,CoderBasic,,,,20.195,100,65.297,100,46.092,100,49.933,100
,,,CoderPCA,0,"[0, 0, 0]",5,20.484,101.43,66.066,101.18,46.861,101.67,50.702,101.54
,,,,,,10,20.340,100.72,65.682,100.59,46.477,100.84,50.318,100.77
,,,,,,25,20.253,100.29,65.451,100.24,46.246,100.33,50.087,100.31
,,,,,,50,20.224,100.14,65.374,100.12,46.169,100.17,50.010,100.15
,,,,,,100,20.210,100.07,65.336,100.06,46.131,100.08,49.972,100.08
,,,,,,200,20.203,100.04,65.317,100.03,46.112,100.04,49.953,100.04
,,,,3,"[0, 15, 24]",5,19.815,98.12,66.066,101.18,44.893,97.4,47.322,94.77
,,,,,,10,20.269,100.37,65.682,100.59,46.261,100.37,49.967,100.07
,,,,,,25,20.253,100.29,65.451,100.24,46.246,100.33,50.087,100.31
,,,,,,50,20.224,100.14,65.374,100.12,46.169,100.17,50.010,100.15
,,,,,,100,20.210,100.07,65.336,100.06,46.131,100.08,49.972,100.08
,,,,,,200,20.203,100.04,65.317,100.03,46.112,100.04,49.953,100.04
,,,,5,"[0, 25, 39]",5,19.164,94.89,66.066,101.18,43.117,93.55,43.890,87.9
,,,,,,10,20.199,100.02,65.682,100.59,45.937,99.66,49.733,99.6
,,,,,,25,20.253,100.29,65.451,100.24,46.246,100.33,50.087,100.31
,,,,,,50,20.224,100.14,65.374,100.12,46.169,100.17,50.010,100.15
,,,,,,100,20.210,100.07,65.336,100.06,46.131,100.08,49.972,100.08
,,,,,,200,20.203,100.04,65.317,100.03,46.112,100.04,49.953,100.04
,,,,10,"[0, 49, 79]",5,18.055,89.4,66.066,101.18,39.181,85.01,38.950,78.0
,,,,,,10,19.458,96.35,65.682,100.59,44.101,95.68,45.638,91.4
,,,,,,25,20.175,99.9,65.451,100.24,46.246,100.33,49.463,99.06
,,,,,,50,20.224,100.14,65.374,100.12,46.169,100.17,50.010,100.15
,,,,,,100,20.210,100.07,65.336,100.06,46.131,100.08,49.972,100.08
,,,,,,200,20.203,100.04,65.317,100.03,46.112,100.04,49.953,100.04
,,,,15,"[0, 74, 118]",5,17.270,85.52,66.066,101.18,35.869,77.82,35.986,72.07
,,,,,,10,18.805,93.12,65.682,100.59,42.157,91.46,42.362,84.84
,,,,,,25,20.064,99.35,65.451,100.24,45.670,99.08,49.151,98.43
,,,,,,50,20.224,100.14,65.374,100.12,46.169,100.17,50.010,100.15
,,,,,,100,20.210,100.07,65.336,100.06,46.131,100.08,49.972,100.08
,,,,,,200,20.203,100.04,65.317,100.03,46.112,100.04,49.953,100.04
,,,,20,"[0, 98, 158]",5,16.686,82.62,66.066,101.18,33.949,73.65,33.230,66.55
,,,,,,10,18.243,90.33,65.682,100.59,39.997,86.78,40.022,80.15
,,,,,,25,19.914,98.61,65.451,100.24,45.094,97.83,48.527,97.18
,,,,,,50,20.224,100.14,65.374,100.12,46.169,100.17,50.010,100.15
,,,,,,100,20.210,100.07,65.336,100.06,46.131,100.08,49.972,100.08
,,,,,,200,20.203,100.04,65.317,100.03,46.112,100.04,49.953,100.04
,,,,30,"[0, 147, 236]",5,15.617,77.33,66.066,101.18,29.869,64.8,28.758,57.59
,,,,,,10,17.413,86.22,65.682,100.59,36.757,79.75,36.629,73.36
,,,,,,25,19.458,96.35,65.451,100.24,43.942,95.34,46.031,92.19
,,,,,,50,20.224,100.14,65.374,100.12,46.169,100.17,50.010,100.15
,,,,,,100,20.210,100.07,65.336,100.06,46.131,100.08,49.972,100.08
,,,,,,200,20.203,100.04,65.317,100.03,46.112,100.04,49.953,100.04
,,,CoderAPCA,0,"[0, 0, 0]",5,23.675,117.23,74.780,114.52,55.275,119.92,59.104,118.37
,,,,,,10,25.062,124.1,78.519,120.25,58.960,127.92,62.781,125.73
,,,,,,25,26.452,130.98,82.258,125.98,62.645,135.91,66.474,133.13
,,,,,,50,27.842,137.87,85.997,131.7,66.330,143.91,70.167,140.52
,,,,,,100,29.231,144.74,89.736,137.43,70.015,151.9,73.860,147.92
,,,,,,200,30.621,151.63,93.475,143.15,73.700,159.9,77.553,155.31
,,,,3,"[0, 15, 24]",5,17.883,88.55,74.780,114.52,34.320,74.46,33.728,67.55
,,,,,,10,18.709,92.64,78.519,120.25,36.064,78.24,34.850,69.79
,,,,,,25,19.699,97.54,82.258,125.98,38.284,83.06,36.810,73.72
,,,,,,50,20.703,102.52,85.997,131.7,40.536,87.95,38.855,77.81
,,,,,,100,21.708,107.49,89.736,137.43,42.788,92.83,40.900,81.91
,,,,,,200,22.712,112.46,93.475,143.15,45.040,97.72,42.945,86.01
,,,,5,"[0, 25, 39]",5,17.041,84.38,74.780,114.52,31.245,67.79,30.064,60.21
,,,,,,10,17.670,87.5,78.519,120.25,32.288,70.05,30.311,60.7
,,,,,,25,18.577,91.99,82.258,125.98,34.187,74.17,31.932,63.95
,,,,,,50,19.518,96.65,85.997,131.7,36.198,78.53,33.706,67.5
,,,,,,100,20.458,101.3,89.736,137.43,38.209,82.9,35.480,71.06
,,,,,,200,21.399,105.96,93.475,143.15,40.220,87.26,37.254,74.61
