Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
NOAA-SPC-wind,noaa_spc-wind.csv,40.260,CoderBasic,,,,281.856,100,684.420,100,523.380,100,563.640,100,483.120,100
,,,CoderPCA,0,"[0, 0, 0, 0]",5,285.669,101.35,691.724,101.07,531.432,101.54,571.692,101.43,490.212,101.47
,,,,,,10,283.869,100.71,688.446,100.59,527.406,100.77,567.666,100.71,487.146,100.83
,,,,,,25,282.662,100.29,686.031,100.24,524.991,100.31,565.251,100.29,484.731,100.33
,,,,,,50,282.259,100.14,685.226,100.12,524.186,100.15,564.446,100.14,483.926,100.17
,,,,,,100,282.058,100.07,684.823,100.06,523.783,100.08,564.043,100.07,483.523,100.08
,,,,,,200,281.957,100.04,684.622,100.03,523.582,100.04,563.842,100.04,483.322,100.04
,,,,3,"[0, 14, 29, 26]",5,256.840,91.12,691.724,101.07,525.556,100.42,551.756,97.89,285.396,59.07
,,,,,,10,269.496,95.61,688.446,100.59,527.406,100.77,566.406,100.49,373.422,77.29
,,,,,,25,279.710,99.24,686.031,100.24,524.991,100.31,565.251,100.29,461.115,95.45
,,,,,,50,282.039,100.06,685.226,100.12,524.186,100.15,564.446,100.14,482.162,99.8
,,,,,,100,282.058,100.07,684.823,100.06,523.783,100.08,564.043,100.07,483.523,100.08
,,,,,,200,281.957,100.04,684.622,100.03,523.582,100.04,563.842,100.04,483.322,100.04
,,,,5,"[0, 23, 48, 44]",5,244.414,86.72,691.724,101.07,514.220,98.25,528.964,93.85,220.116,45.56
,,,,,,10,258.980,91.88,688.446,100.59,525.534,100.41,559.098,99.19,298.470,61.78
,,,,,,25,276.566,98.12,686.031,100.24,524.991,100.31,564.579,100.17,436.635,90.38
,,,,,,50,281.524,99.88,685.226,100.12,524.186,100.15,564.446,100.14,478.046,98.95
,,,,,,100,282.058,100.07,684.823,100.06,523.783,100.08,564.043,100.07,483.523,100.08
,,,,,,200,281.957,100.04,684.622,100.03,523.582,100.04,563.842,100.04,483.322,100.04
,,,,10,"[0, 46, 97, 88]",5,229.764,81.52,691.724,101.07,483.488,92.38,486.460,86.31,176.148,36.46
,,,,,,10,243.993,86.57,688.446,100.59,513.600,98.13,530.622,94.14,218.982,45.33
,,,,,,25,265.055,94.04,686.031,100.24,524.679,100.25,559.203,99.21,350.235,72.49
,,,,,,50,276.673,98.16,685.226,100.12,524.186,100.15,564.446,100.14,439.238,90.92
,,,,,,100,281.315,99.81,684.823,100.06,523.783,100.08,564.043,100.07,477.583,98.85
,,,,,,200,281.957,100.04,684.622,100.03,523.582,100.04,563.842,100.04,483.322,100.04
,,,,15,"[0, 69, 145, 131]",5,220.539,78.25,691.724,101.07,455.668,87.06,453.924,80.53,162.708,33.68
,,,,,,10,234.836,83.32,688.446,100.59,497.103,94.98,508.320,90.19,184.530,38.2
,,,,,,25,257.387,91.32,686.031,100.24,519.063,99.18,548.115,97.25,305.595,63.25
,,,,,,50,272.735,96.76,685.226,100.12,523.549,100.03,562.388,99.78,410.426,84.95
,,,,,,100,279.533,99.18,684.823,100.06,523.783,100.08,564.043,100.07,463.327,95.9
,,,,,,200,281.957,100.04,684.622,100.03,523.582,100.04,563.842,100.04,483.322,100.04
,,,,20,"[0, 92, 194, 175]",5,213.030,75.58,691.724,101.07,431.904,82.52,424.188,75.26,156.132,32.32
,,,,,,10,227.331,80.66,688.446,100.59,479.904,91.69,479.088,85.0,170.922,35.38
