Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (data),Delta - Size (mask),Delta - Size (total),Delta - CR (%),Other columns - Size (data),Other columns - Size (mask),Other columns - Size (total),Other columns - CR (%)
,,,,,,100,125.882,32.71,447185,0,447185,100.0,559062,0,559062,21.25
,,,,,,200,128.388,33.36,447185,0,447185,100.0,579114,0,579114,22.02
,,,,5,"[0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",5,152.693,39.68,447185,0,447185,100.0,773552,0,773552,29.41
,,,,,,10,117.378,30.5,447185,0,447185,100.0,491036,0,491036,18.67
,,,,,,25,95.756,24.88,447185,0,447185,100.0,318060,0,318060,12.09
,,,,,,50,90.003,23.39,447185,0,447185,100.0,272032,0,272032,10.34
,,,,,,100,87.995,22.87,447185,0,447185,100.0,255969,0,255969,9.73
,,,,,,200,87.857,22.83,447185,0,447185,100.0,254862,0,254862,9.69
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,143.333,37.25,447185,0,447185,100.0,698672,0,698672,26.56
,,,,,,10,104.843,27.25,447185,0,447185,100.0,390754,0,390754,14.85
,,,,,,25,79.914,20.77,447185,0,447185,100.0,191325,0,191325,7.27
,,,,,,50,71.889,18.68,447185,0,447185,100.0,127120,0,127120,4.83
,,,,,,100,68.039,17.68,447185,0,447185,100.0,96322,0,96322,3.66
,,,,,,200,66.392,17.25,447185,0,447185,100.0,83142,0,83142,3.16
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,142.496,37.03,447185,0,447185,100.0,691977,0,691977,26.31
,,,,,,10,103.576,26.92,447185,0,447185,100.0,380618,0,380618,14.47
,,,,,,25,78.015,20.27,447185,0,447185,100.0,176130,0,176130,6.7
,,,,,,50,69.525,18.07,447185,0,447185,100.0,108208,0,108208,4.11
,,,,,,100,65.230,16.95,447185,0,447185,100.0,73848,0,73848,2.81
,,,,,,200,63.230,16.43,447185,0,447185,100.0,57852,0,57852,2.2
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,142.350,36.99,447185,0,447185,100.0,690807,0,690807,26.26
,,,,,,10,103.338,26.85,447185,0,447185,100.0,378714,0,378714,14.4
,,,,,,25,77.648,20.18,447185,0,447185,100.0,173190,0,173190,6.58
,,,,,,50,69.027,17.94,447185,0,447185,100.0,104224,0,104224,3.96
,,,,,,100,64.628,16.79,447185,0,447185,100.0,69037,0,69037,2.62
,,,,,,200,62.508,16.24,447185,0,447185,100.0,52074,0,52074,1.98
