Dataset,Filename,Column,,0 (%),,,1 (%),,,3 (%),,,5 (%),,,10 (%),,,15 (%),,,20 (%),,,30 (%),
,,,Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%),Coder,Win,CR (%)
IRKIS
,vwc_1202.dat.csv
,,VWC,APCA,16,22.23,=,=,=,APCA,16,18.14,APCA,64,8.61,APCA,256,2.65,APCA,256,1.67,APCA,256,1.44,APCA,256,1.08
,vwc_1203.dat.csv
,,VWC,APCA,8,11.4,=,=,=,APCA,32,5.72,APCA,64,3.34,APCA,64,2.19,APCA,128,1.51,APCA,128,1.18,APCA,256,0.84
,vwc_1204.dat.csv
,,VWC,APCA,16,14.7,APCA,16,10.55,APCA,32,8.24,APCA,64,4.86,APCA,128,2.28,APCA,128,2.04,APCA,256,1.46,APCA,256,1.04
,vwc_1205.dat.csv
,,VWC,APCA,8,8.6,APCA,8,7.95,APCA,32,3.86,APCA,32,2.71,APCA,64,1.89,APCA,128,1.52,APCA,128,1.37,APCA,128,1.07
,vwc_222.smet.csv
,,VWC,APCA,16,29.83,=,=,=,APCA,32,16.88,APCA,64,7.41,APCA,256,4.08,APCA,256,2.86,APCA,256,2.16,APCA,256,1.43
,vwc_333.smet.csv
,,VWC,APCA,16,30.88,APCA,32,21.37,APCA,32,16.08,APCA,64,9.15,APCA,256,4.16,APCA,256,2.8,APCA,256,1.99,APCA,256,1.42
,vwc_SLF2.smet.csv
,,VWC,APCA,32,24.26,=,=,=,APCA,32,17.41,APCA,64,11.3,APCA,256,4.11,APCA,256,3.05,APCA,256,2.32,APCA,256,1.59
NOAA-SST
,noaa-buoy-201701.csv
,,SST,PCA,256,61.82,APCA,16,24.49,APCA,32,11.0,APCA,64,7.07,APCA,128,3.65,APCA,256,2.48,APCA,256,1.91,APCA,256,1.46
,noaa-buoy-201702.csv
,,SST,PCA,256,61.91,APCA,8,28.8,APCA,32,14.31,APCA,64,9.47,APCA,128,5.04,APCA,128,3.44,APCA,256,2.64,APCA,256,1.86
,noaa-buoy-201703.csv
,,SST,PCA,256,58.86,APCA,8,31.02,APCA,16,15.7,APCA,32,10.08,APCA,128,5.25,APCA,128,3.52,APCA,256,2.67,APCA,256,1.86
NOAA-ADCP
,noaa-adcp-201501.csv
,,Vel,PCA,256,68.41,PCA,256,68.41,APCA,4,67.15,APCA,4,61.78,APCA,4,49.14,APCA,4,41.63,APCA,8,35.57,APCA,8,26.27
,noaa-adcp-201502.csv
,,Vel,PCA,256,67.34,PCA,256,67.34,APCA,4,66.67,APCA,4,61.09,APCA,4,48.74,APCA,4,41.26,APCA,8,35.52,APCA,8,26.39
,noaa-adcp-201503.csv
,,Vel,PCA,256,68.83,PCA,256,68.83,APCA,4,66.57,APCA,4,60.36,APCA,4,47.48,APCA,4,39.85,APCA,8,33.69,APCA,8,25.18
SolarAnywhere
,solar-anywhere-2011.csv
,,GHI,PCA,4,78.39,APCA,8,76.22,APCA,16,71.37,APCA,16,67.12,APCA,16,58.07,APCA,16,52.27,APCA,16,46.84,APCA,16,37.67
,,DNI,PCA,4,76.03,APCA,16,72.13,APCA,16,65.7,APCA,16,61.25,APCA,16,53.9,APCA,16,48.79,APCA,16,43.61,APCA,16,35.79
,,DHI,PCA,4,78.39,PCA,4,77.81,APCA,16,71.51,APCA,16,67.66,APCA,16,59.93,APCA,16,53.41,APCA,16,47.97,APCA,16,38.91
,solar-anywhere-2012.csv
,,GHI,PCA,4,77.54,APCA,8,76.18,APCA,16,71.71,APCA,16,67.57,APCA,16,58.78,APCA,16,52.65,APCA,16,47.34,APCA,16,38.06
,,DNI,PCA,4,76.0,APCA,16,71.99,APCA,16,65.41,APCA,16,61.02,APCA,16,53.78,APCA,16,48.44,APCA,16,43.45,APCA,16,35.73
,,DHI,PCA,4,77.54,PCA,4,77.49,APCA,16,71.7,APCA,16,67.61,APCA,16,60.36,APCA,16,53.78,APCA,16,47.63,APCA,16,38.7
,solar-anywhere-2013.csv
,,GHI,PCA,4,77.38,PCA,4,76.01,APCA,16,71.56,APCA,16,67.35,APCA,16,58.95,APCA,16,52.58,APCA,16,47.06,APCA,16,37.9
,,DNI,PCA,4,75.91,APCA,16,72.38,APCA,16,66.02,APCA,16,61.61,APCA,16,54.39,APCA,16,48.83,APCA,16,43.73,APCA,16,35.86
,,DHI,PCA,4,77.38,PCA,4,77.25,APCA,16,72.1,APCA,16,68.19,APCA,16,60.44,APCA,16,54.16,APCA,16,48.35,APCA,16,38.94
,solar-anywhere-2014.csv
,,GHI,PCA,4,77.31,PCA,4,75.93,APCA,16,70.94,APCA,16,66.76,APCA,16,58.28,APCA,16,52.13,APCA,16,46.87,APCA,16,37.48
,,DNI,PCA,4,75.76,APCA,16,72.39,APCA,16,65.87,APCA,16,61.61,APCA,16,53.85,APCA,16,48.13,APCA,16,42.66,APCA,16,35.25
,,DHI,PCA,4,77.31,PCA,4,77.18,APCA,16,71.19,APCA,16,66.95,APCA,16,59.74,APCA,16,53.13,APCA,16,47.49,APCA,16,38.3
ElNino
,el-nino.csv
,,Lat,APCA,16,15.96,=,=,=,APCA,16,15.82,APCA,16,15.11,APCA,16,12.34,APCA,32,9.89,APCA,32,8.61,APCA,64,5.76
,,Long,APCA,8,17.36,APCA,16,17.05,APCA,16,13.04,APCA,32,11.75,APCA,64,8.65,APCA,64,6.56,APCA,128,4.93,APCA,256,2.37
,,Zonal Winds,PCA,256,31.46,=,=,=,PCA,256,31.46,PCA,256,31.46,APCA,4,27.36,APCA,4,23.5,APCA,4,20.54,APCA,8,16.44
,,Merid. Winds,PCA,256,31.46,=,=,=,PCA,256,31.46,PCA,256,31.46,APCA,4,29.16,APCA,4,25.86,APCA,4,23.33,APCA,4,19.15
,,Humidity,PCA,256,23.1,PCA,256,23.1,PCA,256,23.1,PCA,256,23.1,APCA,4,20.51,APCA,4,18.14,APCA,4,16.01,APCA,4,12.94
,,AirTemp,PCA,256,32.68,PCA,256,32.68,APCA,4,30.33,APCA,4,27.39,APCA,4,22.42,APCA,8,19.24,APCA,8,16.76,APCA,16,13.31
,,SST,PCA,256,32.91,APCA,4,30.96,APCA,4,24.6,APCA,4,20.61,APCA,8,14.17,APCA,16,10.66,APCA,16,8.21,APCA,32,5.42
NOAA-SPC-hail
,noaa_spc-hail.csv
,,Lat,PCA,256,100.04,PCA,256,100.04,APCA,4,89.83,APCA,4,82.62,APCA,4,71.49,APCA,8,64.62,APCA,8,57.49,APCA,8,46.75
,,Long,PCA,256,100.03,PCA,256,100.03,APCA,4,85.91,APCA,4,77.5,APCA,4,65.06,APCA,8,55.38,APCA,8,48.72,APCA,16,38.74
,,Size,APCA,4,80.61,APCA,4,80.59,APCA,4,80.59,APCA,4,80.58,APCA,4,80.56,APCA,4,80.53,APCA,4,80.52,APCA,8,64.35
NOAA-SPC-tornado
,noaa_spc-tornado.csv
,,Lat,PCA,256,100.05,APCA,4,85.43,APCA,4,70.63,APCA,4,65.17,APCA,8,54.17,APCA,8,46.78,APCA,16,41.95,APCA,16,33.48
,,Long,PCA,256,100.11,APCA,4,82.12,APCA,4,65.09,APCA,8,57.66,APCA,8,45.55,APCA,16,39.88,APCA,16,34.84,APCA,16,28.41
NOAA-SPC-wind
,noaa_spc-wind.csv
,,Lat,PCA,256,100.03,PCA,256,100.03,APCA,4,88.74,APCA,4,81.29,APCA,4,69.82,APCA,8,62.44,APCA,8,56.18,APCA,8,47.15
,,Long,PCA,256,100.03,APCA,4,95.41,APCA,4,80.29,APCA,4,73.21,APCA,8,62.06,APCA,8,54.33,APCA,8,48.52,APCA,16,39.73
,,Speed,FR,16,65.49,APCA,8,43.82,FR,64,25.9,FR,128,16.79,APCA,32,15.71,APCA,64,12.29,APCA,64,10.33,APCA,64,8.21
