Dataset,Filename,#rows,Coder,%,Error Threshold,Window Param,Size (B),CR (%),Delta - Size (b),Delta - CR (%),Other columns - Size (b),Other columns - CR (%)
,,,,,,10,188.112,48.88,447.185,100.0,1.056.908,40.18
,,,,,,25,171.362,44.53,447.185,100.0,922.905,35.08
,,,,,,50,170.020,44.18,447.185,100.0,912.166,34.68
,,,,,,100,171.681,44.61,447.185,100.0,925.461,35.18
,,,,,,200,174.602,45.37,447.185,100.0,948.828,36.07
,,,,10,"[0, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1]",5,209.230,54.37,447.185,100.0,1.225.847,46.6
,,,,,,10,169.002,43.92,447.185,100.0,904.028,34.37
,,,,,,25,147.209,38.25,447.185,100.0,729.685,27.74
,,,,,,50,143.262,37.23,447.185,100.0,698.108,26.54
,,,,,,100,143.084,37.18,447.185,100.0,696.678,26.48
,,,,,,200,144.605,37.58,447.185,100.0,708.850,26.95
,,,,15,"[0, 2, 3, 2, 2, 1, 2, 2, 1, 4, 2]",5,188.152,48.89,447.185,100.0,1.057.223,40.19
,,,,,,10,137.810,35.81,447.185,100.0,654.488,24.88
,,,,,,25,107.477,27.93,447.185,100.0,411.825,15.66
,,,,,,50,98.785,25.67,447.185,100.0,342.292,13.01
,,,,,,100,95.182,24.73,447.185,100.0,313.467,11.92
,,,,,,200,94.211,24.48,447.185,100.0,305.696,11.62
,,,,20,"[0, 3, 4, 2, 3, 1, 2, 2, 2, 5, 2]",5,182.275,47.37,447.185,100.0,1.010.212,38.4
,,,,,,10,129.108,33.55,447.185,100.0,584.876,22.23
,,,,,,25,96.194,25.0,447.185,100.0,321.565,12.22
,,,,,,50,86.034,22.36,447.185,100.0,240.280,9.13
,,,,,,100,81.323,21.13,447.185,100.0,202.597,7.7
,,,,,,200,79.534,20.67,447.185,100.0,188.280,7.16
,,,,30,"[0, 5, 6, 3, 4, 2, 3, 3, 2, 7, 3]",5,176.696,45.92,447.185,100.0,965.579,36.71
,,,,,,10,120.552,31.33,447.185,100.0,516.426,19.63
,,,,,,25,84.710,22.01,447.185,100.0,229.690,8.73
,,,,,,50,72.770,18.91,447.185,100.0,134.168,5.1
,,,,,,100,66.743,17.34,447.185,100.0,85.950,3.27
,,,,,,200,63.884,16.6,447.185,100.0,63.084,2.4
,vwc_1203.dat.csv,26.305,CoderBasic,,,,384.811,100,447.185,100,2.630.500,100
,,,CoderPWLH,0,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,396.877,103.14,447.185,100.0,2.727.022,103.67
,,,,,,10,288.479,74.97,447.185,100.0,1.859.844,70.7
,,,,,,25,228.242,59.31,447.185,100.0,1.377.947,52.38
,,,,,,50,211.224,54.89,447.185,100.0,1.241.804,47.21
,,,,,,100,203.810,52.96,447.185,100.0,1.182.490,44.95
,,,,,,200,200.985,52.23,447.185,100.0,1.159.888,44.09
,,,,1,"[0, 0, 0, 0, 0, 'N', 0, 0, 0, 'N', 'N']",5,396.877,103.14,447.185,100.0,2.727.022,103.67
,,,,,,10,288.479,74.97,447.185,100.0,1.859.844,70.7
,,,,,,25,228.242,59.31,447.185,100.0,1.377.947,52.38
,,,,,,50,211.224,54.89,447.185,100.0,1.241.804,47.21
,,,,,,100,203.810,52.96,447.185,100.0,1.182.490,44.95
,,,,,,200,200.985,52.23,447.185,100.0,1.159.888,44.09
,,,,3,"[0, 1, 1, 0, 0, 'N', 1, 1, 0, 'N', 'N']",5,354.238,92.06,447.185,100.0,2.385.913,90.7
,,,,,,10,227.335,59.08,447.185,100.0,1.370.692,52.11
,,,,,,25,155.071,40.3,447.185,100.0,792.580,30.13
,,,,,,50,134.406,34.93,447.185,100.0,627.258,23.85
,,,,,,100,124.855,32.45,447.185,100.0,550.850,20.94
,,,,,,200,120.629,31.35,447.185,100.0,517.040,19.66
,,,,5,"[0, 1, 1, 1, 1, 'N', 2, 1, 1, 'N', 'N']",5,339.804,88.3,447.185,100.0,2.270.443,86.31
,,,,,,10,206.298,53.61,447.185,100.0,1.202.392,45.71
,,,,,,25,127.350,33.09,447.185,100.0,570.809,21.7
,,,,,,50,103.491,26.89,447.185,100.0,379.936,14.44
,,,,,,100,92.318,23.99,447.185,100.0,290.550,11.05
,,,,,,200,87.327,22.69,447.185,100.0,250.624,9.53
,,,,10,"[0, 3, 2, 1, 1, 'N', 3, 2, 1, 'N', 'N']",5,338.481,87.96,447.185,100.0,2.259.854,85.91
,,,,,,10,203.332,52.84,447.185,100.0,1.178.664,44.81
,,,,,,25,121.480,31.57,447.185,100.0,523.847,19.91
,,,,,,50,95.603,24.84,447.185,100.0,316.834,12.04
,,,,,,100,83.398,21.67,447.185,100.0,219.195,8.33
,,,,,,200,77.904,20.24,447.185,100.0,175.240,6.66
,,,,15,"[0, 4, 3, 2, 2, 'N', 5, 3, 2, 'N', 'N']",5,337.836,87.79,447.185,100.0,2.254.695,85.71
,,,,,,10,201.959,52.48,447.185,100.0,1.167.680,44.39
