Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,WORST,,0,1,3,5,10,15,20,30
IRKIS
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,38.62,38.62,38.62,38.93,51.56,59.10,65.10,74.07,74.07,,14696640,14696640,14696640,14696640,14696640,14696640,14696640,14696640
,,,CoderPCA,256,256,256,256,4,4,4,4,,0.68,0.68,0.68,0.68,0.65,0.6,0.54,0.44,,10.03,10.03,10.03,10.48,25.56,31.34,35.06,40.39,40.39,,10026184,10026184,10026184,10026184,9563866,8754406,7899166,6393334
,,,CoderAPCA,4,4,4,4,4,4,8,8,,0.78,0.75,0.67,0.61,0.48,0.41,0.35,0.26,,20.82,17.63,8.12,0.00,0.00,0.00,0.00,0.00,20.82,,11392240,10950848,9817226,8975798,7119580,6011200,5129695,3811105
,,,CoderCA,4,4,4,4,4,4,4,8,,0.79,0.78,0.75,0.72,0.65,0.6,0.55,0.48,,22.20,21.12,18.00,15.49,26.02,31.71,36.92,45.56,45.56,,11594946,11435080,10999988,10620602,9624292,8802884,8132312,7000495
,,,CoderPWLH,4,4,4,4,8,16,16,32,,1.86,1.82,1.71,1.62,1.37,1.18,1.01,0.75,,66.93,66.22,64.11,62.41,64.66,65.21,65.31,65.64,66.93,,27280444,26700660,25135804,23875500,20147342,17278268,14785908,11090675
,,,CoderPWLHInt,4,4,4,4,8,8,8,16,,0.73,0.73,0.7,0.67,0.59,0.51,0.45,0.34,,16.26,15.78,12.11,8.61,18.28,19.95,21.92,23.78,23.78,,10771944,10710416,10262786,9821472,8712226,7509676,6569740,4999820
,,,CoderFR,4,4,4,4,4,4,4,8,,0.76,0.76,0.74,0.73,0.68,0.63,0.59,0.5,,19.64,19.03,17.19,15.76,28.49,35.39,41.20,48.20,48.20,,11225038,11140688,10892902,10655238,9955938,9303538,8724526,7357792
,,,CoderSF,,,,,,,,,,3.65,3.16,2.81,2.59,2.09,1.77,1.52,1.15,,83.20,80.59,78.16,76.39,76.79,76.91,77.10,77.39,83.20,,53706435,46463420,41298975,38012640,30676740,26034180,22400680,16852995
,,,CoderGAMPSLimit,4,4,4,4,4,8,8,16,,0.78,0.76,0.68,0.64,0.49,0.42,0.35,0.27,,21.12,19.77,10.26,3.85,1.09,2.09,1.31,2.22,21.12,,11436040,11242616,10051510,9335270,7197788,6139730,5197610,3897434
SolarAnywhere
