Dataset,Filename,Column,Coder,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30,,0,1,3,5,10,15,20,30
IRKIS
,Global
,,,CoderAPCA,4,8,16,16,16,16,16,16,,0.83,0.76,0.71,0.67,0.59,0.52,0.47,0.38,,3474340,3199569,3001658,2825342,2460362,2203378,1977236,1588400
,,,CoderCA,8,16,16,16,16,16,16,16,,0.92,0.88,0.82,0.79,0.7,0.64,0.6,0.54,,3888192,3687280,3447404,3303624,2945084,2691516,2518826,2272748
,,,CoderPWLH,16,16,16,16,16,16,16,16,,2.29,2.05,1.9,1.77,1.55,1.39,1.28,1.12,,9643956,8607952,7981944,7450800,6496756,5857356,5389444,4690916
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,0.81,0.78,0.76,0.73,0.67,0.63,0.6,0.55,,3405570,3290656,3185704,3080032,2815720,2641552,2517400,2327944
,,,CoderFR,4,4,8,8,8,8,8,8,,0.95,0.93,0.9,0.88,0.82,0.76,0.7,0.63,,3977844,3895728,3785038,3691061,3448767,3179342,2962931,2643989
,,,CoderSF,,,,,,,,,,6.43,5.42,4.87,4.47,3.86,3.58,3.37,3.01,,27024100,22787869,20495668,18792352,16242280,15072250,14154028,12656725
,,,CoderGAMPSLimit,16,16,16,16,16,16,16,32,,3.96,3.7,3.47,3.26,2.84,2.55,2.29,1.83,,16634116,15544076,14575076,13718684,11946264,10701592,9609376,7701232
,,DNI
,,,CoderBase,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,4204320,4204320,4204320,4204320,4204320,4204320,4204320,4204320
,,,CoderPCA,4,4,4,4,4,4,4,4,,0.76,0.74,0.73,0.71,0.7,0.68,0.66,0.62,,3192197,3126017,3058637,3005777,2934287,2866547,2780837,2611937
,,,CoderAPCA,4,16,16,16,16,16,16,16,,0.79,0.72,0.66,0.61,0.54,0.49,0.43,0.36,,3317453,3036503,2764301,2580271,2269527,2041145,1823151,1499051
,,,CoderCA,16,16,16,16,16,16,16,16,,0.89,0.85,0.8,0.77,0.72,0.68,0.65,0.59,,3743741,3576889,3376689,3248617,3009189,2840489,2713789,2500401
,,,CoderPWLH,16,16,16,16,16,32,32,32,,2.16,2.0,1.87,1.79,1.64,1.53,1.41,1.22,,9095069,8424229,7868197,7506025,6894741,6416862,5943623,5119763
,,,CoderPWLHInt,16,16,16,16,16,16,16,16,,0.76,0.74,0.73,0.71,0.67,0.64,0.62,0.57,,3211939,3123509,3050237,2979067,2825539,2700475,2591659,2405635
