Filename,Algorithm,Threshold,Value,,>1,>2,>5
vwc_1205.dat.csv,CoderPWLHInt,3,2.4152226745017193,,,2.4152226745017193,
vwc_1205.dat.csv,CoderPWLHInt,10,1.419138535561653,,1.419138535561653,,
vwc_1205.dat.csv,CoderGAMPSLimit,0,0.5180695169478008,,,,
vwc_1205.dat.csv,CoderGAMPSLimit,1,1.5872154332857658,,1.5872154332857658,,
vwc_1205.dat.csv,CoderGAMPSLimit,3,0.3878395296935488,,,,
vwc_1205.dat.csv,CoderGAMPSLimit,5,0.7839286196377058,,,,
vwc_1205.dat.csv,CoderGAMPSLimit,10,0.04994381321012967,,,,
vwc_222.smet.csv,CoderAPCA,10,0.07548154429647325,,,,
vwc_222.smet.csv,CoderFR,1,1.897200145909133,,1.897200145909133,,
vwc_222.smet.csv,CoderPWLH,1,0.25571264041660124,,,,
vwc_222.smet.csv,CoderPWLHInt,10,0.5664061477576653,,,,
vwc_222.smet.csv,CoderGAMPSLimit,1,0.44904806638401357,,,,
vwc_333.smet.csv,CoderPCA,3,0.918382196313821,,,,
vwc_333.smet.csv,CoderPCA,30,0.8263794335323907,,,,
vwc_333.smet.csv,CoderAPCA,1,2.660999367842377,,,2.660999367842377,
vwc_333.smet.csv,CoderAPCA,10,1.3305424099017304,,1.3305424099017304,,
vwc_333.smet.csv,CoderCA,1,1.9058191660323058,,1.9058191660323058,,
vwc_333.smet.csv,CoderPWLH,0,0.0655893507652518,,,,
vwc_333.smet.csv,CoderPWLH,1,0.22148446023878954,,,,
vwc_333.smet.csv,CoderPWLHInt,3,0.9082223314857923,,,,
vwc_333.smet.csv,CoderPWLHInt,5,5.265031797242592,,,,5.265031797242592
vwc_333.smet.csv,CoderPWLHInt,10,1.4669432564738156,,1.4669432564738156,,
vwc_SLF2.smet.csv,CoderPCA,10,1.457499846125443,,1.457499846125443,,
vwc_SLF2.smet.csv,CoderPCA,30,0.061204743367613924,,,,
vwc_SLF2.smet.csv,CoderAPCA,0,0.4946775008262791,,,,
vwc_SLF2.smet.csv,CoderAPCA,1,0.4946775008262791,,,,
vwc_SLF2.smet.csv,CoderAPCA,10,0.0009248725987921148,,,,
vwc_SLF2.smet.csv,CoderCA,0,0.49291292706594897,,,,
vwc_SLF2.smet.csv,CoderCA,1,0.49291292706594897,,,,
vwc_SLF2.smet.csv,CoderFR,0,1.1125742088113184,,1.1125742088113184,,
vwc_SLF2.smet.csv,CoderFR,3,0.9881662925997476,,,,
vwc_SLF2.smet.csv,CoderPWLH,0,1.0332746159624768,,1.0332746159624768,,
vwc_SLF2.smet.csv,CoderPWLHInt,15,0.9882596450748165,,,,
vwc_SLF2.smet.csv,CoderGAMPSLimit,0,0.6782801987129979,,,,
noaa-buoy-201701.csv,CoderPCA,5,9.222935024088276,,,,9.222935024088276
noaa-buoy-201701.csv,CoderPCA,15,3.33566854423892,,,3.33566854423892,
noaa-buoy-201701.csv,CoderAPCA,1,0.5531317512756473,,,,
noaa-buoy-201701.csv,CoderPWLHInt,1,0.9873623320558053,,,,
noaa-buoy-201701.csv,CoderGAMPSLimit,1,0.5088011959668371,,,,
noaa-buoy-201702.csv,CoderPCA,20,0.6353136366536967,,,,
noaa-buoy-201702.csv,CoderAPCA,15,0.04227453580901218,,,,
noaa-buoy-201702.csv,CoderFR,15,0.2566574385340568,,,,
noaa-buoy-201702.csv,CoderGAMPSLimit,1,0.027117334799634973,,,,
noaa-buoy-201703.csv,CoderPCA,20,5.508891862918159,,,,5.508891862918159
noaa-buoy-201703.csv,CoderAPCA,3,0.03783001712306349,,,,
noaa-buoy-201703.csv,CoderAPCA,5,0.8105530832803394,,,,
noaa-buoy-201703.csv,CoderAPCA,15,1.274959131247086,,1.274959131247086,,
noaa-buoy-201703.csv,CoderCA,3,0.4327142893355498,,,,
noaa-buoy-201703.csv,CoderCA,5,1.2756039586159118,,1.2756039586159118,,
noaa-buoy-201703.csv,CoderCA,10,1.2345797578859863,,1.2345797578859863,,
noaa-buoy-201703.csv,CoderCA,20,1.562732688011905,,1.562732688011905,,
noaa-buoy-201703.csv,CoderFR,1,1.2785009635527487,,1.2785009635527487,,
noaa-buoy-201703.csv,CoderFR,5,0.2138314253196671,,,,
noaa-buoy-201703.csv,CoderFR,15,0.6265077337874209,,,,
noaa-buoy-201703.csv,CoderPWLH,3,0.5478901778927013,,,,
noaa-buoy-201703.csv,CoderPWLHInt,5,0.239391930829179,,,,
noaa-buoy-201703.csv,CoderPWLHInt,10,0.5291029999626374,,,,
noaa-buoy-201703.csv,CoderGAMPSLimit,5,0.08415464769878904,,,,
noaa-buoy-201703.csv,CoderGAMPSLimit,10,0.08795486544241955,,,,
noaa-adcp-201501.csv,CoderPWLH,15,0.21188242156989948,,,,
noaa-adcp-201501.csv,CoderPWLH,30,0.08328478916896266,,,,
noaa-adcp-201501.csv,CoderPWLHInt,10,0.1389482649840254,,,,
noaa-adcp-201502.csv,CoderPWLH,15,0.2034296184743334,,,,
noaa-adcp-201502.csv,CoderPWLHInt,10,0.17181707852213102,,,,
noaa-adcp-201503.csv,CoderFR,20,0.7990135302679113,,,,
noaa-adcp-201503.csv,CoderGAMPSLimit,30,0.09223297566061173,,,,
solar-anywhere-2011.csv,CoderCA,1,0.07160054252012704,,,,
solar-anywhere-2011.csv,CoderFR,1,0.3806465468751777,,,,
solar-anywhere-2012.csv,CoderFR,1,0.07746522429933504,,,,
solar-anywhere-2012.csv,CoderPWLH,10,0.0030425298870136812,,,,
solar-anywhere-2013.csv,CoderFR,1,1.3079008963604426,,1.3079008963604426,,
solar-anywhere-2013.csv,CoderFR,1,0.32598284031245617,,,,
solar-anywhere-2014.csv,CoderFR,3,0.5772218168880062,,,,
solar-anywhere-2014.csv,CoderCA,0,0.0675393517926753,,,,
solar-anywhere-2014.csv,CoderFR,1,1.0123008503160582,,1.0123008503160582,,
solar-anywhere-2014.csv,CoderCA,3,0.05143020697305915,,,,
solar-anywhere-2014.csv,CoderFR,3,2.0270473157180335,,,2.0270473157180335,
solar-anywhere-2014.csv,CoderFR,5,1.4189540866389647,,1.4189540866389647,,
solar-anywhere-2014.csv,CoderFR,10,0.045591686221938175,,,,
